[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 1] But it came to pass that, when Sanballat heard that we were building the wall, he was wroth, and took great indignation, and mocked the Jews.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 2] And he spake before his brethren and the army of Samaria, and said, What are these feeble Jews doing? will they fortify themselves? will they sacrifice? will they make an end in a day? will they revive the stones out of the heaps of rubbish, seeing they are burned?
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 3] Now Tobiah the Ammonite was by him, and he said, Even that which they are building, if a fox go up, he shall break down their stone wall.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 4] Hear, O our God; for we are despised: and turn back their reproach upon their own head, and give them up for a spoil in a land of captivity;
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 5] and cover not their iniquity, and let not their sin be blotted out from before thee; for they have provoked thee to anger before the builders.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 6] So we built the wall; and all the wall was joined together unto half the height thereof: for the people had a mind to work.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 7] But it came to pass that, when Sanballat, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodites, heard that the repairing of the walls of Jerusalem went forward, and that the breaches began to be stopped, then they were very wroth;
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 8] and they conspired all of them together to come and fight against Jerusalem, and to cause confusion therein.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 9] But we made our prayer unto our God, and set a watch against them day and night, because of them.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Judah said, The strength of the bearers of burdens is decayed, and there is much rubbish; so that we are not able to build the wall.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 11] And our adversaries said, They shall not know, neither see, till we come into the midst of them, and slay them, and cause the work to cease.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came to pass that, when the Jews that dwelt by them came, they said unto us ten times from all places, Ye must return unto us.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 13] Therefore set I in the lowest parts of the space behind the wall, in the open places, I set there the people after their families with their swords, their spears, and their bows.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 14] And I looked, and rose up, and said unto the nobles, and to the rulers, and to the rest of the people, Be not ye afraid of them: remember the Lord, who is great and terrible, and fight for your brethren, your sons, and your daughters, your wives, and your houses.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 15] And it came to pass, when our enemies heard that it was known unto us, and God had brought their counsel to nought, that we returned all of us to the wall, every one unto his work.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 16] And it came to pass from that time forth, that half of my servants wrought in the work, and half of them held the spears, the shields, and the bows, and the coats of mail; and the rulers were behind all the house of Judah.
[ASV | EN | OT | Nehemiah | Chapter 4 | Verse 17] They that built the wall and they that bare burdens laded themselves; every one with one of his hands wrought in the work, and with the other held his weapon;
