[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shecaniah, Rehum, Meremoth,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnethoi, Abijah,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 5] Mijamin, Maadiah, Bilgah,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkiah, Jedaiah. These were the chiefs of the priests and of their brethren in the days of Jeshua.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 8] Moreover the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, and Mattaniah, who was over the thanksgiving, he and his brethren.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 9] Also Bakbukiah and Unni, their brethren, were over against them according to their offices.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begat Joiakim, and Joiakim begat Eliashib, and Eliashib begat Joiada,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 11] and Joiada begat Jonathan, and Jonathan begat Jaddua.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, heads of fathers’ houses: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 13] of Ezra, Meshullam; of Amariah, Jehohanan;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 14] of Malluchi, Jonathan; of Shebaniah, Joseph;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 15] of Harim, Adna; of Meraioth, Helkai;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 16] of Iddo, Zechariah; of Ginnethon, Meshullam;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 17] of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 18] of Bilgah, Shammua; of Shemaiah, Jehonathan;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 19] and of Joiarib, Mattenai; of Jedaiah, Uzzi;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 20] of Sallai, Kallai; of Amok, Eber;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 21] of Hilkiah, Hashabiah; of Jedaiah, Nethanel.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 22] As for the Levites, in the days of Eliashib, Joiada, and Johanan, and Jaddua, there were recorded the heads of fathers’ houses; also the priests, in the reign of Darius the Persian.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 23] The sons of Levi, heads of fathers’ houses, were written in the book of the chronicles, even until the days of Johanan the son of Eliashib.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chiefs of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and give thanks, according to the commandment of David the man of God, watch next to watch.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah, and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were porters keeping the watch at the storehouses of the gates.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest the scribe.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to keep the dedication with gladness, both with thanksgivings, and with singing, with cymbals, psalteries, and with harps.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the sons of the singers gathered themselves together, both out of the plain round about Jerusalem, and from the villages of the Netophathites;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 29] also from Beth-gilgal, and out of the fields of Geba and Azmaveth: for the singers had built them villages round about Jerusalem.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves; and they purified the people, and the gates, and the wall.
