[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 2] that I gave my brother Hanani, and Hananiah the governor of the castle, charge over Jerusalem; for he was a faithful man, and feared God above many.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I said unto them, Let not the gates of Jerusalem be opened until the sun be hot; and while they stand on guard, let them shut the doors, and bar ye them: and appoint watches of the inhabitants of Jerusalem, every one in his watch, and every one to be over against his house.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 4] Now the city was wide and large; but the people were few therein, and the houses were not built.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 5] And my God put into my heart to gather together the nobles, and the rulers, and the people, that they might be reckoned by genealogy. And I found the book of the genealogy of them that came up at the first, and I found written therein:
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away, and that returned unto Jerusalem and to Judah, every one unto his city;
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 7] who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 8] The children of Parosh, two thousand a hundred and seventy and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 9] The children of Shephatiah, three hundred seventy and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 10] The children of Arah, six hundred fifty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 11] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand and eight hundred and eighteen.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 12] The children of Elam, a thousand two hundred fifty and four.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 13] The children of Zattu, eight hundred forty and five.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 14] The children of Zaccai, seven hundred and threescore.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 15] The children of Binnui, six hundred forty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 16] The children of Bebai, six hundred twenty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 17] The children of Azgad, two thousand three hundred twenty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 18] The children of Adonikam, six hundred threescore and seven.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 19] The children of Bigvai, two thousand threescore and seven.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 20] The children of Adin, six hundred fifty and five.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 21] The children of Ater, of Hezekiah, ninety and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 22] The children of Hashum, three hundred twenty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 23] The children of Bezai, three hundred twenty and four.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 24] The children of Hariph, a hundred and twelve.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 25] The children of Gibeon, ninety and five.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 26] The men of Beth-lehem and Netophah, a hundred fourscore and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 27] The men of Anathoth, a hundred twenty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 28] The men of Beth-azmaveth, forty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 29] The men of Kiriath-jearim, Chephirah, and Beeroth, seven hundred forty and three.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 30] The men of Ramah and Geba, six hundred twenty and one.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 31] The men of Michmas, a hundred and twenty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 32] The men of Beth-el and Ai, a hundred twenty and three.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 33] The men of the other Nebo, fifty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 34] The children of the other Elam, a thousand two hundred fifty and four.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 35] The children of Harim, three hundred and twenty.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 36] The children of Jericho, three hundred forty and five.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 37] The children of Lod, Hadid, and Ono, seven hundred twenty and one.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 38] The children of Senaah, three thousand nine hundred and thirty.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: The children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 40] The children of Immer, a thousand fifty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 41] The children of Pashhur, a thousand two hundred forty and seven.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 42] The children of Harim, a thousand and seventeen.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy and four.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: the children of Asaph, a hundred forty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 45] The porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred thirty and eight.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 47] the children of Keros, the children of Sia, the children of Padon,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 48] the children of Lebana, the children of Hagaba, the children of Shalmai,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 49] the children of Hanan, the children of Giddel, the children of Gahar,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 50] the children of Reaiah, the children of Rezin, the children of Nekoda,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 51] the children of Gazzam, the children of Uzza, the children of Paseah.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 52] The children of Besai, the children of Meunim, the children of Nephushesim,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 53] the children of Bakbuk, the children of Hakupha, the children of Harhur,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 54] the children of Bazlith, the children of Mehida, the children of Harsha,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 55] the children of Barkos, the children of Sisera, the children of Temah,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 56] the children of Neziah, the children of Hatipha.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 57] The children of Solomon’s servants: the children of Sotai, the children of Sophereth, the children of Perida,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 58] the children of Jaala, the children of Darkon, the children of Giddel,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 59] the children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Amon.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinim, and the children of Solomon’s servants, were three hundred ninety and two.
