[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 1] Now those that sealed were: Nehemiah the governor, the son of Hacaliah, and Zedekiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 2] Seraiah, Azariah, Jeremiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 3] Pashhur, Amariah, Malchijah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 4] Hattush, Shebaniah, Malluch,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 5] Harim, Meremoth, Obadiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 6] Daniel, Ginnethon, Baruch,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 7] Meshullam, Abijah, Mijamin,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 8] Maaziah, Bilgai, Shemaiah; these were the priests.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 9] And the Levites: namely, Jeshua the son of Azaniah, Binnui of the sons of Henadad, Kadmiel;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 10] and their brethren, Shebaniah, Hodiah, Kelita, Pelaiah, Hanan,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 11] Mica, Rehob, Hashabiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 12] Zaccur, Sherebiah, Shebaniah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 13] Hodiah, Bani, Beninu.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 14] The chiefs of the people: Parosh, Pahath-moab, Elam, Zattu, Bani,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 15] Bunni, Azgad, Bebai,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 16] Adonijah, Bigvai, Adin,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 17] Ater, Hezekiah, Azzur,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 18] Hodiah, Hashum, Bezai,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 19] Hariph, Anathoth, Nebai,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 20] Magpiash, Meshullam, Hezir,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 21] Meshezabel, Zadok, Jaddua,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 22] Pelatiah, Hanan, Anaiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 23] Hoshea, Hananiah, Hasshub,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 24] Hallohesh, Pilha, Shobek,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 25] Rehum, Hashabnah, Maaseiah,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 26] and Ahiah, Hanan, Anan,
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 27] Malluch, Harim, Baanah.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 28] And the rest of the people, the priests, the Levites, the porters, the singers, the Nethinim, and all they that had separated themselves from the peoples of the lands unto the law of God, their wives, their sons, and their daughters, everyone that had knowledge, and understanding;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 29] they clave to their brethren, their nobles, and entered into a curse, and into an oath, to walk in God’s law, which was given by Moses the servant of God, and to observe and do all the commandments of Jehovah our Lord, and his ordinances and his statutes;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 30] and that we would not give our daughters unto the peoples of the land, nor take their daughters for our sons;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 31] and if the peoples of the land bring wares or any grain on the sabbath day to sell, that we would not buy of them on the sabbath, or on a holy day; and that we would forego the seventh year, and the exaction of every debt.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 32] Also we made ordinances for us, to charge ourselves yearly with the third part of a shekel for the service of the house of our God;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 33] for the showbread, and for the continual meal offering, and for the continual burnt offering, for the sabbaths, for the new moons, for the set feasts, and for the holy things, and for the sin offerings to make atonement for Israel, and for all the work of the house of our God.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 34] And we cast lots, the priests, the Levites, and the people, for the wood offering, to bring it into the house of our God, according to our fathers’ houses, at times appointed, year by year, to burn upon the altar of Jehovah our God, as it is written in the law;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 35] and to bring the firstfruits of our ground, and the firstfruits of all fruit of all manner of trees, year by year, unto the house of Jehovah;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 36] also the firstborn of our sons, and of our cattle, as it is written in the law, and the firstlings of our herds and of our flocks, to bring to the house of our God, unto the priests that minister in the house of our God;
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 37] and that we should bring the firstfruits of our dough, and our heave offerings, and the fruit of all manner of trees, the new wine and the oil, unto the priests, to the chambers of the house of our God; and the tithes of our ground unto the Levites; for they, the Levites, take the tithes in all the cities of our tillage.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 38] And the priest the son of Aaron shall be with the Levites, when the Levites take tithes: and the Levites shall bring up the tithe of the tithes unto the house of our God, to the chambers, into the treasure house.
[ASV | EN | OT | Nehemiah | Chapter 10 | Verse 39] For the children of Israel and the children of Levi shall bring the heave offering of the grain, of the new wine, and of the oil, unto the chambers, where are the vessels of the sanctuary, and the priests that minister, and the porters, and the singers: and we will not forsake the house of our God.
