[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 1] And the princes of the people dwelt in Jerusalem: the rest of the people also cast lots, to bring one of ten to dwell in Jerusalem the holy city, and nine parts in the other cities.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 2] And the people blessed all the men that willingly offered themselves to dwell in Jerusalem.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 3] Now these are the chiefs of the province that dwelt in Jerusalem: but in the cities of Judah dwelt every one in his possession in their cities, to wit, Israel, the priests, and the Levites, and the Nethinim, and the children of Solomon’s servants.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 4] And in Jerusalem dwelt certain of the children of Judah, and of the children of Benjamin. Of the children of Judah: Athaiah the son of Uzziah, the son of Zechariah, the son of Amariah, the son of Shephatiah, the son of Mahalalel, of the children of Perez;
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 5] and Maaseiah the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of the Shilonite.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 6] All the sons of Perez that dwelt in Jerusalem were four hundred threescore and eight valiant men.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 7] And these are the sons of Benjamin: Sallu the son of Meshullam, the son of Joed, the son of Pedaiah, the son of Kolaiah, the son of Maaseiah, the son of Ithiel, the son of Jeshaiah.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 8] And after him Gabbai, Sallai, nine hundred twenty and eight.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 9] And Joel the son of Zichri was their overseer; and Judah the son of Hassenuah was second over the city.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 10] Of the priests: Jedaiah the son of Joiarib, Jachin,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 11] Seraiah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 12] and their brethren that did the work of the house, eight hundred twenty and two; and Adaiah the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashhur, the son of Malchijah,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 13] and his brethren, chiefs of fathers’ houses, two hundred forty and two; and Amashsai the son of Azarel, the son of Ahzai, the son of Meshillemoth, the son of Immer,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 14] and their brethren, mighty men of valor, a hundred twenty and eight; and their overseer was Zabdiel, the son of Haggedolim.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 15] And of the Levites: Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, the son of Bunni;
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 16] and Shabbethai and Jozabad, of the chiefs of the Levites, who had the oversight of the outward business of the house of God;
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 17] and Mattaniah the son of Mica, the son of Zabdi, the son of Asaph, who was the chief to begin the thanksgiving in prayer, and Bakbukiah, the second among his brethren; and Abda the son of Shammua, the son of Galal, the son of Jeduthun.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 18] All the Levites in the holy city were two hundred fourscore and four.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 19] Moreover the porters, Akkub, Talmon, and their brethren, that kept watch at the gates, were a hundred seventy and two.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 20] And the residue of Israel, of the priests, the Levites, were in all the cities of Judah, every one in his inheritance.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 21] But the Nethinim dwelt in Ophel: and Ziha and Gishpa were over the Nethinim.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 22] The overseer also of the Levites at Jerusalem was Uzzi the son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Mica, of the sons of Asaph, the singers, over the business of the house of God.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 23] For there was a commandment from the king concerning them, and a settled provision for the singers, as every day required.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 24] And Pethahiah the son of Meshezabel, of the children of Zerah the son of Judah, was at the king’s hand in all matters concerning the people.
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 25] And as for the villages, with their fields, some of the children of Judah dwelt in Kiriath-arba and the towns thereof, and in Dibon and the towns thereof, and in Jekabzeel and the villages thereof,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 26] and in Jeshua, and in Moladah, and Beth-pelet,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 27] and in Hazar-shual, and in Beer-sheba and the towns thereof,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 28] and in Ziklag, and in Meconah and in the towns thereof,
[ASV | EN | OT | Nehemiah | Chapter 11 | Verse 29] and in En-rimmon, and in Zorah, and in Jarmuth,
