[YLT | EN | OT | Zechariah | Chapter 5 | Verse 1] And I turn back, and lift up mine eyes, and look, and lo, a flying roll.
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 2] And he saith unto me, 'What art thou seeing?' And I say, 'I am seeing a flying roll, its length twenty by the cubit, and its breadth ten by the cubit.'
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 3] And he saith unto me, 'This [is] the execration that is going forth over the face of all the land, for every one who is stealing, on the one side, according to it, hath been declared innocent, and every one who hath sworn, on the other side, according to it, hath been declared innocent.
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 4] 'I have brought it out — an affirmation of Jehovah of Hosts — and it hath come in unto the house of the thief, and unto the house of him who hath sworn in My name to a falsehood, and it hath remained in the midst of his house, and hath consumed it, both its wood and its stones.'
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 5] And the messenger who is speaking with me goeth forth, and saith unto me, 'Lift up, I pray thee, thine eyes, and see what [is] this that is coming forth?'
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 6] And I say, 'What [is] it?' And he saith, 'This — the ephah that is coming forth.' And he saith, 'This [is] their aspect in all the land.
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 7] And lo, a cake of lead lifted up; and this [is] a woman sitting in the midst of the ephah.'
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 8] And he saith, 'This [is] the wicked woman.' And he casteth her unto the midst of the ephah, and casteth the weight of lead on its mouth.
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 9] And I lift up mine eyes, and see, and lo, two women are coming forth, and wind in their wings; and they have wings like wings of the stork, and they lift up the ephah between the earth and the heavens.
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 10] And I say unto the messenger who is speaking with me, 'Whither [are] they causing the ephah to go?'
[YLT | EN | OT | Zechariah | Chapter 5 | Verse 11] And he saith unto me, 'To build to it a house in the land of Shinar.' And it hath been prepared and hath been placed there on its base.
