[KJV | EN | OT | Sirach | Chapter 41 | Verse 1] O death, how bitter is the remembrance of thee to a man that liveth at rest in his possessions, Unto the man that hath nothing to vex him, and that hath prosperity in all things: Yea unto him that is yet able to receive meat!
[KJV | EN | OT | Sirach | Chapter 41 | Verse 2] O death, acceptable is thy sentence unto the needy, And unto him whose strength faileth, that is now in the last age, And is vexed with all things, And to him that despaireth, and hath lost patience!
[KJV | EN | OT | Sirach | Chapter 41 | Verse 3] Fear not the sentence of death, Remember them that have been before thee, and that come after; For this is the sentence of the Lord over all flesh.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 4] And why art thou against the pleasure of the most High? There is no inquisition in the grave, Whether thou have lived ten, or an hundred, or a thousand years.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 5] The children of sinners are abominable children, And they that are conversant in the dwelling of the ungodly.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 6] The inheritance of sinners’ children shall perish, And their posterity shall have a perpetual reproach.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 7] The children will complain of an ungodly father, Because they shall be reproached for his sake.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 8] Woe be unto you, ungodly men, Which have forsaken the law of the most high God! For if you increase, it shall be to your destruction:
[KJV | EN | OT | Sirach | Chapter 41 | Verse 9] And if you be born, you shall be born to a curse; And if you die, a curse shall be your portion.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 10] All that are of the earth shall turn to earth again: So the ungodly shall go from a curse to destruction.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 11] The mourning of men is about their bodies: But an ill name of sinners shall be blotted out.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 12] Have regard to thy name; for that shall continue with thee Above a thousand great treasures of gold.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 13] A good life hath but few days: But a good name endureth for ever.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 14] My children, keep discipline in peace: For wisdom that is hid, and a treasure that is not seen, What profit is in them both?
[KJV | EN | OT | Sirach | Chapter 41 | Verse 15] A man that hideth his foolishness is better Than a man that hideth his wisdom.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 16] Therefore be shamefast according to my word: For it is not good to retain all shamefastness; Neither is it altogether approved in every thing.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 17] Be ashamed of whoredom before father and mother: And of a lie before a prince and a mighty man;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 18] Of an offence before a judge and ruler; Of iniquity before a congregation and people; Of unjust dealing before thy partner and friend;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 19] And of theft in regard of the place where thou sojournest, And in regard of the truth of God and his covenant; And to lean with thine elbow upon the meat; And of scorning to give and take;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 20] And of silence before them that salute thee; And to look upon a harlot;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 21] And to turn away thy face from thy kinsman; Or to take away a portion or a gift; Or to gaze upon another man’s wife;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 22] Or to be overbusy with his maid, And come not near her bed; Or of upbraiding speeches before friends; And after thou hast given, upbraid not;
[KJV | EN | OT | Sirach | Chapter 41 | Verse 23] Or of iterating and speaking again that which thou hast heard; And of revealing of secrets.
[KJV | EN | OT | Sirach | Chapter 41 | Verse 24] So shalt thou be truly shamefast, And find favour before all men.
