[KJV | EN | OT | Sirach | Chapter 8 | Verse 1] Strive not with a mighty man, Lest thou fall into his hands.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 2] Be not at variance with a rich man, lest he overweigh thee: For gold hath destroyed many, And perverted the hearts of kings.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 3] Strive not with a man that is full of tongue, And heap not wood upon his fire.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 4] Jest not with a rude man, Lest thy ancestors be disgraced.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 5] Reproach not a man that turneth from sin, But remember that we are all worthy of punishment.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 6] Dishonour not a man in his old age: For even some of us wax old.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 7] Rejoice not over thy greatest enemy being dead, But remember that we die all.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 8] Despise not the discourse of the wise, But acquaint thyself with their proverbs: For of them thou shalt learn instruction, And how to serve great men with ease.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 9] Miss not the discourse of the elders: For they also learned of their fathers, And of them thou shalt learn understanding, And to give answer as need requireth.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 10] Kindle not the coals of a sinner, Lest thou be burnt with the flame of his fire.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 11] Rise not up in anger at the presence of an injurious person, Lest he lie in wait to entrap thee in thy words.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 12] Lend not unto him that is mightier than thyself; For if thou lendest him, count it but lost.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 13] Be not surety above thy power: For if thou be surety, take care to pay it.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 14] Go not to law with a judge; For they will judge for him according to his honour.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 15] Travel not by the way with a bold fellow, Lest he become grievous unto thee: For he will do according to his own will, And thou shalt perish with him through his folly.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 16] Strive not with an angry man, And go not with him into a solitary place: For blood is as nothing in his sight; And where there is no help, he will overthrow thee.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 17] Consult not with a fool; For he cannot keep counsel.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 18] Do no secret thing before a stranger; For thou knowest not what he will bring forth.
[KJV | EN | OT | Sirach | Chapter 8 | Verse 19] Open not thine heart to every man, Lest he requite thee with a shrewd turn.
