[KJV | EN | OT | Sirach | Chapter 17 | Verse 1] The Lord created man of the earth, And turned him into it again.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 2] He gave them few days, and a short time, And power also over the things therein.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 3] He endued them with strength by themselves, And made them according to his image,
[KJV | EN | OT | Sirach | Chapter 17 | Verse 4] And put the fear of man upon all flesh, And gave him dominion over beasts and fowls.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 5] They received the use of the five operations of the Lord, And in the sixth place he imparted them understanding, And in the seventh, speech, an interpreter of the cogitations thereof.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 6] Counsel, and a tongue, and eyes, Ears, and a heart, gave he them to understand.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 7] Withal he filled them with the knowledge of understanding, And shewed them good and evil.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 8] He set his eye upon their hearts, That he might shew them the greatness of his works.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 9] He gave them to glory in his marvellous acts for ever, That they might declare his works with understanding.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 10] And the elect shall praise his holy name.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 11] Beside this he gave them knowledge, And the law of life for an heritage.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 12] He made an everlasting covenant with them, And shewed them his judgments.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 13] Their eyes saw the majesty of his glory, And their ears heard his glorious voice.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 14] And he said unto them, Beware of all unrighteousness; And he gave every man commandment concerning his neighbour.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 15] Their ways are ever before him, And shall not be hid from his eyes.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 16] Every man from his youth is given to evil; Neither could they make to themselves fleshy hearts for stony.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 17] For in the division of the nations of the whole earth He set a ruler over every people; But Israel is the Lord’s portion:
[KJV | EN | OT | Sirach | Chapter 17 | Verse 18] Whom, being his firstborn, he nourisheth with discipline, And giving him the light of his love doth not forsake him.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 19] Therefore all their works are as the sun before him, And his eyes are continually upon their ways.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 20] None of their unrighteous deeds are hid from him, But all their sins are before the Lord
[KJV | EN | OT | Sirach | Chapter 17 | Verse 21] But the Lord being gracious, and knowing his workmanship, Neither left nor forsook them, but spared them.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 22] The alms of a man is as a signet with him, And he will keep the good deeds of man as the apple of the eye, And give repentance to his sons and daughters.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 23] Afterward he will rise up and reward them, And render their recompence upon their heads.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 24] But unto them that repent, he granted them return, And comforted those that fail in patience.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 25] Return unto the Lord, and forsake thy sins, Make thy prayer before his face, and offend less.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 26] Turn again to the most High, and turn away from iniquity: For he will lead thee out of darkness into the light of health, And hate thou abomination vehemently.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 27] Who shall praise the most High in the grave, Instead of them which live and give thanks?
[KJV | EN | OT | Sirach | Chapter 17 | Verse 28] Thanksgiving perisheth from the dead, as from one that is not: The living and sound in heart shall praise the Lord.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 29] How great is the lovingkindness of the Lord our God, And his compassion unto such as turn unto him in holiness!
[KJV | EN | OT | Sirach | Chapter 17 | Verse 30] For all things cannot be in men, Because the son of man is not immortal.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 31] What is brighter than the sun? yet the light thereof faileth: And flesh and blood will imagine evil.
[KJV | EN | OT | Sirach | Chapter 17 | Verse 32] He vieweth the power of the height of heaven; And all men are but earth and ashes.
