[KJV | EN | OT | Sirach | Chapter 11 | Verse 1] Wisdom lifteth up the head of him that is of low degree, And maketh him to sit among great men.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 2] Commend not a man for his beauty; Neither abhor a man for his outward appearance.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 3] The bee is little among such as fly; But her fruit is the chief of sweet things.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 4] Boast not of thy clothing and raiment, And exalt not thyself in the day of honour: For the works of the Lord are wonderful, And his works among men are hidden.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 5] Many kings have sit down upon the ground; And one that was never thought of hath worn the crown.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 6] Many mighty men have been greatly disgraced; And the honourable delivered into other men’s hands.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 7] Blame not before thou hast examined the truth: Understand first, and then rebuke.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 8] Answer not before thou hast heard the cause: Neither interrupt men in the midst of their talk.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 9] Strive not in a matter that concerneth thee not; And sit not in judgment with sinners.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 10] My son, meddle not with many matters: For if thou meddle much, thou shalt not be innocent; And if thou follow after, thou shalt not obtain, Neither shalt thou escape by fleeing.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 11] There is one that laboureth, and taketh pains, and maketh haste, And is so much the more behind.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 12] Again, there is another that is slow, and hath need of help, Wanting ability, and full of poverty; Yet the eye of the Lord looked upon him for good, And set him up from his low estate,
[KJV | EN | OT | Sirach | Chapter 11 | Verse 13] And lifted up his head from misery; So that many that saw it marvelled at him.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 14] Prosperity and adversity, life and death, Poverty and riches, come of the Lord.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 15] Wisdom, knowledge, and understanding of the law, are of the Lord: Love, and the way of good works, are from him.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 16] Error and darkness had their beginning together with sinners: And evil shall wax old with them that glory therein.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 17] The gift of the Lord remaineth with the godly, And his favour bringeth prosperity for ever.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 18] There is that waxeth rich by his wariness and pinching, And this is the portion of his reward:
[KJV | EN | OT | Sirach | Chapter 11 | Verse 19] Whereas he saith, I have found rest, And now will eat continually of my goods; And yet he knoweth not what time shall come upon him, And that he must leave those things to others, and die.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 20] Be stedfast in thy covenant, and be conversant therein, And wax old in thy work.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 21] Marvel not at the works of sinners; But trust in the Lord, and abide in thy labour: For it is an easy thing in the sight of the Lord on the sudden to make a poor man rich.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 22] The blessing of the Lord is in the reward of the godly, And suddenly he maketh his blessing to flourish.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 23] Say not, What profit is there of my service? And what good things shall I have hereafter?
[KJV | EN | OT | Sirach | Chapter 11 | Verse 24] Again, say not, I have enough, and possess many things, And what evil can come to me hereafter?
[KJV | EN | OT | Sirach | Chapter 11 | Verse 25] In the day of prosperity there is a forgetfulness of affliction: And in the day of affliction there is no remembrance of prosperity.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 26] For it is an easy thing unto the Lord in the day of death To reward a man according to his ways.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 27] The affliction of an hour maketh a man forget pleasure: And in his end his deeds shall be discovered.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 28] Judge none blessed before his death: For a man shall be known in his children.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 29] Bring not every man into thine house: For the deceitful man hath many trains.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 30] Like as a partridge taken and kept in a cage, so is the heart of the proud; And like as a spy, watcheth he for thy fall:
[KJV | EN | OT | Sirach | Chapter 11 | Verse 31] For he lieth in wait, and turneth good into evil, And in things worthy praise will lay blame upon thee.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 32] Of a spark of fire a heap of coals is kindled: And a sinful man layeth wait for blood.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 33] Take heed of a mischievous man, for he worketh wickedness; Lest he bring upon thee a perpetual blot.
[KJV | EN | OT | Sirach | Chapter 11 | Verse 34] Receive a stranger into thine house, and he will disturb thee, And turn thee out of thine own.
