[KJV | EN | OT | Sirach | Chapter 21 | Verse 1] My son, hast thou sinned? do so no more, But ask pardon for thy former sins.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 2] Flee from sin as from the face of a serpent: For if thou comest too near it, it will bite thee: The teeth thereof are as the teeth of a lion, Slaying the souls of men.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 3] All iniquity is as a twoedged sword, The wounds whereof cannot be healed.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 4] To terrify and do wrong will waste riches: Thus the house of proud men shall be made desolate.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 5] A prayer out of a poor man’s mouth reacheth to the ears of God, And his judgment cometh speedily.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 6] He that hateth to be reproved is in the way of sinners: But he that feareth the Lord will repent from his heart.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 7] An eloquent man is known far and near; But a man of understanding knoweth when he slippeth.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 8] He that buildeth his house with other men’s money Is like one that gathereth himself stones for the tomb of his burial.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 9] The congregation of the wicked is like tow wrapped together: And the end of them is a flame of fire to destroy them.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 10] The way of sinners is made plain with stones, But at the end thereof is the pit of hell.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 11] He that keepeth the law of the Lord getteth the understanding thereof: And the perfection of the fear of the Lord is wisdom.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 12] He that is not wise will not be taught: But there is a wisdom which multiplieth bitterness.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 13] The knowledge of a wise man shall abound like a flood: And his counsel is like a pure fountain of life.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 14] The inner parts of a fool are like a broken vessel, And he will hold no knowledge as long as he liveth.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 15] If a skilful man hear a wise word, He will commend it, and add unto it: But as soon as one of no understanding heareth it, it displeaseth him, And he casteth it behind his back.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 16] The talking of a fool is like a burden in the way: But grace shall be found in the lips of the wise.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 17] They inquire at the mouth of the wise man in the congregation, And they shall ponder his words in their heart.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 18] As is a house that is destroyed, so is wisdom to a fool: And the knowledge of the unwise is as talk without sense.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 19] Doctrine unto fools is as fetters on the feet, And like manacles on the right hand.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 20] A fool lifteth up his voice with laughter; But a wise man doth scarce smile a little.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 21] Learning is unto a wise man as an ornament of gold, And like a bracelet upon his right arm.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 22] A foolish man’s foot is soon in his neighbour’s house: But a man of experience is ashamed of him.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 23] A fool will peep in at the door into the house: But he that is well nurtured will stand without.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 24] It is the rudeness of a man to hearken at the door: But a wise man will be grieved with disgrace.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 25] The lips of talkers will be telling such things as pertain not unto them: But the words of such as have understanding are weighed in the balance.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 26] The heart of fools is in their mouth: But the mouth of the wise is in their heart.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 27] When the ungodly curseth Satan, He curseth his own soul.
[KJV | EN | OT | Sirach | Chapter 21 | Verse 28] A whisperer defileth his own soul, And is hated wheresoever he dwelleth.
