[KJV | EN | OT | Sirach | Chapter 33 | Verse 1] There shall no evil happen unto him that feareth the Lord; But in temptation even again he will deliver him.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 2] A wise man hateth not the law; But he that is a hypocrite therein is as a ship in a storm.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 3] A man of understanding trusteth in the law; And the law is faithful unto him, as an oracle.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 4] Prepare what to say, and so thou shalt be heard: And bind up instruction, and then make answer.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 5] The heart of the foolish is like a cartwheel; And his thoughts are like a rolling axletree.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 6] A stallion horse is as a mocking friend, He neigheth under every one that sitteth upon him.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 7] Why doth one day excel another, When as all the light of every day in the year is of the sun?
[KJV | EN | OT | Sirach | Chapter 33 | Verse 8] By the knowledge of the Lord they were distinguished: And he altered seasons and feasts.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 9] Some of them hath he made high days, and hallowed them, And some of them hath he made ordinary days.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 10] And all men are from the ground, And Adam was created of earth.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 11] In much knowledge the Lord hath divided them, And made their ways diverse.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 12] Some of them hath he blessed and exalted, And some of them hath he sanctified, and set near himself: But some of them hath he cursed and brought low, And turned out of their places.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 13] As the clay is in the potter’s hand, To fashion it at his pleasure: So man is in the hand of him that made him, To render to them as liketh him best.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 14] Good is set against evil, And life against death: So is the godly against the sinner, And the sinner against the godly.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 15] So look upon all the works of the most High; And there are two and two, one against another.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 16] I awaked up last of all, As one that gathereth after the grapegatherers: By the blessing of the Lord I profited, And filled my winepress like a gatherer of grapes.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 17] Consider that I laboured not for myself only, But for all them that seek learning.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 18] Hear me, O ye great men of the people, And hearken with your ears, ye rulers of the congregation.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 19] Give not thy son and wife, thy brother and friend, power over thee while thou livest, And give not thy goods to another: Lest it repent thee, and thou intreat for the same again.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 20] As long as thou livest and hast breath in thee, Give not thyself over to any.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 21] For better it is that thy children should seek to thee, Than that thou shouldest stand to their courtesy.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 22] In all thy works keep to thyself the pre-eminence; Leave not a stain in thine honour.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 23] At the time when thou shalt end thy days, And finish thy life, distribute thine inheritance.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 24] Fodder, a wand, and burdens, are for the ass; And bread, correction, and work, for a servant.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 25] If thou set thy servant to labour, thou shalt find rest: But if thou let him go idle, he shall seek liberty.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 26] A yoke and a collar do bow the neck: So are tortures and torments for an evil servant.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 27] Send him to labour, that he be not idle; For idleness teacheth much evil.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 28] Set him to work, as is fit for him: If he be not obedient, put on more heavy fetters.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 29] But be not excessive toward any; And without discretion do nothing.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 30] If thou have a servant, let him be unto thee as thyself, Because thou hast bought him with a price.
[KJV | EN | OT | Sirach | Chapter 33 | Verse 31] If thou have a servant, entreat him as a brother: For thou hast need of him, as of thine own soul: If thou entreat him evil, and he run from thee, Which way wilt thou go to seek him?
