[KJV | EN | OT | Sirach | Chapter 20 | Verse 1] There is a reproof that is not comely: Again, some man holdeth his tongue, and he is wise.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 2] It is much better to reprove, than to be angry secretly: And he that confesseth his fault shall be preserved from hurt.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 3] How good is it, when thou art reproved, to shew repentance! For so shalt thou escape wilful sin.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 4] As is the lust of an eunuch to deflower a virgin; So is he that executeth judgment with violence.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 5] There is one that keepeth silence, and is found wise: And another by much babbling becometh hateful.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 6] Some man holdeth his tongue, because he hath not to answer: And some keepeth silence, knowing his time.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 7] A wise man will hold his tongue till he see opportunity: But a babbler and a fool will regard no time.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 8] He that useth many words shall be abhorred; And he that taketh to himself authority therein shall be hated.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 9] There is a sinner that hath good success in evil things; And there is a gain that turneth to loss.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 10] There is a gift that shall not profit thee; And there is a gift whose recompence is double.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 11] There is an abasement because of glory; And there is that lifteth up his head from a low estate.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 12] There is that buyeth much for a little, And repayeth it sevenfold.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 13] A wise man by his words maketh himself beloved: But the graces of fools shall be poured out.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 14] The gift of a fool shall do thee no good when thou hast it; Neither yet of the envious for his necessity: For he looketh to receive many things for one.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 15] He giveth little, and upbraideth much; He openeth his mouth like a crier; To day he lendeth, and to morrow will he ask it again: Such a one is to be hated of God and man.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 16] The fool saith, I have no friends, I have no thank for all my good deeds, And they that eat my bread speak evil of me.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 17] How oft, and of how many shall he be laughed to scorn! For he knoweth not aright what it is to have; And it is all one unto him as if he had it not.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 18] To slip upon a pavement is better than to slip with the tongue: So the fall of the wicked shall come speedily.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 19] An unseasonable tale Will always be in the mouth of the unwise.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 20] A wise sentence shall be rejected when it cometh out of a fool’s mouth; For he will not speak it in due season.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 21] There is that is hindered from sinning through want: And when he taketh rest, he shall not be troubled.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 22] There is that destroyeth his own soul through bashfulness, And by accepting of persons overthroweth himself.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 23] There is that for bashfulness promiseth to his friend, And maketh him his enemy for nothing.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 24] A lie is a foul blot in a man, Yet it is continually in the mouth of the untaught.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 25] A thief is better than a man that is accustomed to lie: But they both shall have destruction to heritage.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 26] The disposition of a liar is dishonourable, And his shame is ever with him.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 27] A wise man shall promote himself to honour with his words: And he that hath understanding will please great men.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 28] He that tilleth his land shall increase his heap: And he that pleaseth great men shall get pardon for iniquity.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 29] Presents and gifts blind the eyes of the wise, And stop up his mouth that he cannot reprove.
[KJV | EN | OT | Sirach | Chapter 20 | Verse 30] Wisdom that is hid, and treasure that is hoarded up, What profit is in them both?
[KJV | EN | OT | Sirach | Chapter 20 | Verse 31] Better is he that hideth his folly Than a man that hideth his wisdom.
