[KJV | EN | OT | Sirach | Chapter 25 | Verse 1] In three things I was beautified, And stood up beautiful both before God and men: The unity of brethren, the love of neighbours, A man and a wife that agree together.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 2] Three sorts of men my soul hateth, And I am greatly offended at their life: A poor man that is proud, a rich man that is a liar, And an old adulterer that doateth.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 3] If thou hast gathered nothing in thy youth, How canst thou find any thing in thine age?
[KJV | EN | OT | Sirach | Chapter 25 | Verse 4] O how comely a thing is judgment for gray hairs, And for ancient men to know counsel!
[KJV | EN | OT | Sirach | Chapter 25 | Verse 5] O how comely is the wisdom of old men, And understanding and counsel to men of honour!
[KJV | EN | OT | Sirach | Chapter 25 | Verse 6] Much experience is the crown of old men, And the fear of God is their glory.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 7] There be nine things which I have judged in mine heart to be happy, And the tenth I will utter with my tongue: A man that hath joy of his children; And he that liveth to see the fall of his enemy:
[KJV | EN | OT | Sirach | Chapter 25 | Verse 8] Well is him that dwelleth with a wife of understanding, And that hath not slipped with his tongue, And that hath not served a man more unworthy than himself:
[KJV | EN | OT | Sirach | Chapter 25 | Verse 9] Well is him that hath found prudence, And he that speaketh in the ears of them that will hear:
[KJV | EN | OT | Sirach | Chapter 25 | Verse 10] O how great is he that findeth wisdom! Yet is there none above him that feareth the Lord.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 11] But the love of the Lord passeth all things for illumination: He that holdeth it, whereto shall he be likened?
[KJV | EN | OT | Sirach | Chapter 25 | Verse 12] The fear of the Lord is the beginning of his love: And faith is the beginning of cleaving unto him.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 13] Give me any plague, but the plague of the heart: And any wickedness, but the wickedness of a woman:
[KJV | EN | OT | Sirach | Chapter 25 | Verse 14] And any affliction, but the affliction from them that hate me: And any revenge, but the revenge of enemies.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 15] There is no head above the head of a serpent; And there is no wrath above the wrath of an enemy.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 16] I had rather dwell with a lion and a dragon, Than to keep house with a wicked woman.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 17] The wickedness of a woman changeth her face, And darkeneth her countenance like sackcloth.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 18] Her husband shall sit among his neighbours; And when he heareth it shall sigh bitterly.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 19] All wickedness is but little to the wickedness of a woman: Let the portion of a sinner fall upon her.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 20] As the climbing up a sandy way is to the feet of the aged, So is a wife full of words to a quiet man.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 21] Stumble not at the beauty of a woman, And desire her not for pleasure.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 22] A woman, if she maintain her husband, Is full of anger, impudency, and much reproach.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 23] A wicked woman abateth the courage, maketh a heavy countenance and a wounded heart: A woman that will not comfort her husband in distress maketh weak hands and feeble knees.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 24] Of the woman came the beginning of sin, And through her we all die.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 25] Give the water no passage; Neither a wicked woman liberty to gad abroad.
[KJV | EN | OT | Sirach | Chapter 25 | Verse 26] If she go not as thou wouldest have her, Cut her off from thy flesh, And give her a bill of divorce, and let her go.
