[KJV | EN | OT | Sirach | Chapter 15 | Verse 1] He that feareth the Lord will do good, And he that hath the knowledge of the law shall obtain her.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 2] And as a mother shall she meet him, And receive him as a wife married of a virgin.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 3] With the bread of understanding shall she feed him, And give him the water of wisdom to drink.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 4] He shall be stayed upon her, and shall not be moved; And shall rely upon her, and shall not be confounded.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 5] She shall exalt him above his neighbours, And in the midst of the congregation shall she open his mouth.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 6] He shall find joy and a crown of gladness, And she shall cause him to inherit an everlasting name.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 7] But foolish men shall not attain unto her, And sinners shall not see her.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 8] For she is far from pride, And men that are liars cannot remember her.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 9] Praise is not seemly in the mouth of a sinner, For it was not sent him of the Lord.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 10] For praise shall be uttered in wisdom, And the Lord will prosper it.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 11] Say not thou, It is through the Lord that I fell away: For thou oughtest not to do the things that he hateth.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 12] Say not thou, He hath caused me to err: For he hath no need of the sinful man.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 13] The Lord hateth all abomination; And they that fear God love it not.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 14] He himself made man from the beginning, And left him in the hand of his counsel;
[KJV | EN | OT | Sirach | Chapter 15 | Verse 15] If thou wilt, to keep the commandments, And to perform acceptable faithfulness.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 16] He hath set fire and water before thee: Stretch forth thy hand unto whether thou wilt.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 17] Before man is life and death; And whether him liketh shall be given him.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 18] For the wisdom of the Lord is great, And he is mighty in power, and beholdeth all things:
[KJV | EN | OT | Sirach | Chapter 15 | Verse 19] And his eyes are upon them that fear him, And he knoweth every work of man.
[KJV | EN | OT | Sirach | Chapter 15 | Verse 20] He hath commanded no man to do wickedly, Neither hath he given any man licence to sin.
