[KJV | EN | OT | Sirach | Chapter 27 | Verse 1] Many have sinned for a small matter; And he that seeketh for abundance will turn his eyes away.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 2] As a nail sticketh fast between the joinings of the stones; So doth sin stick close between buying and selling.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 3] Unless a man hold himself diligently in the fear of the Lord, His house shall soon be overthrown.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 4] As when one sifteth with a sieve, the refuse remaineth; So the filth of man in his talk.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 5] The furnace proveth the potter’s vessels; So the trial of man is in his reasoning.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 6] The fruit declareth if the tree have been dressed; So is the utterance of a conceit in the heart of man.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 7] Praise no man before thou hearest him speak; For this is the trial of men.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 8] If thou followest righteousness, thou shalt obtain her, And put her on, as a glorious long robe.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 9] The birds will resort unto their like; So will truth return unto them that practise in her.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 10] As the lion lieth in wait for the prey; So sin for them that work iniquity.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 11] The discourse of a godly man is always with wisdom; But a fool changeth as the moon.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 12] If thou be among the undiscreet, observe the time; But be continually among men of understanding.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 13] The discourse of fools is irksome, And their sport is in the wantonness of sin.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 14] The talk of him that sweareth much maketh the hair stand upright; And their brawls make one stop his ears.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 15] The strife of the proud is bloodshedding, And their revilings are grievous to the ear.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 16] Whoso discovereth secrets loseth his credit; And shall never find friend to his mind.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 17] Love thy friend, and be faithful unto him: But if thou bewrayest his secrets, follow no more after him.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 18] For as a man hath destroyed his enemy; So hast thou lost the love of thy neighbour.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 19] As one that letteth a bird go out of his hand, So hast thou let thy neighbour go, and shalt not get him again
[KJV | EN | OT | Sirach | Chapter 27 | Verse 20] Follow after him no more, for he is too far off; He is as a roe escaped out of the snare.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 21] As for a wound, it may be bound up; And after reviling there may be reconcilement: But he that bewrayeth secrets is without hope.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 22] He that winketh with the eyes worketh evil: And he that knoweth him will depart from him.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 23] When thou art present, he will speak sweetly, And will admire thy words: But at the last he will writhe his mouth, And slander thy sayings.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 24] I have hated many things, but nothing like him; For the Lord will hate him.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 25] Whoso casteth a stone on high casteth it on his own head; And a deceitful stroke shall make wounds.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 26] Whoso diggeth a pit shall fall therein: And he that setteth a trap shall be taken therein.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 27] He that worketh mischief, it shall fall upon him, And he shall not know whence it cometh.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 28] Mockery and reproach are from the proud; But vengeance, as a lion, shall lie in wait for them.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 29] They that rejoice at the fall of the righteous shall be taken in the snare; And anguish shall consume them before they die.
[KJV | EN | OT | Sirach | Chapter 27 | Verse 30] Malice and wrath, even these are abominations; And the sinful man shall have them both.
