[KJV | EN | OT | Sirach | Chapter 30 | Verse 1] He that loveth his son causeth him oft to feel the rod, That he may have joy of him in the end.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 2] He that chastiseth his son shall have joy in him, And shall rejoice of him among his acquaintance.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 3] He that teacheth his son grieveth the enemy: And before his friends he shall rejoice of him.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 4] Though his father die, yet he is as though he were not dead: For he hath left one behind him that is like himself.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 5] While he lived, he saw and rejoiced in him: And when he died, he was not sorrowful.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 6] He left behind him an avenger against his enemies, And one that shall requite kindness to his friends.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 7] He that maketh too much of his son shall bind up his wounds; And his bowels will be troubled at every cry.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 8] A horse not broken becometh headstrong: And a child left to himself will be wilful.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 9] Cocker thy child, and he shall make thee afraid: Play with him, and he will bring thee to heaviness.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 10] Laugh not with him, lest thou have sorrow with him, And lest thou gnash thy teeth in the end.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 11] Give him no liberty in his youth, And wink not at his follies.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 12] Bow down his neck while he is young, And beat him on the sides while he is a child, Lest he wax stubborn, and be disobedient unto thee, And so bring sorrow to thine heart.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 13] Chastise thy son, and hold him to labour, Lest his lewd behaviour be an offence unto thee.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 14] Better is the poor, being sound and strong of constitution, Than a rich man that is afflicted in his body.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 15] Health and good state of body are above all gold, And a strong body above infinite wealth.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 16] There is no riches above a sound body, And no joy above the joy of the heart.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 17] Death is better than a bitter life Or continual sickness.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 18] Delicates poured upon a mouth shut up Are as messes of meat set upon a grave.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 19] What good doth the offering unto an idol? For neither can it eat nor smell: So is he that is persecuted of the Lord.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 20] He seeth with his eyes and groaneth, As an eunuch that embraceth a virgin and sigheth.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 21] Give not over thy mind to heaviness, And afflict not thyself in thine own counsel.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 22] The gladness of the heart is the life of man, And the joyfulness of a man prolongeth his days.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 23] Love thine own soul, And comfort thy heart, Remove sorrow far from thee: For sorrow hath killed many, And there is no profit therein.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 24] Envy and wrath shorten the life, And carefulness bringeth age before the time.
[KJV | EN | OT | Sirach | Chapter 30 | Verse 25] A cheerful and good heart will have a care of his meat and diet.
