[KJV | EN | OT | Sirach | Chapter 4 | Verse 1] My son, defraud not the poor of his living, And make not the needy eyes to wait long.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 2] Make not a hungry soul sorrowful; Neither provoke a man in his distress.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 3] Add not more trouble to a heart that is vexed; And defer not to give to him that is in need.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 4] Reject not the supplication of the afflicted; Neither turn away thy face from a poor man.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 5] Turn not away thine eye from the needy, And give him none occasion to curse thee:
[KJV | EN | OT | Sirach | Chapter 4 | Verse 6] For if he curse thee in the bitterness of his soul, His prayer shall be heard of him that made him.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 7] Get thyself the love of the congregation, And bow thy head to a great man.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 8] Let it not grieve thee to bow down thine ear to the poor, And give him a friendly answer with meekness.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 9] Deliver him that suffereth wrong from the hand of the oppressor; And be not fainthearted when thou sittest in judgment.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 10] Be as a father unto the fatherless, And instead of a husband unto their mother: So shalt thou be as the son of the most High, And he shall love thee more than thy mother doth.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 11] Wisdom exalteth her children, And layeth hold of them that seek her.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 12] He that loveth her loveth life; And they that seek to her early shall be filled with joy.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 13] He that holdeth her fast shall inherit glory; And wheresoever she entereth, the Lord will bless.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 14] They that serve her shall minister to the Holy One: And them that love her the Lord doth love.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 15] Whoso giveth ear unto her shall judge the nations: And he that attendeth unto her shall dwell securely.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 16] If a man commit himself unto her, he shall inherit her; And his generations shall hold her in possession.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 17] For at the first she will walk with him by crooked ways, And bring fear and dread upon him, And torment him with her discipline, Until she may trust his soul, And try him by her laws.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 18] Then will she return the straight way unto him, And comfort him, and shew him her secrets.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 19] But if he go wrong, she will forsake him, And give him over to his own ruin.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 20] Observe the opportunity, and beware of evil; And be not ashamed when it concerneth thy soul.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 21] For there is a shame that bringeth sin; And there is a shame which is glory and grace.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 22] Accept no person against thy soul, And let not the reverence of any man cause thee to fall.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 23] And refrain not to speak, when there is occasion to do good, And hide not thy wisdom in her beauty.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 24] For by speech wisdom shall be known: And learning by the word of the tongue.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 25] In no wise speak against the truth; But be abashed of the error of thine ignorance.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 26] Be not ashamed to confess thy sins; And force not the course of the river.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 27] Make not thyself an underling to a foolish man; Neither accept the person of the mighty.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 28] Strive for the truth unto death, And the Lord shall fight for thee.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 29] Be not hasty in thy tongue, And in thy deeds slack and remiss.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 30] Be not as a lion in thy house, Nor frantick among thy servants.
[KJV | EN | OT | Sirach | Chapter 4 | Verse 31] Let not thine hand be stretched out to receive, And shut when thou shouldest repay.
