[KJV | EN | OT | Sirach | Chapter 14 | Verse 1] Blessed is the man that hath not slipt with his mouth, And is not pricked with the multitude of sins.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 2] Blessed is he whose conscience hath not condemned him, And who is not fallen from his hope in the Lord.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 3] Riches are not comely for a niggard: And what should an envious man do with money?
[KJV | EN | OT | Sirach | Chapter 14 | Verse 4] He that gathereth by defrauding his own soul gathereth for others, That shall spend his goods riotously.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 5] He that is evil to himself, to whom will he be good? He shall not take pleasure in his goods.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 6] There is none worse than he that envieth himself; And this is a recompence of his wickedness.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 7] And if he doeth good, he doeth it unwillingly; And at the last he will declare his wickedness.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 8] The envious man hath a wicked eye; He turneth away his face, and despiseth men.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 9] A covetous man’s eye is not satisfied with his portion; And the iniquity of the wicked drieth up his soul.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 10] A wicked eye envieth his bread, And he is a niggard at his table.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 11] My son, according to thy ability do good to thyself, And give the Lord his due offering.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 12] Remember that death will not be long in coming, And that the covenant of the grave is not shewed unto thee.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 13] Do good unto thy friend before thou die, And according to thy ability stretch out thy hand and give to him.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 14] Defraud not thyself of the good day, And let not the part of a good desire overpass thee.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 15] Shalt thou not leave thy travails unto another? And thy labours to be divided by lot?
[KJV | EN | OT | Sirach | Chapter 14 | Verse 16] Give, and take, and sanctify thy soul; For there is no seeking of dainties in the grave.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 17] All flesh waxeth old as a garment: For the covenant from the beginning is, Thou shalt die the death.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 18] As of the green leaves on a thick tree, Some fall, and some grow; So is the generation of flesh and blood, One cometh to an end, and another is born.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 19] Every work rotteth and consumeth away, And the worker thereof shall go withal.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 20] Blessed is the man that doth meditate good things in wisdom, And that reasoneth of holy things by his understanding.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 21] He that considereth her ways in his heart Shall also have understanding in her secrets.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 22] Go after her as one that traceth, And lie in wait in her ways.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 23] He that prieth in at her windows Shall also hearken at her doors.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 24] He that doth lodge near her house Shall also fasten a pin in her walls.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 25] He shall pitch his tent nigh unto her, And shall lodge in a lodging where good things are.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 26] He shall set his children under her shelter, And shall lodge under her branches.
[KJV | EN | OT | Sirach | Chapter 14 | Verse 27] By her he shall be covered from heat, And in her glory shall he dwell.
