[KJV | EN | OT | Sirach | Chapter 34 | Verse 1] The hopes of a man void of understanding are vain and false: And dreams lift up fools.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 2] Whoso regardeth dreams Is like him that catcheth at a shadow, And followeth after the wind.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 3] The vision of dreams is the resemblance of one thing to another, Even as the likeness of a face to a face.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 4] Of an unclean thing what can be cleansed? And from that thing which is false what truth can come?
[KJV | EN | OT | Sirach | Chapter 34 | Verse 5] Divinations, and soothsayings, and dreams, are vain: And the heart fancieth, as a woman’s heart in travail.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 6] If they be not sent from the most High in thy visitation, Set not thy heart upon them.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 7] For dreams have deceived many, And they have failed that put their trust in them.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 8] The law shall be found perfect without lies: And wisdom is perfection to a faithful mouth.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 9] A man that hath travelled knoweth many things; And he that hath much experience will declare wisdom.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 10] He that hath no experience knoweth little: But he that hath travelled is full of prudence.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 11] When I travelled, I saw many things; And I understand more than I can express.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 12] I was ofttimes in danger of death: Yet I was delivered because of these things.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 13] The spirit of those that fear the Lord shall live; For their hope is in him that saveth them.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 14] Whoso feareth the Lord shall not fear Nor be afraid; for he is his hope.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 15] Blessed is the soul of him that feareth the Lord: To whom doth he look? And who is his strength?
[KJV | EN | OT | Sirach | Chapter 34 | Verse 16] For the eyes of the Lord are upon them that love him, He is their mighty protection and strong stay, A defence from heat, and a cover from the sun at noon, A preservation from stumbling, and a help from falling.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 17] He raiseth up the soul, and lighteneth the eyes: He giveth health, life, and blessing.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 18] He that sacrificeth of a thing wrongfully gotten, his offering is ridiculous; And the gifts of unjust men are not accepted.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 19] The most High is not pleased with the offerings of the wicked; Neither is he pacified for sin by the multitude of sacrifices.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 20] Whoso bringeth an offering of the goods of the poor Doeth as one that killeth the son before his father’s eyes.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 21] The bread of the needy is their life: He that defraudeth him thereof is a man of blood.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 22] He that taketh away his neighbour’s living slayeth him; And he that defraudeth the labourer of his hire is a bloodshedder.
[KJV | EN | OT | Sirach | Chapter 34 | Verse 23] When one buildeth, and another pulleth down, What profit have they then but labour?
[KJV | EN | OT | Sirach | Chapter 34 | Verse 24] When one prayeth, and another curseth, Whose voice will the Lord hear?
[KJV | EN | OT | Sirach | Chapter 34 | Verse 25] He that washeth himself after the touching of a dead body, if he touch it again, What availeth his washing?
[KJV | EN | OT | Sirach | Chapter 34 | Verse 26] So is it with a man that fasteth for his sins, And goeth again, and doeth the same: Who will hear his prayer? Or what doth his humbling profit him?
