[KJV | EN | OT | Sirach | Chapter 7 | Verse 1] Do no evil, so shall no harm come unto thee.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 2] Depart from the unjust, and iniquity shall turn away from thee.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 3] My son, sow not upon the furrows of unrighteousness, And thou shalt not reap them sevenfold.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 4] Seek not of the Lord pre-eminence, Neither of the king the seat of honour.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 5] Justify not thyself before the Lord; And boast not of thy wisdom before the king.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 6] Seek not to be judge, being not able to take away iniquity; Lest at any time thou fear the person of the mighty, And lay a stumblingblock in the way of thy uprightness.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 7] Offend not against the multitude of a city, And then thou shalt not cast thyself down among the people.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 8] Bind not one sin upon another; For in one thou shalt not be unpunished.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 9] Say not, God will look upon the multitude of my oblations, And when I offer to the most high God, he will accept it.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 10] Be not fainthearted when thou makest thy prayer, And neglect not to give alms.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 11] Laugh no man to scorn in the bitterness of his soul: For there is one which humbleth and exalteth.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 12] Devise not a lie against thy brother; Neither do the like to thy friend.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 13] Use not to make any manner of lie: For the custom thereof is not good.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 14] Use not many words in a multitude of elders, And make not much babbling when thou prayest.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 15] Hate not laborious work, Neither husbandry, which the most High hath ordained.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 16] Number not thyself among the multitude of sinners, But remember that wrath will not tarry long.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 17] Humble thy soul greatly: For the vengeance of the ungodly is fire and worms.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 18] Change not a friend for any good by no means; Neither a faithful brother for the gold of Ophir.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 19] Forego not a wise and good woman: For her grace is above gold.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 20] Whereas thy servant worketh truly, entreat him not evil, Nor the hireling that bestoweth himself wholly for thee.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 21] Let thy soul love a good servant, And defraud him not of liberty.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 22] Hast thou cattle? have an eye to them: And if they be for thy profit, keep them with thee.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 23] Hast thou children? instruct them, And bow down their neck from their youth.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 24] Hast thou daughters? have care of their body, And shew not thyself cheerful toward them.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 25] Marry thy daughter, and so shalt thou have performed a weighty matter: But give her to a man of understanding.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 26] Hast thou a wife after thy mind? forsake her not: But give not thyself over to a light woman.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 27] Honour thy father with thy whole heart, And forget not the sorrows of thy mother.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 28] Remember that thou wast begot of them; And how canst thou recompense them the things that they have done for thee?
[KJV | EN | OT | Sirach | Chapter 7 | Verse 29] Fear the Lord with all thy soul, And reverence his priests.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 30] Love him that made thee with all thy strength, And forsake not his ministers.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 31] Fear the Lord, and honour the priest; And give him his portion, as it is commanded thee; The firstfruits, and the trespass offering, and the gift of the shoulders, And the sacrifice of sanctification, and the firstfruits of the holy things.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 32] And stretch thine hand unto the poor, That thy blessing may be perfected.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 33] A gift hath grace in the sight of every man living; And for the dead detain it not.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 34] Fail not to be with them that weep, And mourn with them that mourn.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 35] Be not slow to visit the sick: For that shall make thee to be beloved.
[KJV | EN | OT | Sirach | Chapter 7 | Verse 36] Whatsoever thou takest in hand, remember the end, And thou shalt never do amiss.
