[KJV | EN | OT | Sirach | Chapter 45 | Verse 1] And he brought out of him a merciful man, Which found favour in the sight of all flesh, Even Moses, beloved of God and men, Whose memorial is blessed.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 2] He made him like to the glorious saints, And magnified him, so that his enemies stood in fear of him.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 3] By his words he caused the wonders to cease, And he made him glorious in the sight of kings, And gave him a commandment for his people, And shewed him part of his glory.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 4] He sanctified him in his faithfulness and meekness, And chose him out of all men.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 5] He made him to hear his voice, And brought him into the dark cloud, And gave him commandments before his face, Even the law of life and knowledge, That he might teach Jacob his covenants, And Israel his judgments.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 6] He exalted Aaron, a holy man like unto him, Even his brother, of the tribe of Levi.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 7] An everlasting covenant he made with him, And gave him the priesthood among the people; He beautified him with comely ornaments, And clothed him with a robe of glory.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 8] He put upon him perfect glory; And strengthened him with rich garments, With breeches, with a long robe, and the ephod.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 9] And he compassed him with pomegranates, And with many golden bells round about, That as he went there might be a sound, And a noise made that might be heard in the temple, For a memorial to the children of his people;
[KJV | EN | OT | Sirach | Chapter 45 | Verse 10] With a holy garment, with gold, and blue silk, And purple, the work of the embroiderer, With a breastplate of judgment, and with Urim and Thummim;
[KJV | EN | OT | Sirach | Chapter 45 | Verse 11] With twisted scarlet, the work of the cunning workman, With precious stones graven like seals, And set in gold, the work of the jeweller, With a writing engraved for a memorial, After the number of the tribes of Israel.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 12] He set a crown of gold upon the mitre, Wherein was engraved Holiness, An ornament of honour, a costly work, The desires of the eyes, goodly and beautiful.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 13] Before him there were none such, Neither did ever any stranger put them on, But only his children And his children’s children perpetually.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 14] Their sacrifices shall be wholly consumed every day twice continually.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 15] Moses consecrated him, and anointed him with holy oil: This was appointed unto him by an everlasting covenant, And to his seed, so long as the heavens should remain, That they should minister unto him, and execute the office of the priesthood, And bless the people in his name.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 16] He chose him out of all men living To offer sacrifices to the Lord, Incense, and a sweet savour, for a memorial, To make reconciliation for his people.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 17] He gave unto him his commandments, And authority in the statutes of judgments, That he should teach Jacob the testimonies, And inform Israel in his laws.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 18] Strangers conspired together against him, And maligned him in the wilderness, Even the men that were of Dathan’s and Abiron’s side, And the congregation of Core, with fury and wrath.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 19] This the Lord saw, and it displeased him, And in his wrathful indignation were they consumed: He did wonders upon them, to consume them with the fiery flame.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 20] But he made Aaron more honourable, And gave him an heritage, And divided unto him the firstfruits of the increase; Especially he prepared bread in abundance:
[KJV | EN | OT | Sirach | Chapter 45 | Verse 21] For they eat of the sacrifices of the Lord, Which he gave unto him and his seed.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 22] Howbeit in the land of the people he had no inheritance, Neither had he any portion among the people: For the Lord himself is his portion and inheritance.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 23] The third in glory is Phinees the son of Eleazar, Because he had zeal in the fear of the Lord, And stood up with good courage of heart when the people were turned back, And made reconciliation for Israel.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 24] Therefore was there a covenant of peace made with him, That he should be the chief of the sanctuary and of his people, And that he and his posterity should have the dignity of the priesthood for ever:
[KJV | EN | OT | Sirach | Chapter 45 | Verse 25] According to the covenant made with David son of Jesse, of the tribe of Juda, That the inheritance of the king should be to his posterity alone: So the inheritance of Aaron should also be unto his seed.
[KJV | EN | OT | Sirach | Chapter 45 | Verse 26] God give you wisdom in your heart To judge his people in righteousness, That their good things be not abolished, And that their glory may endure for ever.
