[KJV | EN | OT | Sirach | Chapter 49 | Verse 1] The remembrance of Josias is like the composition of the perfume That is made by the art of the apothecary: It is sweet as honey in all mouths, And as musick at a banquet of wine.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 2] He behaved himself uprightly in the conversion of the people, And took away the abominations of iniquity.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 3] He directed his heart unto the Lord, And in the time of the ungodly he established the worship of God.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 4] All, except David and Ezekias and Josias, were defective: For they forsook the law of the most High, Even the kings of Judah failed.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 5] Therefore he gave their power unto others, And their glory to a strange nation.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 6] They burnt the chosen city of the sanctuary, And made the streets desolate, according to the prophecy of Jeremias.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 7] For they entreated him evil, Who nevertheless was a prophet, sanctified in his mother’s womb, That he might root out, and afflict, and destroy; And that he might build up also, and plant.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 8] It was Ezekiel who saw the glorious vision, Which was shewed him upon the chariot of the cherubims.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 9] For he made mention of the enemies under the figure of the rain, And directed them that went right.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 10] And of the twelve prophets let the memorial be blessed, And let their bones flourish again out of their place: For they comforted Jacob, And delivered them by assured hope.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 11] How shall we magnify Zorobabel? Even he was as a signet on the right hand:
[KJV | EN | OT | Sirach | Chapter 49 | Verse 12] So was Jesus the son of Josedec: Who in their time builded the house, And set up a holy temple to the Lord, Which was prepared for everlasting glory.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 13] And among the elect was Neemias, Whose renown is great, Who raised up for us the walls that were fallen, And set up the gates and the bars, And raised up our ruins again.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 14] But upon the earth was no man created like Enoch; For he was taken from the earth.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 15] Neither was there a man born like unto Joseph, A governor of his brethren, a stay of the people, Whose bones were regarded of the Lord.
[KJV | EN | OT | Sirach | Chapter 49 | Verse 16] Sem and Seth were in great honour among men, And so was Adam above every living thing in the creation.
