[KJV | EN | OT | Sirach | Chapter 1 | Verse 1] All wisdom cometh from the Lord, And is with him for ever.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 2] Who can number the sand of the sea, and the drops of rain, And the days of eternity?
[KJV | EN | OT | Sirach | Chapter 1 | Verse 3] Who can find out the height of heaven, and the breadth of the earth, And the deep, and wisdom?
[KJV | EN | OT | Sirach | Chapter 1 | Verse 4] Wisdom hath been created before all things, And the understanding of prudence from everlasting.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 5] The word of God most high is the fountain of wisdom; And her ways are everlasting commandments.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 6] To whom hath the root of wisdom been revealed? Or who hath known her wise counsels?
[KJV | EN | OT | Sirach | Chapter 1 | Verse 7] Unto whom hath the knowledge of wisdom been made manifest? And who hath understood her great experience?
[KJV | EN | OT | Sirach | Chapter 1 | Verse 8] There is one wise and greatly to be feared, The Lord sitting upon his throne.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 9] He created her, and saw her, and numbered her, And poured her out upon all his works.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 10] She is with all flesh according to his gift, And he hath given her to them that love him.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 11] The fear of the Lord is honour, and glory, And gladness, and a crown of rejoicing.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 12] The fear of the Lord maketh a merry heart, And giveth joy, and gladness, and a long life.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 13] Whoso feareth the Lord, it shall go well with him at the last, And he shall find favour in the day of his death.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 14] To fear the Lord is the beginning of wisdom: And it was created with the faithful in the womb.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 15] She hath built an everlasting foundation with men, And she shall continue with their seed.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 16] To fear the Lord is fulness of wisdom, And filleth men with her fruits.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 17] She filleth all their house with things desirable, And the garners with her increase.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 18] The fear of the Lord is a crown of wisdom, Making peace and perfect health to flourish; Both which are the gifts of God: And it enlargeth their rejoicing that love him.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 19] Wisdom raineth down skill and knowledge of understanding, And exalteth them to honour that hold her fast.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 20] The root of wisdom is to fear the Lord, And the branches thereof are long life.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 21] The fear of the Lord driveth away sins: And where it is present, it turneth away wrath.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 22] A furious man cannot be justified; For the sway of his fury shall be his destruction.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 23] A patient man will bear for a time, And afterward joy shall spring up unto him.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 24] He will hide his words for a time, And the lips of many shall declare his wisdom.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 25] The parables of knowledge are in the treasures of wisdom: But godliness is an abomination to a sinner.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 26] If thou desire wisdom, keep the commandments, And the Lord shall give her unto thee.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 27] For the fear of the Lord is wisdom and instruction: And faith and meekness are his delight.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 28] Distrust not the fear of the Lord when thou art poor: And come not unto him with a double heart.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 29] Be not a hypocrite in the sight of men, And take good heed what thou speakest.
[KJV | EN | OT | Sirach | Chapter 1 | Verse 30] Exalt not thyself, lest thou fall, And bring dishonour upon thy soul, And so God discover thy secrets, And cast thee down in the midst of the congregation, Because thou camest not in truth to the fear of the Lord, But thy heart is full of deceit.
