[KJV | EN | OT | Sirach | Chapter 35 | Verse 1] He that keepeth the law bringeth offerings enough: He that taketh heed to the commandment offereth a peace offering.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 2] He that requiteth a good turn offereth fine flour; And he that giveth alms sacrificeth praise.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 3] To depart from wickedness is a thing pleasing to the Lord; And to forsake unrighteousness is a propitiation.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 4] Thou shalt not appear empty before the Lord.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 5] For all these things are to be done because of the commandment.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 6] The offering of the righteous maketh the altar fat, And the sweet savour thereof is before the most High.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 7] The sacrifice of a just man is acceptable, And the memorial thereof shall never be forgotten.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 8] Give the Lord his honour with a good eye, And diminish not the firstfruits of thine hands.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 9] In all thy gifts shew a cheerful countenance, And dedicate thy tithes with gladness.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 10] Give unto the most High according as he hath enriched thee; And as thou hast gotten, give with a cheerful eye.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 11] For the Lord recompenseth, And will give thee seven times as much.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 12] Do not think to corrupt with gifts; for such he will not receive: And trust not to unrighteous sacrifices; For the Lord is judge, And with him is no respect of persons.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 13] He will not accept any person against a poor man, But will hear the prayer of the oppressed.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 14] He will not despise the supplication of the fatherless; Nor the widow, when she poureth out her complaint.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 15] Do not the tears run down the widow’s cheeks? And is not her cry against him that causeth them to fall?
[KJV | EN | OT | Sirach | Chapter 35 | Verse 16] He that serveth the Lord shall be accepted with favour, And his prayer shall reach unto the clouds.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 17] The prayer of the humble pierceth the clouds: And till it come nigh, he will not be comforted; And will not depart, till the most High shall behold To judge righteously, and execute judgment.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 18] For the Lord will not be slack, Neither will the Mighty be patient towards them, Till he have smitten in sunder the loins of the unmerciful, And repaid vengeance to the heathen; Till he have taken away the multitude of the proud, And broken the sceptre of the unrighteous;
[KJV | EN | OT | Sirach | Chapter 35 | Verse 19] Till he have rendered to every man according to his deeds, And to the works of men according to their devices; Till he have judged the cause of his people, And made them to rejoice in his mercy.
[KJV | EN | OT | Sirach | Chapter 35 | Verse 20] Mercy is seasonable in the time of affliction, As clouds of rain in the time of drought.
