[KJV | EN | OT | Sirach | Chapter 48 | Verse 1] Then stood up Elias the prophet as fire, And his word burnt like a lamp.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 2] He brought a sore famine upon them, And by his zeal he diminished their number.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 3] By the word of the Lord he shut up the heaven, And also three times brought down fire.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 4] O Elias, how wast thou honoured in thy wondrous deeds! And who may glory like unto thee!
[KJV | EN | OT | Sirach | Chapter 48 | Verse 5] Who didst raise up a dead man from death, And his soul from the place of the dead, by the word of the most High:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 6] Who broughtest kings to destruction, And honourable men from their bed:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 7] Who heardest the rebuke of the Lord in Sinai, And in Horeb the judgment of vengeance:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 8] Who anointedst kings to take revenge, And prophets to succeed after him:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 9] Who wast taken up in a whirlwind of fire, And in a chariot of fiery horses:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 10] Who wast ordained for reproofs in their times, To pacify the wrath of the Lord’s judgment, before it break forth into fury, And to turn the heart of the father unto the son, And to restore the tribes of Jacob.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 11] Blessed are they that saw thee, And slept in love; For we shall surely live.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 12] Elias it was, who was covered with a whirlwind: And Eliseus was filled with his spirit: Whilst he lived, he was not moved with the presence of any prince, Neither could any bring him into subjection.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 13] No word could overcome him; And after his death his body prophesied.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 14] He did wonders in his life, And at his death were his works marvellous.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 15] For all this the people repented not, Neither departed they from their sins, Till they were spoiled and carried out of their land, And were scattered through all the earth: Yet there remained a small people, And a ruler in the house of David:
[KJV | EN | OT | Sirach | Chapter 48 | Verse 16] Of whom some did that which was pleasing to God, And some multiplied sins.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 17] Ezekias fortified his city, And brought in water into the midst thereof: He digged the hard rock with iron, And made wells for waters.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 18] In his time Sennacherib came up, And sent Rabsaces, And lift up his hand against Sion, And boasted proudly.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 19] Then trembled their hearts and hands, And they were in pain, as women in travail.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 20] But they called upon the Lord which is merciful, And stretched out their hands towards him: And immediately the Holy One heard them out of heaven, And delivered them by the ministry of Esay.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 21] He smote the host of the Assyrians, And his angel destroyed them.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 22] For Ezekias had done the thing that pleased the Lord, And was strong in the ways of David his father, As Esay the prophet, who was great And faithful in his vision, had commanded him.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 23] In his time the sun went backward, And he lengthened the king’s life.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 24] He saw by an excellent spirit what should come to pass at the last, And he comforted them that mourned in Sion.
[KJV | EN | OT | Sirach | Chapter 48 | Verse 25] He shewed what should come to pass for ever, And secret things or ever they came.
