[KJV | EN | OT | Sirach | Chapter 39 | Verse 1] But he that giveth his mind to the law of the most High, And is occupied in the meditation thereof, Will seek out the wisdom of all the ancient, And be occupied in prophecies.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 2] He will keep the sayings of the renowned men: And where subtil parables are, he will be there also.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 3] He will seek out the secrets of grave sentences, And be conversant in dark parables.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 4] He shall serve among great men, And appear before princes: He will travel through strange countries; For he hath tried the good and the evil among men.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 5] He will give his heart to resort early to the Lord that made him, And will pray before the most High, And will open his mouth in prayer, And make supplication for his sins.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 6] When the great Lord will, He shall be filled with the spirit of understanding: He shall pour out wise sentences, And give thanks unto the Lord in his prayer.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 7] He shall direct his counsel and knowledge, And in his secrets shall he meditate.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 8] He shall shew forth that which he hath learned, And shall glory in the law of the covenant of the Lord.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 9] Many shall commend his understanding; And so long as the world endureth, it shall not be blotted out; His memorial shall not depart away, And his name shall live from generation to generation.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 10] Nations shall shew forth his wisdom, And the congregation shall declare his praise.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 11] If he die, he shall leave a greater name than a thousand: And if he live, he shall increase it.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 12] Yet have I more to say, which I have thought upon; For I am filled as the moon at the full.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 13] Hearken unto me, ye holy children, And bud forth as a rose growing by the brook of the field:
[KJV | EN | OT | Sirach | Chapter 39 | Verse 14] And give ye a sweet savour as frankincense, And flourish as a lily, Send forth a smell, and sing a song of praise, Bless the Lord in all his works.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 15] Magnify his name, And shew forth his praise With the songs of your lips, and with harps, And in praising him you shall say after this manner:
[KJV | EN | OT | Sirach | Chapter 39 | Verse 16] All the works of the Lord are exceeding good, And whatsoever he commandeth shall be accomplished in due season.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 17] And none may say, What is this? wherefore is that? For at time convenient they shall all be sought out: At his commandment the waters stood as a heap, And at the words of his mouth the receptacles of waters.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 18] At his commandment is done whatsoever pleaseth him; And none can hinder, when he will save.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 19] The works of all flesh are before him, And nothing can be hid from his eyes.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 20] He seeth from everlasting to everlasting; And there is nothing wonderful before him.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 21] A man need not to say, What is this? wherefore is that? For he hath made all things for their uses.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 22] His blessing covered the dry land as a river, And watered it as a flood.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 23] As he hath turned the waters into saltness: So shall the heathen inherit his wrath.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 24] As his ways are plain unto the holy; So are they stumblingblocks unto the wicked.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 25] For the good are good things created from the beginning: So evil things for sinners.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 26] The principal things for the whole use of man’s life Are water, fire, iron, and salt, Flour of wheat, honey, milk, And the blood of the grape, and oil, and clothing.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 27] All these things are for good to the godly: So to the sinners they are turned into evil.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 28] There be spirits that are created for vengeance, Which in their fury lay on sore strokes; In the time of destruction they pour out their force, And appease the wrath of him that made them.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 29] Fire, and hail, and famine, and death, All these were created for vengeance;
[KJV | EN | OT | Sirach | Chapter 39 | Verse 30] Teeth of wild beasts, and scorpions, serpents, And the sword, punishing the wicked to destruction.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 31] They shall rejoice in his commandment, And they shall be ready upon earth, when need is; And when their time is come, they shall not transgress his word.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 32] Therefore from the beginning I was resolved, And thought upon these things, and have left them in writing.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 33] All the works of the Lord are good: And he will give every needful thing in due season.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 34] So that a man cannot say, This is worse than that: For in time they shall all be well approved.
[KJV | EN | OT | Sirach | Chapter 39 | Verse 35] And therefore praise ye the Lord with the whole heart and mouth, And bless the name of the Lord.
