[KJV | EN | OT | Sirach | Chapter 51 | Verse 1] A Prayer of Jesus the son of Sirach. I will thank thee, O Lord and King, And praise thee, O God my Saviour: I do give praise unto thy name:
[KJV | EN | OT | Sirach | Chapter 51 | Verse 2] For thou art my defender and helper, And hast preserved my body from destruction, And from the snare of the slanderous tongue, And from the lips that forge lies, And hast been my helper against mine adversaries:
[KJV | EN | OT | Sirach | Chapter 51 | Verse 3] And hast delivered me, according to the multitude of thy mercies and greatness of thy name, From the teeth of them that were ready to devour me, And out of the hands of such as sought after my life, And from the manifold afflictions which I had;
[KJV | EN | OT | Sirach | Chapter 51 | Verse 4] From the choking of fire on every side, And from the midst of the fire which I kindled not;
[KJV | EN | OT | Sirach | Chapter 51 | Verse 5] From the depth of the belly of hell, From an unclean tongue, and from lying words.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 6] By an accusation to the king from an unrighteous tongue My soul drew near even unto death, My life was near to the hell beneath.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 7] They compassed me on every side, And there was no man to help me: I looked for the succour of men, but there was none.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 8] Then thought I upon thy mercy, O Lord, And upon thy acts of old, How thou deliverest such as wait for thee, And savest them out of the hands of the enemies.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 9] Then lifted I up my supplication from the earth, And prayed for deliverance from death.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 10] I called upon the Lord, the Father of my Lord, That he would not leave me in the days of my trouble, And in the time of the proud, when there was no help.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 11] I will praise thy name continually, And will sing praise with thanksgiving; And so my prayer was heard:
[KJV | EN | OT | Sirach | Chapter 51 | Verse 12] For thou savedst me from destruction, And deliveredst me from the evil time: Therefore will I give thanks, and praise thee, And bless thy name, O Lord.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 13] When I was yet young, or ever I went abroad, I desired wisdom openly in my prayer.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 14] I prayed for her before the temple, And will seek her out even to the end.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 15] Even from the flower till the grape was ripe Hath my heart delighted in her: My foot went the right way, From my youth up sought I after her.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 16] I bowed down mine ear a little, and received her, And gat much learning.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 17] I profited therein, Therefore will I ascribe the glory unto him that giveth me wisdom.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 18] For I purposed to do after her, And earnestly I followed that which is good; So shall I not be confounded.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 19] My soul hath wrestled with her, And in my doings I was exact: I stretched forth my hands to the heaven above, And bewailed my ignorances of her.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 20] I directed my soul unto her, And I found her in pureness: I have had my heart joined with her from the beginning, Therefore shall I not be forsaken.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 21] My heart was troubled in seeking her: Therefore have I gotten a good possession.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 22] The Lord hath given me a tongue for my reward, And I will praise him therewith.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 23] Draw near unto me, you unlearned, And dwell in the house of learning.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 24] Wherefore are you slow, and what say you of these things, Seeing your souls are very thirsty?
[KJV | EN | OT | Sirach | Chapter 51 | Verse 25] I opened my mouth, and said, Buy her for yourselves without money.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 26] Put your neck under the yoke, And let your soul receive instruction: She is hard at hand to find.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 27] Behold with your eyes, how that I have had but little labour, And have gotten unto me much rest.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 28] Get learning with a great sum of money, And get much gold by her.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 29] Let your soul rejoice in his mercy, And be not ashamed of his praise.
[KJV | EN | OT | Sirach | Chapter 51 | Verse 30] Work your work betimes, And in his time he will give you your reward.
