[KJV | EN | OT | Sirach | Chapter 42 | Verse 1] Of these things be not thou ashamed, And accept no person to sin thereby:
[KJV | EN | OT | Sirach | Chapter 42 | Verse 2] Of the law of the most High, and his covenant; And of judgment to justify the ungodly;
[KJV | EN | OT | Sirach | Chapter 42 | Verse 3] Of reckoning with thy partners and travellers; Or of the gift of the heritage of friends;
[KJV | EN | OT | Sirach | Chapter 42 | Verse 4] Of exactness of balance and weights; Or of getting much or little;
[KJV | EN | OT | Sirach | Chapter 42 | Verse 5] And of merchants’ indifferent selling; Of much correction of children; And to make the side of an evil servant to bleed.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 6] Sure keeping is good, where an evil wife is; And shut up, where many hands are.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 7] Deliver all things in number and weight; And put all in writing that thou givest out, or receivest in.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 8] Be not ashamed to inform the unwise and foolish, And the extreme aged that contendeth with those that are young: Thus shalt thou be truly learned, And approved of all men living.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 9] The father waketh for the daughter, when no man knoweth; And the care for her taketh away sleep: When she is young, lest she pass away the flower of her age; And being married, lest she should be hated;
[KJV | EN | OT | Sirach | Chapter 42 | Verse 10] In her virginity, lest she should be defiled And gotten with child in her father’s house; And having a husband, lest she should misbehave herself; And when she is married, lest she should be barren.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 11] Keep a sure watch over a shameless daughter, Lest she make thee a laughing-stock to thine enemies, And a byword in the city, and a reproach among the people, And make thee ashamed before the multitude.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 12] Behold not every body’s beauty, And sit not in the midst of women.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 13] For from garments cometh a moth, And from women wickedness.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 14] Better is the churlishness of a man than a courteous woman, A woman, I say, which bringeth shame and reproach.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 15] I will now remember the works of the Lord, And declare the things that I have seen; In the words of the Lord are his works.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 16] The sun that giveth light looketh upon all things, And the work thereof is full of the glory of the Lord.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 17] The Lord hath not given power to the saints to declare all his marvellous works, Which the Almighty Lord firmly settled, That whatsoever is might be established for his glory.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 18] He seeketh out the deep, and the heart, And considereth their crafty devices; For the Lord knoweth all that may be known, And he beholdeth the signs of the world.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 19] He declareth the things that are past, and for to come, And revealeth the steps of hidden things.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 20] No thought escapeth him, Neither any word is hidden from him.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 21] He hath garnished the excellent works of his wisdom, And he is from everlasting to everlasting: Unto him may nothing be added, neither can he be diminished, And he hath no need of any counseller.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 22] O how desirable are all his works! And that a man may see even to a spark.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 23] All these things live and remain for ever For all uses, and they are all obedient.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 24] All things are double one against another: And he hath made nothing unperfect.
[KJV | EN | OT | Sirach | Chapter 42 | Verse 25] One thing establisheth the good or another: And who shall be filled with beholding his glory?
