[KJV | EN | OT | Sirach | Chapter 36 | Verse 1] Have mercy upon us, O Lord God of all, and behold us:
[KJV | EN | OT | Sirach | Chapter 36 | Verse 2] And send thy fear upon all the nations that seek not after thee.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 3] Lift up thy hand against the strange nations, And let them see thy power.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 4] As thou wast sanctified in us before them: So be thou magnified among them before us.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 5] And let them know thee, as we have known thee, That there is no God but only thou, O God.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 6] Shew new signs, and make other strange wonders: Glorify thy hand and thy right arm, That they may set forth thy wondrous works.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 7] Raise up indignation, and pour out wrath: Take away the adversary, and destroy the enemy.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 8] Make the time short, remember the covenant, And let them declare thy wonderful works.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 9] Let him that escapeth be consumed by the rage of the fire; And let them perish that oppress the people.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 10] Smite in sunder the heads of the rulers of the heathen, That say, There is none other but we.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 11] Gather all the tribes of Jacob together, And inherit thou them, as from the beginning.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 12] O Lord, have mercy upon the people that is called by thy name, And upon Israel, whom thou hast named thy firstborn.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 13] O be merciful unto Jerusalem, thy holy city, The place of thy rest.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 14] Fill Sion with thine unspeakable oracles, And thy people with thy glory.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 15] Give testimony unto those that thou hast possessed from the beginning, And raise up prophets that have been in thy name.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 16] Reward them that wait for thee, And let thy prophets be found faithful.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 17] O Lord, hear the prayer of thy servants, According to the blessing of Aaron over thy people, That all they which dwell upon the earth may know That thou art the Lord, the eternal God.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 18] The belly devoureth all meats, Yet is one meat better than another.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 19] As the palate tasteth divers kinds of venison: So doth a heart of understanding false speeches.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 20] A froward heart causeth heaviness: But a man of experience will recompense him.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 21] A woman will receive every man, Yet is one daughter better than another.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 22] The beauty of a woman cheereth the countenance, And a man loveth nothing better.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 23] If there be kindness, meekness, and comfort, in her tongue, Then is not her husband like other men.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 24] He that getteth a wife beginneth a possession, A help like unto himself, and a pillar of rest.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 25] Where no hedge is, there the possession is spoiled: And he that hath no wife will wander up and down mourning.
[KJV | EN | OT | Sirach | Chapter 36 | Verse 26] Who will trust a thief well appointed, That skippeth from city to city? So who will believe a man that hath no house, And lodgeth wheresoever the night taketh him?
