[BSB | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the people of the province who came up from the captivity of the exiles carried away to Babylon by Nebuchadnezzar its king. They returned to Jerusalem and Judah, each to his own town,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 2] accompanied by Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, and Baanah. This is the count of the men of Israel:
[BSB | EN | OT | Ezra | Chapter 2 | Verse 3] the descendants of Parosh, 2,172;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 4] the descendants of Shephatiah, 372;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 5] the descendants of Arah, 775;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 6] the descendants of Pahath-moab (through the line of Jeshua and Joab), 2,812;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 7] the descendants of Elam, 1,254;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 8] the descendants of Zattu, 945;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 9] the descendants of Zaccai, 760;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 10] the descendants of Bani, 642;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 11] the descendants of Bebai, 623;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 12] the descendants of Azgad, 1,222;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 13] the descendants of Adonikam, 666;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 14] the descendants of Bigvai, 2,056;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 15] the descendants of Adin, 454;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 16] the descendants of Ater (through Hezekiah), 98;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 17] the descendants of Bezai, 323;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 18] the descendants of Jorah, 112;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 19] the descendants of Hashum, 223;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 20] the descendants of Gibbar, 95;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 21] the men of Bethlehem, 123;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 22] the men of Netophah, 56;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 23] the men of Anathoth, 128;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 24] the descendants of Azmaveth, 42;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 25] the men of Kiriath-jearim, Chephirah, and Beeroth, 743;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 26] the men of Ramah and Geba, 621;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 27] the men of Michmash, 122;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 28] the men of Bethel and Ai, 223;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 29] the descendants of Nebo, 52;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 30] the descendants of Magbish, 156;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 31] the descendants of the other Elam, 1,254;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 32] the descendants of Harim, 320;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 33] the men of Lod, Hadid, and Ono, 725;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 34] the men of Jericho, 345;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 35] and the descendants of Senaah, 3,630.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 36] The priests: The descendants of Jedaiah (through the house of Jeshua), 973;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 37] the descendants of Immer, 1,052;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 38] the descendants of Pashhur, 1,247;
[BSB | EN | OT | Ezra | Chapter 2 | Verse 39] and the descendants of Harim, 1,017.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites: the descendants of Jeshua and Kadmiel (through the line of Hodaviah ), 74.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 41] The singers: the descendants of Asaph, 128.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 42] The gatekeepers: the descendants of Shallum, the descendants of Ater, the descendants of Talmon, the descendants of Akkub, the descendants of Hatita, and the descendants of Shobai, 139 in all.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 43] The temple servants: the descendants of Ziha, the descendants of Hasupha, the descendants of Tabbaoth,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 44] the descendants of Keros, the descendants of Siaha, the descendants of Padon,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 45] the descendants of Lebanah, the descendants of Hagabah, the descendants of Akkub,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 46] the descendants of Hagab, the descendants of Shalmai, the descendants of Hanan,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 47] the descendants of Giddel, the descendants of Gahar, the descendants of Reaiah,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 48] the descendants of Rezin, the descendants of Nekoda, the descendants of Gazzam,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 49] the descendants of Uzza, the descendants of Paseah, the descendants of Besai,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 50] the descendants of Asnah, the descendants of Meunim, the descendants of Nephusim,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 51] the descendants of Bakbuk, the descendants of Hakupha, the descendants of Harhur,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 52] the descendants of Bazluth, the descendants of Mehida, the descendants of Harsha,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 53] the descendants of Barkos, the descendants of Sisera, the descendants of Temah,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 54] the descendants of Neziah, and the descendants of Hatipha.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 55] The descendants of the servants of Solomon: the descendants of Sotai, the descendants of Sophereth, the descendants of Peruda,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 56] the descendants of Jaala, the descendants of Darkon, the descendants of Giddel,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 57] the descendants of Shephatiah, the descendants of Hattil, the descendants of Pochereth-hazzebaim, and the descendants of Ami.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 58] The temple servants and descendants of the servants of Solomon numbered 392 in all.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 59] The following came up from Tel-melah, Tel-harsha, Cherub, Addan, and Immer, but could not prove that their families were descended from Israel:
[BSB | EN | OT | Ezra | Chapter 2 | Verse 60] the descendants of Delaiah, the descendants of Tobiah, and the descendants of Nekoda, 652 in all.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 61] And from among the priests: the descendants of Hobaiah, the descendants of Hakkoz, and the descendants of Barzillai (who had married a daughter of Barzillai the Gileadite and was called by their name).
[BSB | EN | OT | Ezra | Chapter 2 | Verse 62] These men searched for their family records, but they could not find them and so were excluded from the priesthood as unclean.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 63] The governor ordered them not to eat the most holy things until there was a priest to consult the Urim and Thummim.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 64] The whole assembly numbered 42,360,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 65] in addition to their 7,337 menservants and maidservants, as well as their 200 male and female singers.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 66] They had 736 horses, 245 mules,
[BSB | EN | OT | Ezra | Chapter 2 | Verse 67] 435 camels, and 6,720 donkeys.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 68] When they arrived at the house of the LORD in Jerusalem, some of the heads of the families gave freewill offerings to rebuild the house of God on its original site.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 69] According to their ability, they gave to the treasury for this work 61,000 darics of gold, 5,000 minas of silver, and 100 priestly garments.
[BSB | EN | OT | Ezra | Chapter 2 | Verse 70] So the priests, the Levites, the singers, the gatekeepers, and the temple servants, along with some of the people, settled in their own towns; and the rest of the Israelites settled in their towns.
