[BSB | EN | OT | Ezra | Chapter 10 | Verse 1] While Ezra prayed and made this confession, weeping and falling facedown before the house of God, a very large assembly of Israelites—men, women, and children—gathered around him, and the people wept bitterly as well.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 2] Then Shecaniah son of Jehiel, an Elamite, said to Ezra: “We have been unfaithful to our God by marrying foreign women from the people of the land, yet in spite of this, there is hope for Israel.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 3] So now let us make a covenant before our God to send away all the foreign wives and their children, according to the counsel of my lord and of those who tremble at the command of our God. Let it be done according to the Law.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 4] Get up, for this matter is your responsibility, and we will support you. Be strong and take action!”
[BSB | EN | OT | Ezra | Chapter 10 | Verse 5] So Ezra got up and made the leading priests, Levites, and all Israel take an oath to do what had been said. And they took the oath.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 6] Then Ezra withdrew from before the house of God and walked to the chamber of Jehohanan son of Eliashib. And while he stayed there, he ate no food and drank no water, because he was mourning over the unfaithfulness of the exiles.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 7] And a proclamation was issued throughout Judah and Jerusalem that all the exiles should gather at Jerusalem.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 8] Whoever failed to appear within three days would forfeit all his property, according to the counsel of the leaders and elders, and would himself be expelled from the assembly of the exiles.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 9] So within the three days, all the men of Judah and Benjamin assembled in Jerusalem, and on the twentieth day of the ninth month, all the people sat in the square at the house of God, trembling regarding this matter and because of the heavy rain.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 10] Then Ezra the priest stood up and said to them, “You have been unfaithful by marrying foreign women, adding to the guilt of Israel.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 11] Now, therefore, make a confession to the LORD, the God of your fathers, and do His will. Separate yourselves from the people of the land and from your foreign wives.”
[BSB | EN | OT | Ezra | Chapter 10 | Verse 12] And the whole assembly responded in a loud voice: “Truly we must do as you say!
[BSB | EN | OT | Ezra | Chapter 10 | Verse 13] But there are many people here, and it is the rainy season. We are not able to stay out in the open. Nor is this the work of one or two days, for we have transgressed greatly in this matter.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 14] Let our leaders represent the whole assembly. Then let everyone in our towns who has married a foreign woman come at an appointed time, together with the elders and judges of each town, until the fierce anger of our God in this matter is turned away from us.”
[BSB | EN | OT | Ezra | Chapter 10 | Verse 15] (Only Jonathan son of Asahel and Jahzeiah son of Tikvah, supported by Meshullam and Shabbethai the Levite, opposed this plan.)
[BSB | EN | OT | Ezra | Chapter 10 | Verse 16] So the exiles did as proposed. Ezra the priest selected men who were family heads, each of them identified by name, to represent their families. On the first day of the tenth month they launched the investigation,
[BSB | EN | OT | Ezra | Chapter 10 | Verse 17] and by the first day of the first month they had dealt with all the men who had married foreign women.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 18] Among the descendants of the priests who had married foreign women were found these descendants of Jeshua son of Jozadak and his brothers: Maaseiah, Eliezer, Jarib, and Gedaliah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 19] They pledged to send their wives away, and for their guilt they presented a ram from the flock as a guilt offering.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 20] From the descendants of Immer: Hanani and Zebadiah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 21] From the descendants of Harim: Maaseiah, Elijah, Shemaiah, Jehiel, and Uzziah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 22] From the descendants of Pashhur: Elioenai, Maaseiah, Ishmael, Nethanel, Jozabad, and Elasah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 23] Among the Levites: Jozabad, Shimei, Kelaiah (that is, Kelita), Pethahiah, Judah, and Eliezer.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 24] From the singers: Eliashib. From the gatekeepers: Shallum, Telem, and Uri.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 25] And among the other Israelites, from the descendants of Parosh: Ramiah, Izziah, Malchijah, Mijamin, Eleazar, Malchijah, and Benaiah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 26] From the descendants of Elam: Mattaniah, Zechariah, Jehiel, Abdi, Jeremoth, and Elijah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 27] From the descendants of Zattu: Elioenai, Eliashib, Mattaniah, Jeremoth, Zabad, and Aziza.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 28] From the descendants of Bebai: Jehohanan, Hananiah, Zabbai, and Athlai.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 29] From the descendants of Bani: Meshullam, Malluch, Adaiah, Jashub, Sheal, and Jeremoth.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 30] From the descendants of Pahath-moab: Adna, Chelal, Benaiah, Maaseiah, Mattaniah, Bezalel, Binnui, and Manasseh.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 31] From the descendants of Harim: Eliezer, Isshijah, Malchijah, Shemaiah, Shimeon,
[BSB | EN | OT | Ezra | Chapter 10 | Verse 32] Benjamin, Malluch, and Shemariah.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 33] From the descendants of Hashum: Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, and Shimei.
[BSB | EN | OT | Ezra | Chapter 10 | Verse 34] From the descendants of Bani: Maadai, Amram, Uel,
[BSB | EN | OT | Ezra | Chapter 10 | Verse 35] Benaiah, Bedeiah, Cheluhi,
