[IRV | HI | OT | Isaiah | Chapter 65 | Verse 1] जो मुझ को पूछते भी न थे वे मेरे खोजी हैं; जो मुझे ढूँढ़ते भी न थे उन्होंने मुझे पा लिया, और जो जाति मेरी नहीं कहलाई थी, उससे भी मैं कहता हूँ, “देख, मैं उपस्थित हूँ।”
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 2] मैं एक हठीली जाति के लोगों की ओर दिन भर हाथ फैलाए रहा, जो अपनी युक्तियों के अनुसार बुरे मार्गों में चलते हैं। (रोम. 10:20,21)
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 3] ऐसे लोग, जो मेरे सामने ही बारियों में बलि चढ़ा-चढ़ाकर और ईंटों पर धूप जला-जलाकर, मुझे लगातार क्रोध दिलाते हैं।
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 4] ये कब्र के बीच बैठते और छिपे हुए स्थानों में रात बिताते; जो सूअर का माँस खाते, और घृणित वस्तुओं का रस अपने बर्तनों में रखते;
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 5] जो कहते हैं, “हट जा, मेरे निकट मत आ, क्योंकि मैं तुझ से पवित्र हूँ।” ये मेरी नाक में धुएँ व उस आग के समान हैं जो दिन भर जलती रहती है। विद्रोहियों को दण्ड
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 6] देखो, यह बात मेरे सामने लिखी हुई है: “मैं चुप न रहूँगा, मैं निश्चय बदला दूँगा वरन् तुम्हारे और तुम्हारे पुरखाओं के भी अधर्म के कामों का बदला तुम्हारी गोद में भर दूँगा।
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 7] क्योंकि उन्होंने पहाड़ों पर धूप जलाया और पहाड़ियों पर मेरी निन्दा की है, इसलिए मैं यहोवा कहता हूँ, कि, उनके पिछले कामों के बदले को मैं इनकी गोद में तौलकर दूँगा।”
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 8] यहोवा यह कहता है: “जिस भाँति दाख के किसी गुच्छे में जब नया दाखमधु भर आता है, तब लोग कहते हैं, उसे नाश मत कर, क्योंकि उसमें आशीष है, उसी भाँति मैं अपने दासों के निमित्त ऐसा करूँगा कि सभी को नाश न करूँगा।
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 9] मैं याकूब में से एक वंश, और यहूदा में से अपने पर्वतों का एक वारिस उत्पन्न करूँगा; मेरे चुने हुए उसके वारिस होंगे, और मेरे दास वहाँ निवास करेंगे।
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 10] मेरी प्रजा जो मुझे ढूँढ़ती है, उसकी भेड़-बकरियाँ तो शारोन में चरेंगी, और उसके गाय-बैल आकोर नामक तराई में विश्राम करेंगे।
[IRV | HI | OT | Isaiah | Chapter 65 | Verse 11] परन्तु तुम जो यहोवा को त्याग देते और मेरे पवित्र पर्वत को भूल जाते हो, जो भाग्य देवता के लिये मेज पर भोजन की वस्तुएँ सजाते और भावी देवी के लिये मसाला मिला हुआ दाखमधु भर देते हो;
