[BBE | EN | OT | Lamentations | Chapter 5 | Verse 1] Keep in mind, O Lord, what has come to us: take note and see our shame.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 2] Our heritage is given up to men of strange lands, our houses to those who are not our countrymen.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 3] We are children without fathers, our mothers are like widows.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 4] We give money for a drink of water, we get our wood for a price.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 5] Our attackers are on our necks: overcome with weariness, we have no rest.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 6] We have given our hands to the Egyptians and to the Assyrians so that we might have enough bread.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers were sinners and are dead; and the weight of their evil-doing is on us.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 8] Servants are ruling over us, and there is no one to make us free from their hands.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 9] We put our lives in danger to get our bread, because of the sword of the waste land.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skin is heated like an oven because of our burning heat from need of food.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 11] They took by force the women in Zion, the virgins in the towns of Judah.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 12] Their hands put princes to death by hanging: the faces of old men were not honoured.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 13] The young men were crushing the grain, and the boys were falling under the wood.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 14] The old men are no longer seated in the doorway, and the music of the young men has come to an end.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 15] The joy of our hearts is ended; our dancing is changed into sorrow.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 16] The crown has been taken from our head: sorrow is ours, for we are sinners.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 17] Because of this our hearts are feeble; for these things our eyes are dark;
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 18] Because of the mountain of Zion which is a waste; jackals go over it.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 19] You, O Lord, are seated as King for ever; the seat of your power is eternal.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 20] Why have we gone from your memory for ever? why have you been turned away from us for so long?
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 21] Make us come back to you, O Lord, and let us be turned; make our days new again as in the past.
[BBE | EN | OT | Lamentations | Chapter 5 | Verse 22] But you have quite given us up; you are full of wrath against us.
