[OEB | EN | NT | Revelation | Chapter 14 | Verse 1] Then, in my vision, I saw the Lamb standing on Mount Zion. With him were a hundred and forty-four thousand, with his name and the name of his Father written on their foreheads.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 2] And I heard a sound from heaven, like the sound of many waters, and like the sound of a loud peal of thunder; the sound that I heard was like the music of harpers playing on their harps.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 3] They are singing what seems to be a new song, before the throne, and before the four creatures and the elders; and no one was able to learn that song except the hundred and forty-four thousand who had been redeemed from earth.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 4] These are the men who never defiled themselves in their intercourse with women; they are as pure as virgins. These are the men who follow the Lamb wherever he goes. They were redeemed as the first-fruits of mankind for God and for the Lamb.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 5] No lie was ever heard on their lips. They are beyond reach of blame.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 6] Then I saw another angel, flying in mid-heaven. He had the good news, decreed from eternity, to announce to those who live on the earth – to men of every nation, and tribe, and language, and people;
[OEB | EN | NT | Revelation | Chapter 14 | Verse 7] and he cried in a loud voice – “Reverence God, and give him praise (for the hour of his judgment has come) and worship him who made the heaven and the earth and the sea and all springs of water.”
[OEB | EN | NT | Revelation | Chapter 14 | Verse 8] Then a second angel followed, crying – “She has fallen! She has fallen – Babylon the Great, who has made all the nations drink the maddening wine of her licentiousness!”
[OEB | EN | NT | Revelation | Chapter 14 | Verse 9] Then a third angel followed them, crying in a loud voice – “Whoever worships the Beast and its image, and receives its brand on his forehead or on his hand,
[OEB | EN | NT | Revelation | Chapter 14 | Verse 10] that person will drink the maddening wine of God that has been poured unmixed into the cup of his wrath, and they will be tortured with fire and sulphur before the eyes of the holy angels and before the eyes of the Lamb.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 11] The smoke from their torture rises for ever and ever, and they have no rest day nor night – those who worship the Beast and its image, and all who are branded with its name.”
[OEB | EN | NT | Revelation | Chapter 14 | Verse 12] (Here there is need for endurance on the part of Christ’s people – those who lay to heart the commands of God and the faith of Jesus.)
[OEB | EN | NT | Revelation | Chapter 14 | Verse 13] Then I heard a voice from heaven saying “Write: ‘Blessed are the dead who from this hour die in union with the Lord.’” ‘Yes,’ answers the Spirit, ‘that they may rest from their toil. Their good deeds go with them.’
[OEB | EN | NT | Revelation | Chapter 14 | Verse 14] Then, in my vision, I saw a white cloud, and on the cloud there was sitting one like a man. On his head he had a crown of gold, and in his hand a sharp sickle.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 15] Then another angel came out from the Temple, crying in a loud voice to him who was sitting on the cloud – “Take your sickle and reap, for the time to reap has come; the Harvest of Earth is ready.”
[OEB | EN | NT | Revelation | Chapter 14 | Verse 16] He who was sitting on the cloud brought his sickle down on the earth, and the Harvest of Earth was reaped.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 17] Then another angel came out of the Temple in heaven; he, also, had a sharp sickle.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 18] Then another angel came out of the altar; he had power over fire, and he called in a loud voice to the angel that had the sharp sickle – “Take your sharp sickle, and gather the bunches from the vine of Earth, for its grapes are ripe.”
[OEB | EN | NT | Revelation | Chapter 14 | Verse 19] The angel brought his sickle down on the earth and gathered the fruit of the vine of Earth, and threw it into the great winepress of the wrath of God.
[OEB | EN | NT | Revelation | Chapter 14 | Verse 20] The grapes were trodden in the press outside the city; and blood came out of the press, rising as high as the bridles of the horses for a distance of two hundred miles.
