[OEB | EN | NT | Revelation | Chapter 19 | Verse 1] After this, I heard what seemed to be a great shout from a vast throng in heaven, crying – “Hallelujah! To our God belong salvation, and glory, and Power,
[OEB | EN | NT | Revelation | Chapter 19 | Verse 2] for true and righteous are his judgments. For he has passed judgment on the Great Harlot who was corrupting the earth by her licentiousness, and he has taken vengeance on her for the blood of his servants.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 3] Again they cried – “Hallelujah!” And the smoke from her ruins rises for ever and ever.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 4] Then the twenty-four elders and the Four creatures prostrated themselves and worshiped God who was seated on the throne, crying – “Amen, Hallelujah!”;
[OEB | EN | NT | Revelation | Chapter 19 | Verse 5] and from the throne there came a voice which said – “Praise our God all you who serve him, You who worship him, both high and low.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 6] Then I heard what seemed to be the shout of a vast throng, like the sound of many waters, and like the sound of loud peals of thunder, crying – “Hallelujah! For the Lord is king, our God, the Almighty.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 7] Let us rejoice and exalt; and we will pay him honour, for the hour for the Marriage of the Lamb has come, and his Bride has made herself ready.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 8] And to her it has been granted to robe herself in fine linen, white and pure, for that linen is the good deeds of the people of Christ.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 9] Then a voice said to me “Write – ‘Blessed are those who have been summoned to the marriage feast of the Lamb.’” And the voice said – “These words of God are true.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 10] I prostrated myself at the feet of him who spoke to worship him, but he said to me – “No! I am your fellow servant, and the fellow servant of your brothers and sisters who bear their testimony to Jesus. Worship God. For to bear testimony to Jesus needs the inspiration of the prophets.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 11] Then I saw that heaven lay open. There appears a white horse; its rider is called “Faithful” and “True”; righteously does he judge and make war.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 12] His eyes are flaming fires; on his head there are many diadems, and he bears a name, written, which no one knows but himself;
[OEB | EN | NT | Revelation | Chapter 19 | Verse 13] he has been clothed in a garment sprinkled with blood; and the name by which he is called is “The Word of God.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 14] The armies of heaven followed him, mounted on white horses and clothed in fine linen, white and pure.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 15] From his mouth comes a sharp sword, with which to smite the nations; and he will rule them with an iron rod. He treads the grapes in the press of the maddening wine of the wrath of Almighty God;
[OEB | EN | NT | Revelation | Chapter 19 | Verse 16] and on his robe and on his thigh he has this name written – “KING OF KINGS AND LORD OF LORDS.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 17] Then I saw an angel standing on the sun. He cried in a loud voice to all the birds that fly in mid-heaven – “Gather and come to the great feast of God,
[OEB | EN | NT | Revelation | Chapter 19 | Verse 18] to eat the flesh of kings, and the flesh of commanders, and the flesh of mighty men, and the flesh of horses and their riders, and the flesh of all free and enslaved, and of high and low.”
[OEB | EN | NT | Revelation | Chapter 19 | Verse 19] Then I saw the Beast and the kings of the earth and their armies, gathered together to fight with him who sat on the horse and with his army.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 20] The Beast was captured, and with him was taken the false prophet, who performed the marvels before the eyes of the Beast, with which he deceived those who had received the brand of the Beast and those who worshiped his image. Alive, they were thrown, both of them, into the lake of fire – of burning sulphur.
[OEB | EN | NT | Revelation | Chapter 19 | Verse 21] The rest were killed by the sword which came out of the mouth of him who rode on the horse; and all the birds fed on their flesh.
