[OEB | EN | NT | Revelation | Chapter 16 | Verse 1] Then I heard a loud voice, which came from the Temple, saying to the seven angels – “Go and empty the seven bowls of the wrath of God on the earth.”
[OEB | EN | NT | Revelation | Chapter 16 | Verse 2] The first angel went and emptied his bowl on the earth; and it turned to loathsome and painful sores on all who bore the brand of the Beast and who worshiped its image.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 3] Then the second angel emptied his bowl on the sea; and it turned to blood like the blood of a corpse, and every living thing died – everything in the sea.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 4] Then the third angel emptied his bowl on the rivers and springs of water; and it turned to blood.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 5] And I heard the angel of the Waters saying – “Righteous are you, you who is and who is, the Holy One, in inflicting this judgment;
[OEB | EN | NT | Revelation | Chapter 16 | Verse 6] for men shed the blood of Christ’s people and of the prophets, and you have given them blood to drink. It is what they deserve.”
[OEB | EN | NT | Revelation | Chapter 16 | Verse 7] And I heard the response from the altar – “Yes, Lord, our God, the Almighty, true and righteous are they judgments.”
[OEB | EN | NT | Revelation | Chapter 16 | Verse 8] Then the fourth angel emptied his bowl on the sun; and he was permitted to scorch men with fire;
[OEB | EN | NT | Revelation | Chapter 16 | Verse 9] and men were scorched by the intense heat. They blasphemed the name of God who controlled these curses, yet they did not repent and give him praise.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 10] Then the fifth angel emptied his bowl on the throne of the Beast; and darkness fell on its kingdom. Men gnawed their tongues for pain,
[OEB | EN | NT | Revelation | Chapter 16 | Verse 11] and blasphemed the God of heaven, because of their pains and because of their sores; yet they did not repent of what they had done.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 12] Then the sixth angel emptied his bowl on the great river Euphrates; and the water in the river was dried up, so that the road for the kings of the East might be made ready.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 13] And I saw three foul spirits, like frogs, come from the mouth of the Dragon and from the mouth of the Beast and from the mouth of the false prophet.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 14] They are the spirits of demons, and perform marvels; they go to kings all over the world, to collect them for the battle on the great day of Almighty God.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 15] (“I am coming like a thief! Happy will he be who is on the watch, and keeps his clothing at hand, so that he will not have to walk about unclothed and let men see his nakedness.”)
[OEB | EN | NT | Revelation | Chapter 16 | Verse 16] And the spirits collected the kings at the place called in Hebrew “Har-Magedon.”
[OEB | EN | NT | Revelation | Chapter 16 | Verse 17] Then the seventh angel emptied his bowl on the air. (A loud voice came from the throne in the Temple; it said “All is over.”)
[OEB | EN | NT | Revelation | Chapter 16 | Verse 18] There followed flashes of lightning, cries, and peals of thunder; and there was a great earthquake, such as had not occurred since man began to be on the earth – none so great;
[OEB | EN | NT | Revelation | Chapter 16 | Verse 19] and the great city was torn in three, and the cities of the nation fell, and God remembered Babylon the Great, and gave her the maddening wine-cup of his wrath;
[OEB | EN | NT | Revelation | Chapter 16 | Verse 20] and every island vanished, and the mountains disappeared.
[OEB | EN | NT | Revelation | Chapter 16 | Verse 21] Great hailstones, a pound in weight, are falling on men from the heavens. And men blasphemed God because of the curse of the hail, for it was a very terrible curse.
