[OEB | EN | NT | Revelation | Chapter 20 | Verse 1] Then I saw an angel coming down from heaven, with the key of the bottomless pit and a great chain in his hand.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 2] He seized the Dragon, the primeval snake (who is the “devil” or “Satan”), and bound him in chains for a thousand years.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 3] He flung him into the bottomless pit and locked it, and set his seal on it; that he should not deceive the nations any more, until the thousand years were ended. After that he must be let loose for a while.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 4] Then I saw thrones, and to those who took their seats on them authority was given to act as judges. And I saw the souls of those who had been beheaded because of the testimony to Jesus and because of the message of God, for they had refused to worship the Beast or its image, and had not received the brand on their foreheads and on their hands. They were restored to life, and they reigned with the Christ for a thousand years.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 5] (The rest of the dead were not restored to life until the thousand years were ended.) This is the first resurrection.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 6] Blessed and holy will he be who shares in that first resurrection. The second Death has no power over them; but they will be priests of God, and the Christ, and they will reign with him for the thousand years.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 7] When the thousand years are ended, Satan will be let loose from his prison,
[OEB | EN | NT | Revelation | Chapter 20 | Verse 8] and he will come out to deceive the nations that live in the four corners of the earth – Gog and Magog. He will come to gather them together for battle; and their number will be as great as the sand on the sea-shore.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 9] They went up over the breadth of the whole earth, and surrounded the camp of Christ’s people and the city that he loves. Then fire fell from the heavens and consumed them;
[OEB | EN | NT | Revelation | Chapter 20 | Verse 10] and the devil, their deceiver, was hurled into the lake of fire and sulphur, where the Beast and the false prophet already were, and they will be tortured day and night for ever and ever.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 11] Then I saw a great white throne, and him who was seated on it. The earth and the heavens fled from his presence; no place was left for them.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 12] And I saw the dead, high and low, standing before the throne; and books were opened. Then another book was opened, the book of life; and the dead were judged, according to their actions, by what was written in the books.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 13] The sea gave up its dead, and Death and Hades gave up their dead; and they were judged, one by one, each according to his actions.
[OEB | EN | NT | Revelation | Chapter 20 | Verse 14] Then Death and Hades were hurled into the lake of fire. This is the Second Death – the lake of fire;
[OEB | EN | NT | Revelation | Chapter 20 | Verse 15] and all whose names were not found written in the book of life were hurled into the lake of fire.
