[OEB | EN | NT | Revelation | Chapter 4 | Verse 1] After this, in my vision, I saw an open door in the heavens, and the first voice that I heard was like the blast of a trumpet speaking to me. It said – “Come up here and I will show you what must take place.”
[OEB | EN | NT | Revelation | Chapter 4 | Verse 2] Immediately after this I fell into a trance. There stood a throne in heaven, and on the throne was One seated.
[OEB | EN | NT | Revelation | Chapter 4 | Verse 3] He who was seated on it was in appearance like a jasper and a sardius; and round the throne there was a rainbow of the colour of an emerald.
[OEB | EN | NT | Revelation | Chapter 4 | Verse 4] And round the throne were twenty-four other thrones, and on these I saw twenty-four elders sitting clothed in white robes; and on their heads they had crowns of gold.
[OEB | EN | NT | Revelation | Chapter 4 | Verse 5] Out from the throne come flashes of lightning, cries, and peals of thunder! There are seven torches burning in front of the throne, which are the seven spirits of God;
[OEB | EN | NT | Revelation | Chapter 4 | Verse 6] and in front of the throne is what seemed to be a sea of glass, resembling crystal, while within the space before the throne and round the throne are four creatures full of eyes in front and behind.
[OEB | EN | NT | Revelation | Chapter 4 | Verse 7] The first creature is like a lion, the second creature like a calf, the third creature has a face like a man’s, and the fourth creature is like an eagle on the wing.
[OEB | EN | NT | Revelation | Chapter 4 | Verse 8] These four creatures have each of them six wings, and all round, and within, they are full of eyes; and day and night they never cease to say – “Holy, holy, holy is the Lord, our God, the Almighty, who was, and who is, and who will be.”
[OEB | EN | NT | Revelation | Chapter 4 | Verse 9] And, whenever these creatures give praise and honour and thanks to him who is seated on the throne, to him who lives for ever and ever,
[OEB | EN | NT | Revelation | Chapter 4 | Verse 10] the twenty-four elders prostrate themselves before him who is seated on the throne, and worship him who lives for ever and ever, and throw down their crowns before the throne, saying –
[OEB | EN | NT | Revelation | Chapter 4 | Verse 11] “Worthy are you, our Lord and God, to receive all praise, and honour, and power, for you did create all things, and at your bidding they came into being and were created.”
