[OEB | EN | NT | Revelation | Chapter 3 | Verse 1] ‘To the angel of the church in Sardis write: These are the words of him who has the seven spirits of God and the seven stars; – I know your life, and that people say of you that you are living, though you are dead.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 2] Be on the watch, and strengthen what still survives, though once it was all but dead; for I have not found your life perfect in the eyes of my God.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 3] Therefore remember what you have received and heard, and lay it to heart and repent. Unless you are on the watch, I will come like a thief, and you will not know at what hour I am coming to you.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 4] Yet there are some few among you at Sardis who did not soil their robes; they will walk with me, robed in white, for they are worthy.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 5] Those who conquer will be clothed in these white robes, and I will not strike their name out of the book of life; but I will own them before my Father, and before his angels.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 6] Let those who have ears hear what the Spirit is saying to the churches.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 7] ‘To the angel of the church in Philadelphia write: These are the words of him who is holy and true, who holds the Key of David, who opens and no one will shut, and shuts and no one opens:
[OEB | EN | NT | Revelation | Chapter 3 | Verse 8] I know your life (see, I have set a door open before you which no one is able to shut), I know that, though you have but little strength, you kept my teaching in mind, and did not disown my name.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 9] Listen, I give some of the congregation of Satan, the people who declare that they are God’s people, though they are not, but are lying – I will make them come and bow down at your feet, and they will learn that I loved you.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 10] Because you kept in mind the story of my endurance, I will keep you in the hour of trial that is about to come on the whole world, the hour that will test all who are living on earth.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 11] I will come quickly. Hold to what you have received so that no one may take your crown.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 12] Those who conquer – I will make them a pillar in the Temple of my God; and never more will they leave it; and I will write on them the name of my God and the name of the city of my God, the New Jerusalem, which is coming down out of heaven from my God, and I will write on them my new name.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 13] Let those who have ears hear what the Spirit is saying to the churches.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 14] ‘To the angel of the church in Laodicea write: These are the words of the Unchanging One, the witness faithful and true, the beginning of the Creation of God:
[OEB | EN | NT | Revelation | Chapter 3 | Verse 15] I know your life; I know that you are neither cold nor hot. If only you were either cold or hot!
[OEB | EN | NT | Revelation | Chapter 3 | Verse 16] But now, because you are lukewarm, neither hot nor cold, I am about to spit you out of my mouth.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 17] You say “I am rich and have grown rich, and I want for nothing,” and you do not know that you are wretched, miserable, poor, blind, naked!
[OEB | EN | NT | Revelation | Chapter 3 | Verse 18] Therefore I counsel you to buy from me gold which has been refined by fire so that you may grow rich; and white robes, so that you may be clothed and your shameful nakedness be hidden; and ointment to anoint your eyes, so that you may see.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 19] All whom I love I rebuke and discipline. Therefore be in earnest and repent.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 20] I am standing at the door and knocking! If anyone hears my voice and opens the door, I will go in, and will feast with them, and they will feast with me.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 21] To those who conquer – to them I will give the right to sit beside me on my throne, as I, when I conquered, took my seat beside my Father on his throne.
[OEB | EN | NT | Revelation | Chapter 3 | Verse 22] Let those who have ears hear what the Spirit is saying to the churches.’
