[OEB | EN | NT | Revelation | Chapter 12 | Verse 1] Then a great portent was seen in the heavens – a woman whose robe was the sun, and who had the moon under her feet, and on her head a crown of twelve stars.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 2] She was pregnant; and she is crying out in the pain and agony of childbirth.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 3] Another portent also was seen in the heavens There was a great red Dragon, with seven heads and ten horns, and on his heads were seven diadems.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 4] His tail draws after it a third of the stars in the heavens, and it hurled them down on the earth. The Dragon is standing in front of the woman who is about to give birth to the child, so that he may devour it as soon as it is born.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 5] The woman gave birth to a son, a male child, who is destined to rule all the nations with an iron rod; and her child was at once caught up to God on his throne.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 6] But the woman fled into the wilderness, where there is a place prepared for her by God, to be tended there for twelve hundred and sixty days.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 7] Then a battle took place in the heavens. Michael and his angels fought with the Dragon. But though the Dragon, with his angels, fought,
[OEB | EN | NT | Revelation | Chapter 12 | Verse 8] he did not prevail; and there was no place left for them any longer in the heavens.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 9] Then the great Dragon, the primeval snake, known as the “devil” and “Satan,” who deceives all the world, was hurled down to the earth, and his angels were hurled down with him.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 10] And I heard a loud voice in heaven which said – “Now has begun the day of the salvation, and Power, and Dominion of our God, and the Rule of his Christ; for the Accuser of our people has been hurled down, he who has been accusing them before our God day and night.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 11] Their victory was due to the blood of the Lamb, and to the message to which they bore their testimony. In their love of life they shrank not from death.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 12] Therefore, be glad, heaven, and all who live in heaven! Alas for the earth and for the sea, for the devil has gone down to you in great fury, knowing that he has but little time.”
[OEB | EN | NT | Revelation | Chapter 12 | Verse 13] When the Dragon saw that he was hurled down to the earth, he pursued the woman who had given birth to the male child.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 14] But to the woman were given the two wings of the great eagle, so that she might fly to her place in the wilderness, where she is being tended for one year, and for two years, and for half a year in safety from the snake.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 15] Then the snake poured water from its mouth after the woman, like a river, so that it might sweep her away.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 16] But Earth came to her help, and opened her mouth and drank up the river which the Dragon had poured out of its mouth.
[OEB | EN | NT | Revelation | Chapter 12 | Verse 17] The Dragon was enraged at the woman, and went to fight with the rest of her offspring – those who lay to heart the commands of God and bear their testimony to Jesus;
[OEB | EN | NT | Revelation | Chapter 12 | Verse 18] and he took his stand on the sea-shore.
