[DRA | EN | OT | Judges | Chapter 9 | Verse 1] And Abimelech the son of Jerobaal went to Sichem to his mother’s brethren and spoke to them, and to all the kindred of his mother’s father, saying:
[DRA | EN | OT | Judges | Chapter 9 | Verse 2] Speak to all the men of Sichem: whether is better for you that seventy men all the sons of Jerobaal should rule over you, or that one man should rule over you? And withal consider that I am your bone, and your flesh.
[DRA | EN | OT | Judges | Chapter 9 | Verse 3] And his mother’s brethren spoke of him to all the men of Sichem, all these words, and they inclined their hearts after Abimelech, saying: He is our brother:
[DRA | EN | OT | Judges | Chapter 9 | Verse 4] And they gave him seventy weight of silver out of the temple of Baalberith: wherewith he hired to himself men that were needy, and vagabonds, and they followed him.
[DRA | EN | OT | Judges | Chapter 9 | Verse 5] And he came to his father’s house in Ephra, and slew his brethren the sons of Jerobaal, seventy men, upon one stone: and there remained only Joatham the youngest son of Jerobaal, who was hidden.
[DRA | EN | OT | Judges | Chapter 9 | Verse 6] And all the men of Sichem were gathered together, and all the families of the city of Mello: and they went and made Abimelech king, by the oak that stood in Sichem.
[DRA | EN | OT | Judges | Chapter 9 | Verse 7] This being told to Joatham, he went and stood on the top of mount Garizim: and lifting up his voice, he cried, and said: Hear me, ye men of Sichem, so may God hear you.
[DRA | EN | OT | Judges | Chapter 9 | Verse 8] The trees went to anoint a king over them: and they said to the olive tree: Reign thou over us.
[DRA | EN | OT | Judges | Chapter 9 | Verse 9] And it answered: Can I leave my fatness, which both gods and men make use of, to come to be promoted among the trees?
[DRA | EN | OT | Judges | Chapter 9 | Verse 10] And the trees said to the fig tree: Come thou and reign over us.
[DRA | EN | OT | Judges | Chapter 9 | Verse 11] And it answered them: Can I leave my sweetness, and my delicious fruits, and go to be promoted among the other trees?
[DRA | EN | OT | Judges | Chapter 9 | Verse 12] And the trees said to the vine: Come thou and reign over us.
[DRA | EN | OT | Judges | Chapter 9 | Verse 13] And it answered them: Can I forsake my wine, that cheereth God and men, and be promoted among the other trees?
[DRA | EN | OT | Judges | Chapter 9 | Verse 14] And all the trees said to the bramble: Come thou and reign over us.
[DRA | EN | OT | Judges | Chapter 9 | Verse 15] And it answered them: If indeed you mean to make me king, come ye and rest under my shadow: but if you mean it not, let fire come out from the bramble, and devour the cedars of Libanus.
[DRA | EN | OT | Judges | Chapter 9 | Verse 16] Now therefore if you have done well, and without sin in appointing Abimelech king over you, and have dealt well with Jerobaal, and with his house, and have made a suitable return for the benefits of him, who fought for you,
[DRA | EN | OT | Judges | Chapter 9 | Verse 17] And exposed his life to dangers, to deliver you from the hands of Madian,
[DRA | EN | OT | Judges | Chapter 9 | Verse 18] And you are now risen up against my father’s house, and have killed his sons seventy men upon one stone, and have made Abimelech the son of his handmaid king over the inhabitants of Sichem, because he is your brother:
[DRA | EN | OT | Judges | Chapter 9 | Verse 19] If therefore you have dealt well, and without fault with Jerobaal, and his house, rejoice ye this day in Abimelech, and may he rejoice in you.
[DRA | EN | OT | Judges | Chapter 9 | Verse 20] But if unjustly: let fire come out from him, and consume the inhabitants of Sichem, and the town of Mello: and let fire come out from the men of Sichem, and from the town of Mello, and devour Abimelech.
[DRA | EN | OT | Judges | Chapter 9 | Verse 21] And when he had said thus he fled, and went into Bera: and dwelt there for fear of Abimelech his brother.
[DRA | EN | OT | Judges | Chapter 9 | Verse 22] So Abimelech reigned over Israel for three years.
[DRA | EN | OT | Judges | Chapter 9 | Verse 23] And the Lord sent a very evil spirit between Abimelech and the inhabitants of Sichem: who began to detest him,
[DRA | EN | OT | Judges | Chapter 9 | Verse 24] And to leave the crime of the murder of the seventy sons of Jerobaal, and the shedding of their blood upon Abimelech their brother, and upon the rest of the princes of the Sichemites, who aided him.
[DRA | EN | OT | Judges | Chapter 9 | Verse 25] And they set an ambush against him on the top of the mountains: and while they waited for his coming, they committed robberies, taking spoils of all that passed by: and it was told Abimelech.
[DRA | EN | OT | Judges | Chapter 9 | Verse 26] And Gaal the son of Obed came with his brethren, and went over to Sichem. And the inhabitants of Sichem taking courage at his coming,
[DRA | EN | OT | Judges | Chapter 9 | Verse 27] Went out into the fields, wasting the vineyards, and treading down the grapes: and singing and dancing they went into the temple of their god, and in their banquets and cups they cursed Abimelech.
