[DRA | EN | OT | Judges | Chapter 12 | Verse 1] But behold there arose a sedition in Ephraim. And passing towards the north, they said to Jephte: When thou wentest to fight against the children of Ammon, why wouldst thou not call us, that we might go with thee? Therefore we will burn thy house.
[DRA | EN | OT | Judges | Chapter 12 | Verse 2] And he answered them: I and my people were at great strife with the children of Ammon: and I called you to assist me, and you would not do it.
[DRA | EN | OT | Judges | Chapter 12 | Verse 3] And when I saw this, I put my life in my own hands, and passed over against the children of Ammon, and the Lord delivered them into my hands. What have I deserved, that you should rise up to fight against me?
[DRA | EN | OT | Judges | Chapter 12 | Verse 4] Then calling to him all the men of Galaad, he fought against Ephraim: and the men of Galaad defeated Ephraim, because he had said: Galaad is a fugitive of Ephraim, and dwelleth in the midst of Ephraim and Manasses.
[DRA | EN | OT | Judges | Chapter 12 | Verse 5] And the Galaadites secured the fords of the Jordan, by which Ephraim was to return. And when any one of the number of Ephraim came thither in the flight, and said: I beseech you let me pass: the Galaadites said to him: Art thou not an Ephraimite? If he said: I am not:
[DRA | EN | OT | Judges | Chapter 12 | Verse 6] They asked him: Say then, Scibboleth, which is interpreted, An ear of corn. But he answered, Sibboleth, not being able to express an ear of corn by the same letter. Then presently they took him and killed him in the very passage of the Jordan. And there fell at that time of Ephraim two and forty thousand.
[DRA | EN | OT | Judges | Chapter 12 | Verse 7] And Jephte the Galaadite judged Israel six years: and he died, and was buried in his city of Galaad.
[DRA | EN | OT | Judges | Chapter 12 | Verse 8] After him Abesan of Bethlehem judged Israel:
[DRA | EN | OT | Judges | Chapter 12 | Verse 9] He had thirty sons, and as many daughters, whom he sent abroad, and gave to husbands, and took wives for his sons of the same number, bringing them into his house. And he judged Israel seven years:
[DRA | EN | OT | Judges | Chapter 12 | Verse 10] And he died, and was buried in Bethlehem.
[DRA | EN | OT | Judges | Chapter 12 | Verse 11] To him succeeded Ahialon a Zabulonite: and he judged Israel ten years:
[DRA | EN | OT | Judges | Chapter 12 | Verse 12] And he died, and was buried in Zabulon.
[DRA | EN | OT | Judges | Chapter 12 | Verse 13] After him Abdon, the son of Illel, a Pharathonite, judged Israel:
[DRA | EN | OT | Judges | Chapter 12 | Verse 14] And he had forty sons, and of them thirty grandsons, mounted upon seventy ass colts, and he judged Israel eight years:
[DRA | EN | OT | Judges | Chapter 12 | Verse 15] And he died, and was buried in Pharathon in the land of Ephraim, in the mount of Amalech.
