[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 1] “तुम अपने परमेश्वर यहोवा के पुत्र हो; इसलिए मरे हुओं के कारण न तो अपना शरीर चीरना, और न भौहों के बाल मुण्डाना। (रोम. 9:4)
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 2] क्योंकि तू अपने परमेश्वर यहोवा के लिये एक पवित्र प्रजा है, और यहोवा ने तुझको पृथ्वी भर के समस्त देशों के लोगों में से अपनी निज सम्पत्ति होने के लिये चुन लिया है। (तीतु. 2:14, 1 पत. 2:9)
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 3] “तू कोई घिनौनी वस्तु न खाना।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 4] जो पशु तुम खा सकते हो वे ये हैं, अर्थात् गाय-बैल, भेड़-बकरी,
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 5] हिरन, चिकारा, मृग, जंगली बकरी, साबर, नीलगाय, और बनैली भेड़।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 6] अतः पशुओं में से जितने पशु चिरे या फटे खुरवाले और पागुर करनेवाले होते हैं उनका माँस तुम खा सकते हो।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 7] परन्तु पागुर करनेवाले या चिरे खुरवालों में से इन पशुओं को, अर्थात् ऊँट, खरगोश, और शापान को न खाना, क्योंकि ये पागुर तो करते हैं परन्तु चिरे खुर के नहीं होते, इस कारण वे तुम्हारे लिये अशुद्ध हैं।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 8] फिर सूअर, जो चिरे खुर का तो होता है परन्तु पागुर नहीं करता, इस कारण वह तुम्हारे लिये अशुद्ध है। तुम न तो इनका माँस खाना, और न इनकी लोथ छूना।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 9] “फिर जितने जलजन्तु हैं उनमें से तुम इन्हें खा सकते हो, अर्थात् जितनों के पंख और छिलके होते हैं।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 10] परन्तु जितने बिना पंख और छिलके के होते हैं उन्हें तुम न खाना; क्योंकि वे तुम्हारे लिये अशुद्ध हैं।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 11] “सब शुद्ध पक्षियों का माँस तो तुम खा सकते हो।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 12] परन्तु इनका माँस न खाना, अर्थात् उकाब, हड़फोड़, कुरर;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 13] गरूड़, चील और भाँति-भाँति के शाही;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 14] और भाँति-भाँति के सब काग;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 15] शुतुर्मुर्ग, तहमास, जलकुक्कट, और भाँति-भाँति के बाज;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 16] छोटा और बड़ा दोनों जाति का उल्लू, और घुग्घू;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 17] धनेश, गिद्ध, हाड़गील;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 18] सारस, भाँति-भाँति के बगुले, हुदहुद, और चमगादड़।
