[KJV | EN | NT | Ephesians | Chapter 2 | Verse 1] And you hath he quickened, who were dead in trespasses and sins;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 2] wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 3] among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 4] But God, who is rich in mercy, for his great love wherewith he loved us,
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 5] even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 6] and hath raised us up together, and made us sit together in heavenly places in Christ Jesus:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 7] that in the ages to come he might shew the exceeding riches of his grace in his kindness towards us through Christ Jesus.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 8] For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 9] not of works, lest any man should boast.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 10] For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 11] Wherefore remember, that ye being in time passed Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 12] that at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 13] but now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 14] For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 15] having abolished in his flesh the enmity, even the law of commandments contained in ordinances; for to make in himself of twain one new man, so making peace;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 16] and that he might reconcile both unto God in one body by the cross, having slain the enmity thereby:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 17] and came and preached peace to you which were afar off, and to them that were nigh;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 18] for through him we both have access by one Spirit unto the Father.
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 19] Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 20] and are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 21] in whom all the building fitly framed together groweth unto a holy temple in the Lord:
[KJV | EN | NT | Ephesians | Chapter 2 | Verse 22] in whom you also are builded together for a habitation of God through the Spirit.
