[KJV | EN | NT | Ephesians | Chapter 6 | Verse 1] Children, obey your parents in the Lord: for this is right.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 2] Honour thy father and mother; (which is the first commandment with promise;)
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 3] that it may be well with thee, and thou mayest live long on the earth.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 4] And, ye fathers, provoke not your children to wrath: but bring them up in the nurture and admonition of the Lord.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 5] Servants, be obedient to them that are your masters according to the flesh, with fear and trembling, in singleness of your heart, as unto Christ;
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 6] not with eyeservice, as menpleasers; but as the servants of Christ, doing the will of God from the heart;
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 7] with good will doing service, as to the Lord, and not to men:
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 8] knowing that whatsoever good thing any man doeth, the same shall he receive of the Lord, whether he be bond or free.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 9] And, ye masters, do the same things unto them, forbearing threatening: knowing that your Master also is in heaven; neither is there respect of persons with him.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 10] Finally, my brethren, be strong in the Lord, and in the power of his might.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 11] Put on the whole armour of God, that ye may be able to stand against the wiles of the devil.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 12] For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 13] Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 14] Stand therefore, having your loins girt about with truth, and having on the breastplate of righteousness;
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 15] and your feet shod with the preparation of the gospel of peace;
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 16] above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 17] And take the helmet of salvation, and the sword of the Spirit, which is the word of God:
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 18] praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 19] and for me, that utterance may be given unto me, that I may open my mouth boldly, to make known the mystery of the gospel,
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 20] for which I am an ambassador in bonds: that therein I may speak boldly, as I ought to speak.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 21] But that ye also may know my affairs, and how I do, Tychicus, a beloved brother and faithful minister in the Lord, shall make known to you all things:
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 22] whom I have sent unto you for the same purpose, that ye might know our affairs, and that he might comfort your hearts.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 23] Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.
[KJV | EN | NT | Ephesians | Chapter 6 | Verse 24] Grace be with all them that love our Lord Jesus Christ in sincerity. Amen. ¶ Written from Rome unto the Ephesians by Tychicus.
