[KJV | EN | NT | Ephesians | Chapter 4 | Verse 1] I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 2] with all lowliness and meekness, with longsuffering, forbearing one another in love;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 3] endeavouring to keep the unity of the Spirit in the bond of peace.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 4] There is one body, and one Spirit, even as ye are called in one hope of your calling;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 5] one Lord, one faith, one baptism,
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 6] one God and Father of all, who is above all, and through all, and in you all.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 7] But unto every one of us is given grace according to the measure of the gift of Christ.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 8] Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 9] (Now that he ascended, what is it but that he also descended first into the lower parts of the earth?
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 10] He that descended is the same also that ascended up far above all heavens, that he might fill all things.)
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 11] And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 12] for the perfecting of the saints for the work of the ministry, for the edifying of the body of Christ:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 13] till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 14] that we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 15] but speaking the truth in love, may grow up into him in all things, which is the head, even Christ:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 16] from whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body unto the edifying of itself in love.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 17] This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 18] having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 19] who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 20] But ye have not so learned Christ;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 21] if so be that ye have heard him, and have been taught by him, as the truth is in Jesus:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 22] that ye put off concerning the former conversation the old man, which is corrupt according to the deceitful lusts;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 23] and be renewed in the spirit of your mind;
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 24] and that ye put on the new man, which after God is created in righteousness and true holiness.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 25] Wherefore putting away lying, speak every man truth with his neighbour: for we are members one of another.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 26] Be ye angry, and sin not: let not the sun go down upon your wrath:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 27] neither give place to the devil.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 28] Let him that stole steal no more: but rather let him labour, working with his hands the thing which is good, that he may have to give to him that needeth.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 29] Let no corrupt communication proceed out of your mouth, but that which is good to the use of edifying, that it may minister grace unto the hearers.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 30] And grieve not the holy Spirit of God, whereby ye are sealed unto the day of redemption.
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 31] Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:
[KJV | EN | NT | Ephesians | Chapter 4 | Verse 32] and be ye kind one to another, tender hearted, forgiving one another, even as God for Christ’s sake hath forgiven you.
