[KJV | EN | NT | Ephesians | Chapter 5 | Verse 1] Be ye therefore followers of God, as dear children;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 2] and walk in love, as Christ also hath loved us, and hath given himself for us an offering and a sacrifice to God for a sweetsmelling savour.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 3] But fornication, and all uncleanness, or covetousness, let it not be once named amongst you, as becometh saints;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 4] neither filthiness, nor foolish talking, nor jesting, which are not convenient: but rather giving of thanks.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 5] For this ye know, that no whoremonger, nor unclean person, nor covetous man who is an idolater, hath any inheritance in the kingdom of Christ and of God.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 6] Let no man deceive you with vain words: for because of these things cometh the wrath of God upon the children of disobedience.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 7] Be not ye therefore partakers with them.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 8] For ye were sometimes darkness, but now are ye light in the Lord: walk as children of light:
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 9] (for the fruit of the Spirit is in all goodness and righteousness and truth;)
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 10] proving what is acceptable unto the Lord.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 11] And have no fellowship with the unfruitful works of darkness, but rather reprove them.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 12] For it is a shame even to speak of those things which are done of them in secret.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 13] But all things that are reproved are made manifest by the light: for whatsoever doth make manifest is light.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 14] Wherefore he saith, Awake thou that sleepest, and arise from the dead, and Christ shall give thee light.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 15] See then that ye walk circumspectly, not as fools, but as wise,
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 16] redeeming the time, because the days are evil.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 17] Wherefore be ye not unwise, but understanding what the will of the Lord is.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 18] And be not drunk with wine, wherein is excess; but be filled with the Spirit;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 19] speaking to yourselves in psalms and hymns and spiritual songs, singing and making melody in your heart to the Lord;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 20] giving thanks always for all things unto God and the Father in the name of our Lord Jesus Christ;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 21] submitting yourselves one to another in the fear of God.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 22] Wives, submit yourselves unto your own husbands, as unto the Lord.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 23] For the husband is the head of the wife, even as Christ is the head of the church: and he is the saviour of the body.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 24] Therefore as the church is subject unto Christ, so let the wives be to their own husbands in every thing.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 25] Husbands, love your wives, even as Christ also loved the church, and gave himself for it;
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 26] that he might sanctify and cleanse it with the washing of water by the word,
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 27] that he might present it to himself a glorious church, not having spot, or wrinkle, or any such thing; but that it should be holy and without blemish.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 28] So ought men to love their wives as their own bodies. He that loveth his wife loveth himself.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 29] For no man ever yet hated his own flesh; but nourisheth and cherisheth it, even as the Lord the church:
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 30] for we are members of his body, of his flesh, and of his bones.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 31] For this cause shall a man leave his father and mother, and shall be joined unto his wife, and they two shall be one flesh.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 32] This is a great mystery: but I speak concerning Christ and the church.
[KJV | EN | NT | Ephesians | Chapter 5 | Verse 33] Nevertheless let every one of you in particular so love his wife even as himself; and the wife see that she reverence her husband.
