[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 1] ਸੋ ਜਦੋਂ ਮਸੀਹ ਨੇ ਸਰੀਰ ਵਿੱਚ ਦੁੱਖ ਝੱਲਿਆ ਤਾਂ ਤੁਸੀਂ ਵੀ ਉਸੇ ਮਨਸ਼ਾ ਦੇ ਹਥਿਆਰ ਬੰਨੋ, ਕਿਉਂਕਿ ਜਿਸ ਨੇ ਸਰੀਰ ਵਿੱਚ ਦੁੱਖ ਝੱਲਿਆ ਉਹ ਪਾਪ ਤੋਂ ਰਹਿਤ ਹੋਇਆ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 2] ਭਈ ਤੁਸੀਂ ਅਗਾਹਾਂ ਨੂੰ ਮਨੁੱਖਾਂ ਦੀਆਂ ਕਾਮਨਾ ਦੇ ਅਨੁਸਾਰ ਨਹੀਂ ਸਗੋਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਰਜ਼ੀ ਦੇ ਅਨੁਸਾਰ ਸਰੀਰ ਵਿੱਚ ਆਪਣੀ ਬਾਕੀ ਦੀ ਉਮਰ ਕੱਟੀਏ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 3] ਕਿਉਂ ਜੋ ਬੀਤਿਆ ਹੋਇਆ ਸਮਾਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੀ ਮਨਸ਼ਾ ਪੂਰੀ ਕਰਨ ਲਈ ਬਥੇਰਾ ਸੀ ਜਦੋਂ ਅਸੀਂ ਲੁੱਚਪੁਣਿਆਂ, ਕਾਮਨਾ, ਸ਼ਰਾਬ ਪੀਣ, ਨਾਚ ਰੰਗਾਂ, ਨਸ਼ੇ ਬਾਜੀਆਂ ਅਤੇ ਘਿਣਾਉਣੇ ਮੂਰਤੀ ਪੂਜਕਾਂ ਵਿੱਚ ਚੱਲਦੇ ਸੀ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 4] ਉਹ ਇਸ ਨੂੰ ਅਚਰਜ਼ ਮੰਨਦੇ ਹਨ ਕਿ ਤੁਸੀਂ ਉਸ ਬਦਚਲਣੀ ਵਿੱਚ ਉਹਨਾਂ ਦਾ ਸਾਥ ਨਹੀਂ ਦਿੰਦੇ, ਇਸ ਲਈ ਉਹ ਤੁਹਾਡੀ ਨਿੰਦਿਆ ਕਰਦੇ ਹਨ l
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 5] ਉਹ ਉਸ ਨੂੰ ਲੇਖਾ ਦੇਣਗੇ ਜਿਹੜਾ ਜਿਉਂਦਿਆਂ ਅਤੇ ਮੁਰਦਿਆਂ ਦਾ ਨਿਆਂ ਕਰਨ ਨੂੰ ਤਿਆਰ ਹੈ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 6] ਕਿਉਂ ਜੋ ਮੁਰਦਿਆਂ ਨੂੰ ਵੀ ਖੁਸ਼ਖਬਰੀ ਇਸੇ ਲਈ ਸੁਣਾਈ ਗਈ ਕਿ ਸਰੀਰ ਕਰਕੇ ਉਹਨਾਂ ਦਾ ਨਿਆਂ ਤਾਂ ਮਨੁੱਖਾਂ ਦੇ ਅਨੁਸਾਰ ਹੋਵੇ ਪਰ ਆਤਮਾ ਕਰਕੇ ਉਹ ਪਰਮੇਸ਼ੁਰ ਵਾਂਗੂੰ ਜਿਉਂਦੇ ਰਹਿਣ।
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 7] ਪਰ ਸਭਨਾਂ ਵਸਤਾਂ ਦਾ ਅੰਤ ਨੇੜੇ ਹੈ। ਇਸ ਕਾਰਨ ਤੁਸੀਂ ਸੁਰਤ ਵਾਲੇ ਹੋਵੋ ਅਤੇ ਪ੍ਰਾਰਥਨਾ ਕਰਨ ਲਈ ਸੁਚੇਤ ਰਹੋ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 8] ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਇਹ ਹੈ ਕਿ ਤੁਸੀਂ ਇੱਕ ਦੂਜੇ ਨਾਲ ਗੂੜ੍ਹਾ ਪਿਆਰ ਰੱਖੋ, ਕਿਉਂ ਜੋ ਪਿਆਰ ਬਹੁਤੇ ਪਾਪਾਂ ਨੂੰ ਢੱਕ ਲੈਂਦਾ ਹੈ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 9] ਮੱਥੇ ਵੱਟ ਪਾਏ ਬਿਨ੍ਹਾਂ ਇੱਕ ਦੂਸਰੇ ਦੀ ਪ੍ਰਾਹੁਣਚਾਰੀ ਕਰੋ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 10] ਹਰੇਕ ਨੂੰ ਜੋ-ਜੋ ਦਾਤ ਮਿਲੀ ਹੈ ਉਸ ਨਾਲ ਇੱਕ ਦੂਜੇ ਦੀ ਟਹਿਲ ਸੇਵਾ ਕਰੋ, ਜਿਵੇਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਬਹੁਰੰਗੀ ਕਿਰਪਾ ਦੇ ਮੁਖ਼ਤਿਆਰਾਂ ਨੂੰ ਉੱਚਿਤ ਹੈ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 11] ਜੇ ਕੋਈ ਗੱਲ ਕਰੇ ਤਾਂ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਬਚਨ ਅਨੁਸਾਰ ਕਰੇ, ਜੇ ਕੋਈ ਟਹਿਲ ਸੇਵਾ ਕਰੇ ਤਾਂ ਉਹ ਸਮਰੱਥਾ ਦੇ ਅਨੁਸਾਰ ਕਰੇ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਿੰਦਾ ਹੈ ਭਈ ਸਭਨਾਂ ਗੱਲਾਂ ਵਿੱਚ ਯਿਸੂ ਮਸੀਹ ਦੇ ਰਾਹੀਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਹਿਮਾਂ ਕੀਤੀ ਜਾਵੇ, ਜਿਸ ਦੀ ਮਹਿਮਾ ਅਤੇ ਪਰਾਕਰਮ ਜੁੱਗੋ-ਜੁੱਗ ਹਨ। ਆਮੀਨ।
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 12] ਹੁਣ ਹੇ ਪਿਆਰਿਓ, ਜਿਹੜੀ ਬਿਪਤਾ ਦਾ ਲਾਂਬੂ ਤੁਹਾਨੂੰ ਪਰਖਣ ਲਈ ਤੁਹਾਡੇ ਉੱਤੇ ਪਿਆ ਹੋਇਆ ਹੈ, ਉਹ ਨੂੰ ਅਚਰਜ਼ ਨਾ ਮੰਨੋ ਕਿ ਜਿਵੇਂ ਤੁਹਾਡੇ ਨਾਲ ਕੋਈ ਅਨੋਖੀ ਗੱਲ ਬੀਤਦੀ ਹੈ
[IRV | PA | NT | 1 Peter | Chapter 4 | Verse 13] ਸਗੋਂ ਜਿੰਨੇ ਕੁ ਤੁਸੀਂ ਮਸੀਹ ਦੇ ਦੁੱਖਾਂ ਵਿੱਚ ਸਾਂਝੀ ਹੋ ਓਨਾ ਕੁ ਆਨੰਦ ਕਰੋ ਤਾਂ ਕਿ ਉਹ ਦੇ ਤੇਜ ਦੇ ਪ੍ਰਕਾਸ਼ ਹੋਣ ਦੇ ਵੇਲੇ ਵੀ ਤੁਸੀਂ ਬਹੁਤ ਆਨੰਦ ਨਾਲ ਨਿਹਾਲ ਹੋਵੋ
