[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 1] Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 2] Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 3] And every man that hath this hope in him purifieth himself, even as he is pure.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 4] Whoever committeth sin transgresseth also the law; for sin is the transgression of the law.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 5] And ye know that he was manifested to take away our sins; and in him is no sin.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 6] Whoever abideth in him sinneth not: whoever sinneth hath not seen him, neither known him.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 7] Little children, let no man deceive you: he that doeth righteousness is righteous, even as he is righteous.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 8] He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 9] Whoever is born of God doth not commit sin; for his seed remaineth in him: and he cannot sin, because he is born of God.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 10] In this the children of God are manifest, and the children of the devil: whoever doeth not righteousness is not of God, neither he that loveth not his brother.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 11] For this is the message that ye have heard from the beginning, that we should love one another.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 12] Not as Cain, who was of that wicked one, and slew his brother. And why did he slay him? Because his own works were evil, and his brother's righteous.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 13] Marvel not, my brethren, if the world hate you.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 14] We know that we have passed from death to life, because we love the brethren. He that loveth not his brother, abideth in death.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 15] Whoever hateth his brother, is a murderer: and ye know that no murderer hath eternal life abiding in him.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 16] By this we perceive the love of God , because he laid down his life for us: and we ought to lay down our lives for the brethren.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 17] But he who hath this world's good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him?
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 18] My little children, let us not love in word, neither in tongue, but in deed and in truth.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 19] And by this we know that we are of the truth, and shall assure our hearts before him.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 20] For if our heart condemneth us, God is greater than our heart, and knoweth all things.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 21] Beloved, if our heart doth not condemn us, then have we confidence towards God.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 22] And whatever we ask, we receive from him, because we keep his commandments, and do those things that are pleasing in his sight.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 23] And this is his commandment; That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment.
[WEBSTER | EN | NT | 1 John | Chapter 3 | Verse 24] And he that keepeth his commandments, dwelleth in him, and he in him. And by this we know that he abideth in us, by the Spirit which he hath given us.
