[IRV | KN | OT | Numbers | Chapter 16 | Verse 1] ಆಗ ಲೇವಿಯನ ಮರಿಮಗನೂ, ಕೆಹಾತನ ಮೊಮ್ಮಗನೂ, ಇಚ್ಚಾರನ ಮಗನೂ ಆದ ಕೋರಹನು ಮತ್ತು ರೂಬೇನ್ ಕುಲದವರಲ್ಲಿ ಎಲೀಯಾಬನ ಮಕ್ಕಳಾದ ದಾತಾನನೂ, ಅಬೀರಾಮನೂ ಮತ್ತು ಪೆಲೆತನ ಮಗನಾದ ಓನನೂ, ಕೆಲವು ಜನರನ್ನು ಕೂಡಿಸಿದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 2] ಇಸ್ರಾಯೇಲರ ಸಮೂಹದವರಲ್ಲಿದ್ದ ಮುಖ್ಯಸ್ಥರೂ, ಪ್ರಸಿದ್ಧರಾಗಿ ಹೆಸರು ಹೊಂದಿದ ಇನ್ನೂರೈವತ್ತು ಜನರು ಮೋಶೆಗೆ ವಿರುದ್ಧವಾಗಿ ಪ್ರತಿಭಟಿಸಿ ತಿರುಗಿಬಿದ್ದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 3] ಅವರು ಒಟ್ಟಾಗಿ ಕೂಡಿಕೊಂಡು ಮೋಶೆ ಮತ್ತು ಆರೋನರ ಬಳಿಗೆ ಬಂದು ಅವರಿಗೆ, “ನೀವು ಹೆಚ್ಚು ಅಧಿಕಾರ ನಡೆಸುತ್ತೀರಿ. ಈ ಸಮೂಹದವರಲ್ಲಿ ಪ್ರತಿಯೊಬ್ಬನು ದೇವರಿಗೆ ಪ್ರತಿಷ್ಠಿತನಾದವನು, ಯೆಹೋವನು ಇವರೆಲ್ಲರ ಮಧ್ಯದಲ್ಲಿ ಇದ್ದಾನೆ. ಹೀಗಿರಲಾಗಿ ಯೆಹೋವನ ಸಮೂಹದವರಿಗಿಂತಲೂ ನಿಮ್ಮನ್ನು ನೀವೇ ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವುದು ಏಕೆ?” ಎಂದು ಕೇಳಿದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 4] ಮೋಶೆ ಆ ಮಾತನ್ನು ಕೇಳಿ ಬೋರಲುಬಿದ್ದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 5] ಮೋಶೆಯು ಕೋರಹನಿಗೂ ಮತ್ತು ಅವನ ಎಲ್ಲಾ ಸಮೂಹದವರಿಗೂ, “ತನ್ನವರು ಯಾರು ಎಂಬುದನ್ನು ಯೆಹೋವನು ನಾಳೆ ತಿಳಿಸುವನು. ಯಾರನ್ನು ಯೆಹೋವನು ಪ್ರತಿಷ್ಠಿಸಿದ್ದಾನೋ, ಯಾರನ್ನು ಆದುಕೊಂಡಿದ್ದಾನೋ ಅವರನ್ನು ಮಾತ್ರ ಆತನು ತನ್ನ ಹತ್ತಿರಕ್ಕೆ ಬರಗೊಡಿಸುವನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 6] ನೀವು ಇದನ್ನು ಮಾಡಿರಿ, ಕೋರಹನೂ ಮತ್ತು ಅವನ ಸಮೂಹದವರೆಲ್ಲರೂ ಧೂಪಾರತಿಗಳನ್ನು ತೆಗೆದುಕೊಂಡು,
[IRV | KN | OT | Numbers | Chapter 16 | Verse 7] ಅವುಗಳಲ್ಲಿ ಕೆಂಡಗಳನ್ನಿಟ್ಟು ನಾಳೆ ಯೆಹೋವನ ಸನ್ನಿಧಿಯಲ್ಲಿ ಧೂಪಹಾಕಿರಿ. ಆಗ ಯೆಹೋವನು ಯಾರನ್ನು ಮೆಚ್ಚುವನೋ ಅವನೇ ದೇವರಿಗೆ ಪ್ರತಿಷ್ಠಿತನೆಂದು ತಿಳಿದುಕೊಳ್ಳುವಿರಿ. ಲೇವಿಯರೇ, ನಿಮ್ಮ ವರ್ತನೆ ಅತಿಯಾಯಿತು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 8] ಪುನಃ ಮೋಶೆ ಕೋರಹನಿಗೆ, “ಲೇವಿಯ ಸಂತಾನದವರೇ, ಈಗ ಕೇಳಿರಿ,
[IRV | KN | OT | Numbers | Chapter 16 | Verse 9] ಇಸ್ರಾಯೇಲರ ದೇವರಾದ ಯೆಹೋವನು ತನ್ನ ಗುಡಾರದ ಸೇವಾಕಾರ್ಯವನ್ನು ಮಾಡುವುದಕ್ಕೂ, ಸರ್ವಸಮೂಹದವರಿಗೋಸ್ಕರ ಸೇವೆಯನ್ನು ಮಾಡುವುದಕ್ಕೂ ನಿಮ್ಮನ್ನು ಹತ್ತಿರ ಬರಮಾಡಿಕೊಂಡು, ಸಮೂಹದವರಿಂದ ನಿಮ್ಮನ್ನು ಪ್ರತ್ಯೇಕಿಸಿದ್ದು ನಿಮಗೆ ಅಲ್ಪವಾಗಿ ತೋರುತ್ತದೋ?
[IRV | KN | OT | Numbers | Chapter 16 | Verse 10] ಆತನು ನಿನ್ನನ್ನೂ, ನಿನ್ನ ಸ್ವಕುಲದವರಾದ ಲೇವಿಯರನ್ನೂ ತನ್ನ ಹತ್ತಿರ ಬರಮಾಡಿಕೊಂಡಿದ್ದಾನೆ. ನೀವು ಸಹ ಯಾಜಕತ್ವವನ್ನು ಬಯಸುತ್ತಿರೋ?
[IRV | KN | OT | Numbers | Chapter 16 | Verse 11] ನೀನು ಮತ್ತು ನಿನ್ನ ಸಮೂಹದವರೆಲ್ಲರು ಯೆಹೋವನಿಗೆ ವಿರುದ್ಧವಾಗಿ ಕೂಡಿಕೊಂಡಿರಿ, ನನಗೆ ವಿಧೇಯನಾಗಿ ನಡೆಯುವ ಆರೋನನ ವಿರುದ್ಧವಾಗಿ ನೀವು ಗುಣಗುಟ್ಟುವುದೇಕೆ?” ಎಂದು ಕೇಳಿದನು.
