[GNV | EN | OT | Exodus | Chapter 38 | Verse 1] Also he made the altar of the burnt offering of Shittim wood: fiue cubites was the length therof, and fiue cubites the breadth thereof: it was square and three cubites hie.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 2] And hee made vnto it hornes in the foure corners thereof: the hornes thereof were of the same, and he ouerlayd it with brasse.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 3] Also he made al the instruments of the altar: the ashpans, and the besoms, and the basins, the fleshhookes, and the censers: all the instruments thereof made he of brasse.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 4] Moreouer he made a brasen grate wrought like a net to the Altar, vnder the compasse of it beneath in the middes of it,
[GNV | EN | OT | Exodus | Chapter 38 | Verse 5] And cast foure rings of brasse for the foure endes of the grate to put barres in.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 6] And he made the barres of Shittim wood, and couered them with brasse.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 7] The which barres he put into the rings on the sides of the altar to beare it withall, and made it hollow within the boardes.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 8] Also he made the Lauer of brasse, and the foote of it of brasse of the glasses of the women that did assemble and came together at the doore of the Tabernacle of the Congregation.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 9] Finally he made the court on the South side full South: the hangings of the court were of fine twined linnen, hauing an hundreth cubites.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 10] Their pillars were twentie, and their brasen sockets twentie: the hookes of the pillars, and their filets were of siluer.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 11] And on the Northside the hanginges were an hundreth cubites: their pillars twentie, and their sockets of brasse twentie, the hookes of the pillars and their filets of siluer.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 12] On the Westside also were hangings of fiftie cubites, their ten pillars with their ten sockets: the hookes of the pillars and their filets of siluer.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 13] And toward ye Eastside, full East were hangings of fiftie cubites.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 14] The hangings of the one side were fifteene cubites, their three pillars, and their three sockets:
[GNV | EN | OT | Exodus | Chapter 38 | Verse 15] And of the other side of the court gate on both sides were hangings of fifteene cubites, with their three pillars and their three sockets.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 16] All the hangings of the court round about were of fine twined linen:
[GNV | EN | OT | Exodus | Chapter 38 | Verse 17] But the sockets of ye pillars were of brasse: the hookes of the pillars and their filets of siluer, and the couering of their chapiters of siluer: and all the pillars of the court were hooped about with siluer.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 18] He made also the hanging of the gate of the court of needle worke, blewe silke, and purple, and skarlet, and fine twined linen euen twentie cubites long, and fiue cubites in height and bredth, like the hangings of the court.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 19] And their pillars were foure with their foure sockets of brasse: their hookes of siluer, and the couering of their chapiters, and their filets of siluer.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 20] But all the pins of the Tabernacle and of the court round about were of brasse.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 21] These are the parts of the Tabernacle, I meane, of the Tabernacle of the Testimonie, which was appovnted by the commandement of Moses for the office of the Leuites by the hande of Ithamar sonne to Aaron the Priest.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 22] So Bezaleel the sonne of Vri the sonne of Hur of the tribe of Iudah, made all that the Lord commanded Moses.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 23] And with him Aholiab sonne of Ahisamach of the tribe of Dan, a cunning workeman and an embroiderer and a worker of needle work in blew silke, and in purple, and in skarlet, and in fine linen.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 24] All ye gold that was occupied in all ye worke wrought for the holy place (which was the gold of the offring) was nine and twentie talents, and seuen hundreth and thirtie shekels, according to the shekel of the Sanctuarie.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 25] But the siluer of them that were numbred in the Congregation, was an hundreth talents, and a thousand seuen hundreth seuentie and fiue shekels, after the shekel of the Sanctuarie.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 26] A portion for a man, that is, halfe a shekel after ye shekel of the Sanctuarie, for all them that were numbred from twentie yeere olde and aboue, among sixe hundreth thousande, and three thousand, and fiue hundreth and fiftie men.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 27] Moreouer there were an hundreth talentes of siluer, to cast ye sockets of ye Sanctuary, and the sockets of the vaile: an hundreth sockets of an hundreth talents, a talent for a socket.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 28] But he made the hookes for the pillars of a thousande seuen hundreth and seuentie and fiue shekels, and ouerlayde their chapiters, and made filets about them.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 29] Also the brasse of the offering was seuentie talents, and two thousande, and foure hundreth shekels.
[GNV | EN | OT | Exodus | Chapter 38 | Verse 30] Whereof he made the sockets to the doore of the Tabernacle of the Congregation, and the brasen altar, and the brasen grate which was for it, with all the instruments of the Altar,
[GNV | EN | OT | Exodus | Chapter 38 | Verse 31] And the sockets of the court round about, and the sockets for the court gate, and al the pins of the Tabernacle, and all the pins of the court round about.
