[GNV | EN | OT | Exodus | Chapter 10 | Verse 1] Againe the Lord saide vnto Moses, Goe to Pharaoh: for I haue hardened his heart, and the heart of his seruants, that I might worke these my miracles in the middes of his realme,
[GNV | EN | OT | Exodus | Chapter 10 | Verse 2] And that thou maist declare in the eares of thy sonne, and of thy sonnes sonne, what things I haue done in Egypt, and my miracles, which I haue done among them: that ye may knowe that I am the Lord.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 3] Then came Moses and Aaron vnto Pharaoh, and they said vnto him, Thus saith the Lord God of the Ebrewes, Howe long wilt thou refuse to humble thy selfe before me? Let my people goe, that they may serue me.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 4] But if thou refuse to let my people go, beholde, to morowe will I bring grashoppers into thy coastes.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 5] And they shall couer the face of the earth, that a man can not see the earth: and they shall eate the residue which remaineth vnto you, and hath escaped from the haile: and they shall eate all your trees that bud in the fielde.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 6] And they shall fil thine houses, and all thy seruants houses, and the houses of all the Egyptians, as neither thy fathers, nor thy fathers fathers haue seene, since the time they were vpon the earth vnto this day. So he returned, and went out from Pharaoh.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 7] Then Pharaohs seruants saide vnto him, How long shall he be an offence vnto vs? let the men go, that they may serue the Lord their God: wilt thou first knowe that Egypt is destroyed?
[GNV | EN | OT | Exodus | Chapter 10 | Verse 8] So Moses and Aaron were brought againe vnto Pharaoh, and he saide vnto them, Goe, serue the Lord your God, but who are they that shall goe?
[GNV | EN | OT | Exodus | Chapter 10 | Verse 9] And Moses answered, We will go with our yong and with our olde, with our sonnes and with our daughters, with our sheepe and with our cattell will we goe: for we must celebrate a feast vnto the Lord.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 10] And he said vnto them, Let the Lord so be with you, as I will let you goe and your children: beholde, for euill is before your face.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 11] It shall not be so: nowe goe ye that are men, and serue the Lord: for that was your desire. Then they were thrust out from Pharaohs presence.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 12] After, the Lord said vnto Moses, Stretch out thine hande vpon the lande of Egypt for the grashoppers, that they may come vpon the lande of Egypt, and eate all the herbes of the land, euen all that the haile hath left.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 13] Then Moses stretched foorth his rod vpon the lande of Egypt: and the Lord brought an East winde vpon the land all that day, and al that night: and in the morning the East wind brought the grashoppers.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 14] So the grashoppers went vp vpon all the land of Egypt, and remained in all quarters of Egypt: so grieuous Grashoppers, like to these were neuer before, neither after them shalbe such.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 15] For they couered all the face of the earth, so that the lande was darke: and they did eate all the herbes of the lande, and all the fruites of the trees, which the haile had left, so that there was no greene thing left vpon the trees, nor among the herbes of the fielde throughout all the lande of Egypt.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 16] Therefore Pharaoh called for Moses and Aaron in haste, and sayde, I haue sinned against the Lord your God, and against you.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 17] And nowe forgiue mee my sinne onely this once, and pray vnto the Lord your God, that hee may take away from me this death onely.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 18] Moses then went out from Pharaoh, and prayed vnto the Lord.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 19] And the Lord turned a mightie strong West winde, and tooke away the grashoppers, and violently cast them into the red Sea, so that there remained not one grashopper in all the coast of Egypt.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 20] But the Lord hardened Pharaohs heart, and hee did not let the children of Israel goe.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 21] Againe ye Lord said vnto Moses, Stretch out thine hand toward heauen, that there may be vpon the lande of Egypt darkenesse, euen darkenesse that may be felt.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 22] Then Moses stretched forth his hande towarde heauen, and there was a blacke darkenesse in all the land of Egypt three daies.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 23] No man saw an other, neither rose vp from ye place where he was for three dayes: but all the children of Israel had light where they dwelt.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 24] The Pharaoh called for Moses and said, Go, serue the Lord: onely your sheepe and your cattel shall abide, and your children shall go with you.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 25] And Moses sayd, Thou must giue vs also sacrifices, and burnt offrings that wee may doe sacrifice vnto the Lord our God.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 26] Therefore our cattell also shall go with vs: there shall not an hoofe bee left, for thereof must we take to serue the Lord our God: neither doe wee knowe howe we shall serue the Lord, vntill we come thither.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 27] (But the Lord hardened Pharaohs heart, and he would not let them goe)
[GNV | EN | OT | Exodus | Chapter 10 | Verse 28] And Pharaoh sayde vnto him, Get thee from mee: looke thou see my face no more: for whensoeuer thou commest in my sight, thou shalt dye.
[GNV | EN | OT | Exodus | Chapter 10 | Verse 29] Then Moses said, Thou hast said well: from henceforth will I see thy face no more.
