[GNV | EN | OT | Exodus | Chapter 8 | Verse 1] Afterward the Lord sayde vnto Moses, Goe vnto Pharaoh, and tell him, Thus saith the Lord, Let my people goe, that they may serue me:
[GNV | EN | OT | Exodus | Chapter 8 | Verse 2] And if thou wilt not let them goe, beholde, I will smite all thy countrey with frogges:
[GNV | EN | OT | Exodus | Chapter 8 | Verse 3] And the riuer shall scral ful of frogges, which shall goe vp and come into thine house, and into thy chamber, where thou sleepest, and vpon thy bed, and into the house of thy seruants, and vpon thy people, and into thine ouens, and into thy kneading troughes.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 4] Yea, the frogges shall climbe vp vpon thee, and on thy people, and vpon all thy seruants.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 5] Also the Lord said vnto Moses, Say thou vnto Aaron, Stretch out thine hande with thy rod vpon the streames, vpon the riuers, and vpon the ponds, and cause frogs to come vp vpon the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 6] Then Aaron stretched out his hand vpon the waters of Egypt, and the frogges came vp, and couered the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 7] And the sorcerers did likewise with their sorceries, and brought frogges vp vpon the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 8] Then Pharaoh called for Moses and Aaron, and said, Pray ye vnto the Lord, that hee may take away the frogges from mee, and from my people, and I will let the people goe, that they may doe sacrifice vnto the Lord.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 9] And Moses said vnto Pharaoh, Concerning me, euen command when I shall pray for thee, and for thy seruants, and for thy people, to destroy the frogges from thee and from thine houses, that they may remaine in the riuer only.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 10] Then he said, To morowe. And he answered, Be it as thou hast said, that thou maiest know, that there is none like vnto the Lord our God.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 11] So the frogges shall depart from thee, and from thine houses, and from thy seruantes, and from thy people: onely they shall remaine in the riuer.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 12] Then Moses and Aaron went out from Pharaoh: and Moses cryed vnto the Lord concerning the frogges, which hee had sent vnto Pharaoh.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 13] And the Lord did according to the saying of Moses: so the frogges died in the houses, in the townes, and in the fieldes.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 14] And they gathered the together by heaps, and the land stanke of them.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 15] But when Pharaoh sawe that hee had rest giuen him, he hardened his heart, and hearkened not vnto them, as the Lord had said.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 16] Againe the Lord sayd vnto Moses, Say vnto Aaron, Stretche out the rod, and smite the dust of the earth, that it may bee turned to lyce throughout all the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 17] And they did so: for Aaron stretched out his hand with his rod, and smote the dust of the earth: and lyce came vpon man and vpon beast: all the dust of the earth was lyce throughout all the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 18] Nowe the enchanters assaied likewise with their enchantments to bring forth lyce, but they could not. So the lyce were vpon man and vpon beast.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 19] Then saide the enchanters vnto Pharaoh, This is the finger of God. But Pharaohs heart remained obstinate, and hee hearkened not vnto them, as the Lord had said.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 20] Moreouer the Lord sayd to Moses, Rise vp earely in the morning, and stand before Pharaoh (lo, hee will come forth vnto the water) and say vnto him, Thus saith the Lord, Let my people go, that they may serue me.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 21] Els, if thou wilt not let my people goe, behold, I will send swarmes of flies both vpon thee, and vpon thy seruants, and vpon thy people, and into thine houses: and the houses of the Egyptians shalbe full of swarmes of flies, and the ground also whereon they are.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 22] But ye land of Goshe, where my people are, wil I cause to be wonderfull in that day, so that no swarmes of flies shalbe there, that thou maiest know that I am the Lord in the middes of the earth.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 23] And I will make a deliuerance of my people from thy people: to morowe shall this miracle be.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 24] And the Lord did so: for there came great swarmes of flies into the house of Pharaoh, and into his seruants houses, so that through all the lande of Egypt, the earth was corrupt by the swarmes of flies.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 25] Then Pharaoh called for Moses and Aaron, and saide, Goe, doe sacrifice vnto your God in this lande.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 26] But Moses answered, It is not meete to do so: for then we shoulde offer vnto the Lord our God that, which is an abomination vnto the Egyptians. Loe, can we sacrifice the abomination of the Egyptians before their eyes, and they not stone vs?
[GNV | EN | OT | Exodus | Chapter 8 | Verse 27] Let vs go three dayes iourney in the desert, and sacrifice vnto the Lord our God, as he hath commanded vs.
[GNV | EN | OT | Exodus | Chapter 8 | Verse 28] And Pharaoh said, I will let you go, that ye may sacrifice vnto the Lord your God in the wildernesse: but goe not farre away, pray for me.
