[GNV | EN | OT | Exodus | Chapter 23 | Verse 1] Thou shalt not receiue a false tale, neyther shalt thou put thine hande with the wicked, to be a false witnes.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 2] Thou shalt not follow a multitude to do euil, neither agree in a controuersie to decline after many and ouerthrowe the trueth.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 3] Thou shalt not esteeme a poore man in his cause.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 4] If thou meete thine enemies oxe, or his asse going astray, thou shalt bring him to him againe.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 5] If thou see thine enemies asse lying vnder his burden, wilt thou cease to helpe him? thou shalt helpe him vp againe with it.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 6] Thou shalt not ouerthrowe the right of thy poore in his sute.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 7] Thou shalt keepe thee farre from a false matter, and shalt not slaye the innocent and the righteous: for I will not iustifie a wicked man.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 8] Thou shalt take no gift: for the gift blindeth the wise, and peruerteth the wordes of the righteous.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 9] Thou shalt not oppresse a stranger: for ye knowe the heart of a stranger, seeing yee were strangers in the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 10] Moreouer, sixe yeres thou shalt sowe thy land, and gather the fruites thereof,
[GNV | EN | OT | Exodus | Chapter 23 | Verse 11] But the seuenth yeere thou shalt let it rest and lie still, that the poore of thy people may eat, and what they leaue, the beastes of the fielde shall eate. In like maner thou shalt doe with thy vineyard, and with thine oliue trees.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 12] Sixe dayes thou shalt do thy worke, and in the seuenth day thou shalt rest, that thine oxe, and thine asse may rest, and the sonne of thy maide and the stranger may be refreshed.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 13] And ye shall take heede to all things that I haue sayde vnto you: and ye shall make no mention of the name of other gods, neither shall it be heard out of thy mouth.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 14] Three times thou shalt keepe a feast vnto me in the yeere.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 15] Thou shalt keepe the feast of vnleauened bread: thou shalt eate vnleauened bread seue dayes, as I commanded thee, in the season of the moneth of Abib: for in it thou camest out of Egypt: and none shall appeare before me emptie:
[GNV | EN | OT | Exodus | Chapter 23 | Verse 16] The feast also of the haruest of the first fruites of thy labours, which thou hast sowen in the fielde: and the feast of gathering fruites in the ende of the yere, when thou hast gathered in thy labours out of the fielde.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 17] These three times in the yeere shall all thy men children appeare before the Lord Iehouah.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 18] Thou shalt not offer the blood of my sacrifice with leauened bread: neyther shall the fatte of my sacrifice remayne vntill the morning.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 19] The first of the first fruites of thy lande thou shalt bring into the house of the Lord thy God: yet shalt thou not seeth a kid in his mothers milke.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 20] Behold, I send an Angel before thee, to keepe thee in the way, and to bring thee to the place which I haue prepared.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 21] Beware of him, and heare his voyce, and prouoke him not: for he will not spare your misdeedes, because my name is in him.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 22] But if thou hearken vnto his voyce, and do all that I speake, the I wil be an enemie vnto thine enemies, and will afflict them that afflict thee.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 23] For mine Angel shall go before thee, and bring thee vnto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hiuites, and the Iebusites, and I will destroy them.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 24] Thou shalt not bow downe to their gods, neither serue them, nor doe after the workes of them: but vtterly ouerthrowe them, and breake in pieces their images.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 25] For ye shall serue the Lord your God, and he shall blesse thy bread and thy water, and I will take all sickenes away from the middes of thee.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 26] There shall none cast their fruite nor be baren in thy lande: the number of thy dayes will I fulfill.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 27] I will send my feare before thee, and will destroy all the people among whome thou shalt go: and I will make all thine enemies turne their backes vnto thee:
[GNV | EN | OT | Exodus | Chapter 23 | Verse 28] And I will sende hornets before thee, which shall driue out the Hiuites, the Canaanites, and the Hittites from thy face.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 29] I will not cast them out from thy face in one yeere, least the land grow to a wildernes: and the beasts of the field multiplie against thee.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 30] By litle and litle I will driue them out from thy face, vntill thou increase, and inherite the lande.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 31] And I will make thy coastes from the red sea vnto the sea of the Philistims, and from the desert vnto the Riuer: for I will deliuer the inhabitants of the lande into your hande, and thou shalt driue them out from thy face.
[GNV | EN | OT | Exodus | Chapter 23 | Verse 32] Thou shalt make no couenant with them, nor with their gods:
[GNV | EN | OT | Exodus | Chapter 23 | Verse 33] Neither shall they dwell in thy lande, least they make thee sinne against me: for if thou serue their gods, surely it shall be thy destruction.
