[GNV | EN | OT | Exodus | Chapter 22 | Verse 1] If a man steale an oxe or a sheepe, and kill it or sell it, he shall restore fiue oxen for the oxe, and foure sheepe for the sheepe.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 2] If a thiefe bee founde breaking vp, and be smitten that he dye, no blood shall be shed for him.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 3] But if it be in the day light, blood shall be shed for him: for he should make full restitution: if he had not wherewith, then shoulde he bee solde for his theft.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 4] If the theft bee founde with him, aliue, (whether it be oxe, asse, or sheepe) he shall restore the double.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 5] If a man doe hurt fielde, or vineyarde, and put in his beast to feed in an other mans fielde, he shall recompence of the best of his owne fielde, and of the best of his owne vineyard.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 6] If fire breake out, and catche in ye thornes, and the stackes of corne, or the standing corne, or the fielde be consumed, he that kindled the fire shall make full restitution.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 7] If a man deliuer his neighbour money or stuffe to keepe, and it be stollen out of his house, if the thiefe be found, he shall pay the double.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 8] If the thiefe be not founde, then the master of the house shalbe brought vnto the Iudges to sweare, whether he hath put his hande vnto his neighbours good, or no.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 9] In all maner of trespasse, whether it bee for oxen, for asse, for sheepe, for raiment, or for any maner of lost thing, which an other chalengeth to be his, the cause of both parties shall come before the iudges, and whom the Iudges condemne, he shall pay the double vnto his neighbour.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 10] If a man deliuer vnto his neighbour to keepe asse, or oxe, or sheepe, or any beast, and it die, or be hurt, or taken away by enemies, and no man see it,
[GNV | EN | OT | Exodus | Chapter 22 | Verse 11] An othe of the Lord shalbe betweene the twaine, that hee hath not put his hande vnto his neighbours good, and the owner of it shall take the othe, and he shall not make it good:
[GNV | EN | OT | Exodus | Chapter 22 | Verse 12] But if it be stollen from him, he shall make restitution vnto the owner thereof.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 13] If it be torne in pieces, he shall bring recorde, and shall not make that good, which is deuoured.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 14] And if a man borow ought of his neighbour, and it be hurt, or els die, the owner thereof not being by, he shall surely make it good.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 15] If the owner thereof bee by, hee shall not make it good: for if it be an hired thing, it came for his hire.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 16] And if a man entise a maide that is not betrothed, and lie with her, hee shall endowe her, and take her to his wife.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 17] If her father refuse to giue her to him, hee shall pay money, according to ye dowry of virgins.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 18] Thou shalt not suffer a witch to liue.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 19] Whosoeuer lieth with a beast, shall dye the death.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 20] Hee that offereth vnto any gods, saue vnto the Lord onely, shalbe slaine.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 21] Moreouer, thou shalt not do iniurie to a stranger, neither oppresse him: for ye were strangers in the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 22] Ye shall not trouble any widowe, nor fatherlesse childe.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 23] If thou vexe or trouble such, and so he call and cry vnto me, I will surely heare his cry.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 24] Then shall my wrath be kindled, and I will kill you with the sword, and your wiues shall be widowes, and your children fatherlesse.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 25] If thou lende money to my people, that is, to the poore with thee, thou shalt not bee as an vsurer vnto him: yee shall not oppresse him with vsurie.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 26] If thou take thy neighbours rayment to pledge, thou shalt restore it vnto him before the sunne go downe:
[GNV | EN | OT | Exodus | Chapter 22 | Verse 27] For that is his couering only, and this is his garment for his skin: wherin shall he sleepe? therefore when he crieth vnto mee, I will heare him: for I am mercifull.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 28] Thou shalt not raile vpon the Iudges, neither speake euil of the ruler of thy people.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 29] Thine abundance and thy licour shalt thou not keepe backe. The first borne of thy sonnes shalt thou giue me.
[GNV | EN | OT | Exodus | Chapter 22 | Verse 30] Likewise shalt thou do with thine oxen and with thy sheepe: seuen dayes it shall bee with his damme, and the eight day thou shalt giue it me.
