[GNV | EN | OT | Exodus | Chapter 5 | Verse 1] Then afterwarde Moses and Aaron went and said to Pharaoh, Thus saith the Lord God of Israel, Let my people go, that they may celebrate a feast vnto me in the wildernesse.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 2] And Pharaoh saide, Who is the Lord, that I should heare his voyce, and let Israel go? I knowe not the Lord, neither will I let Israel goe.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 3] And they saide, We worship the God of the Ebrewes: we pray thee, let vs goe three daies iourney in the desert, and sacrifice vnto the Lord our God, least he bring vpon vs the pestilence or sword.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 4] Then saide the King of Egypt vnto them, Moses and Aaron, why cause ye the people to cease from their workes? get you to your burdens.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 5] Pharaoh saide furthermore, Behold, much people is nowe in the lande, and ye make them leaue their burdens.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 6] Therefore Pharaoh gaue commandement the same day vnto the taskemasters of the people, and to their officers, saying,
[GNV | EN | OT | Exodus | Chapter 5 | Verse 7] Ye shall giue the people no more strawe, to make bricke (as in time past) but let them goe and gather them strawe them selues:
[GNV | EN | OT | Exodus | Chapter 5 | Verse 8] Notwithstanding lay vpon them the nober of bricke, which they made in time past, diminish nothing thereof: for they be idle, therefore they crie, saying, Let vs go to offer sacrifice vnto our God.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 9] Lay more worke vpon the men, and cause them to do it, and let the not regard vaine words.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 10] Then went the taskemasters of the people and their officers out, and tolde the people, saying, Thus saith Pharaoh, I will giue you no more strawe.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 11] Goe your selues, get you strawe where yee can finde it, yet shall nothing of your labour bee diminished.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 12] Then were the people scattered abroade throughout all the land of Egypt, for to gather stubble in steade of strawe.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 13] And the taskemasters hasted them, saying, Finish your dayes worke euery dayes taske, as ye did when ye had strawe.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 14] And the officers of the children of Israel, which Pharaohs taskemasters had set ouer them, were beaten, and demanded, Wherefore haue ye not fulfilled your taske in making bricke yesterday and to daye, as in times past?
[GNV | EN | OT | Exodus | Chapter 5 | Verse 15] Then the officers of the children of Israel came, and cryed vnto Pharaoh, saying, Wherfore dealest thou thus with thy seruants?
[GNV | EN | OT | Exodus | Chapter 5 | Verse 16] There is no strawe giuen to thy seruantes, and they say vnto vs, Make bricke: and loe, thy seruants are beaten, and thy people is blamed.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 17] But he said, Ye are to much idle: therfore ye say, Let vs goe to offer sacrifice to the Lord.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 18] Goe therefore nowe and worke: for there shall no strawe be giuen you, yet shall yee deliuer the whole tale of bricke.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 19] Then the officers of the children of Israel sawe them selues in an euill case, because it was saide, Ye shall diminish nothing of your bricke, nor of euery dayes taske.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 20] And they met Moses and Aaron, which stood in their way as they came out from Pharaoh,
[GNV | EN | OT | Exodus | Chapter 5 | Verse 21] To whom they said, The Lord looke vpon you and iudge: for yee haue made our sauour to stinke before Pharaoh and before his seruants, in that ye haue put a sword in their hand to slay vs.
[GNV | EN | OT | Exodus | Chapter 5 | Verse 22] Wherefore Moses returned to the Lord, and saide, Lord, why hast thou afflicted this people? wherefore hast thou thus sent me?
[GNV | EN | OT | Exodus | Chapter 5 | Verse 23] For since I came to Pharaoh to speake in thy Name, he hath vexed this people, and yet thou hast not deliuered thy people.
