[GNV | EN | OT | Exodus | Chapter 1 | Verse 1] Now these are the names of the children of Israel, which came into Egypt (euery man and his housholde came thither with Iaakob)
[GNV | EN | OT | Exodus | Chapter 1 | Verse 2] Reuben, Simeon, Leui, and Iudah,
[GNV | EN | OT | Exodus | Chapter 1 | Verse 3] Issachar, Zebulun, and Beniamin,
[GNV | EN | OT | Exodus | Chapter 1 | Verse 4] Dan, and Naphtali, Gad, and Asher.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 5] So al the soules, that came out of the loines of Iaakob, were seuentie soules: Ioseph was in Egypt already.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 6] Nowe Ioseph died and all his brethren, and that whole generation.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 7] And the children of Israel brought foorth fruite and encreased in aboundance, and were multiplied, and were exceeding mightie, so that the land was full of them.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 8] Then there rose vp a newe King in Egypt, who knewe not Ioseph.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 9] And he sayde vnto his people, Beholde, the people of the children of Israel are greater and mightier then we.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 10] Come, let vs worke wisely with them, least they multiplie, and it come to passe, that if there be warre, they ioyne them selues also vnto our enemies, and fight against vs, and get them out of the land.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 11] Therefore did they set taskemasters ouer them, to keepe the vnder with burdens: and they built the cities Pithom and Raamses for the treasures of Pharaoh.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 12] But the more they vexed them, the more they multiplied and grewe: therefore they were more grieued against the children of Israel.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 13] Wherefore the Egyptians by crueltie caused the children of Israel to serue.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 14] Thus they made them weary of their liues by sore labour in clay and in bricke, and in al worke in the fielde, with all maner of bondage, which they layde vpon them most cruelly.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 15] Moreouer the King of Egypt commanded ye midwiues of the Ebrewe women, (of which the ones name was Shiphrah, and the name of the other Puah)
[GNV | EN | OT | Exodus | Chapter 1 | Verse 16] And sayde, When ye doe the office of a midwife to the women of the Ebrewes, and see them on their stooles, if it be a sonne, then yee shall kill him: but if it be a daughter, then let her liue.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 17] Notwithstanding ye midwiues feared God, and did not as the King of Egypt commanded them, but preserued aliue the men children.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 18] Then the King of Egypt called for the midwiues, and sayde vnto them, Why haue yee done thus, and haue preserued aliue the men children?
[GNV | EN | OT | Exodus | Chapter 1 | Verse 19] And the midwiues answered Pharaoh, Because the Ebrewe women are not as the women of Egypt: for they are liuely, and are deliuered yer the midwife come at them.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 20] God therefore prospered the midwiues, and the people multiplied and were very mightie.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 21] And because ye midwiues feared God, therefore he made them houses.
[GNV | EN | OT | Exodus | Chapter 1 | Verse 22] Then Pharaoh charged all his people, saying, Euery man childe that is borne, cast yee into the riuer, but reserue euery maide childe aliue.
