[GNV | EN | OT | Exodus | Chapter 33 | Verse 1] Afterward the Lord sayd vnto Moses, Depart, goe vp from hence, thou, and the people (which thou hast brought vp out of lande of Egypt) vnto the lande which I sware vnto Abraham, to Izhak and to Iaakob, saying, Vnto thy seede will I giue it.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 2] And I will send an Angel before thee and will cast out the Canaanites, the Amorites, and the Hittites, and the Perizzites, the Hiuites, and the Iebusites:
[GNV | EN | OT | Exodus | Chapter 33 | Verse 3] To a lande, I say, that floweth with milke and hony: for I will not goe vp with thee, because thou art a stiffe necked people, least I consume thee in the way.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 4] And when the people heard this euill tydings, they sorowed, and no man put on his best rayment.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 5] (For the Lord had said to Moses, Say vnto the children of Israel, Ye are a stiffe necked people, I wil come suddenly vpon thee, and consume thee: therefore now put thy costly rayment from thee, that I may know what to do vnto thee)
[GNV | EN | OT | Exodus | Chapter 33 | Verse 6] So the children of Israel layed their good raiment from them, after Moses came downe from the mount Horeb.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 7] Then Moses tooke his tabernacle, and pitched it without the host farre off from the hoste, and called it Ohel-moed. And whe any did seeke to the Lord, he went out vnto the Tabernacle of the Congregation, which was without the hoste.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 8] And when Moses went out vnto the Tabernacle, all the people rose vp, and stood euery man at his tent doore, and looked after Moses, vntil he was gone into the Tabernacle.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 9] And assoone as Moses was entred into the Tabernacle, the cloudie pillar descended and stood at the doore of the Tabernacle, and the Lord talked with Moses.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 10] Nowe when all the people saw the cloudie pillar stand at the Tabernacle doore, all the people rose vp, and worshipped euery man in his tent doore.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 11] And the Lord spake vnto Moses, face to face, as a man speaketh vnto his friende. After he turned againe into the hoste, but his seruant Ioshua the sonne of Nun a yong man, departed not out of the Tabernacle.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 12] Then Moses sayde vnto the Lord, See, thou sayest vnto me, Leade this people forth, and thou hast not shewed me whom thou wilt sende with mee: thou hast sayde moreouer, I knowe thee by name, and thou hast also found grace in my sight.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 13] Nowe therefore, I pray thee, if I haue founde fauour in thy sight, shewe mee nowe thy way, that I may knowe thee, and that I may finde grace in thy sight: consider also that this nation is thy people.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 14] And he answered, My presence shall go with thee, and I will giue thee rest.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 15] Then he sayd vnto him, If thy presence go not with vs, cary vs not hence.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 16] And wherein nowe shall it be knowen, that I and thy people haue found fauour in thy sight? shall it not be when thou goest with vs? so I, and thy people shall haue preeminence before all the people that are vpon the earth.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 17] And the Lord sayde vnto Moses, I will doe this also that thou hast saide: for thou hast founde grace in my sight, and I knowe thee by name.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 18] Againe he sayde, I beseech thee, shewe me thy glory.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 19] And he answered, I wil make all my good go before thee, and I wil proclaime the Name of the Lord before thee: for I will shewe mercy to whom I will shewe mercy, and will haue compassion on whom I will haue compassion.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 20] Furthermore he sayde, Thou canst not see my face, for there shall no man see me, and liue.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 21] Also the Lord sayd, Behold, there is a place by me, and thou shalt stand vpon the rocke:
[GNV | EN | OT | Exodus | Chapter 33 | Verse 22] And while my glory passeth by, I will put thee in a cleft of the rocke, and will couer thee with mine hand whiles I passe by.
[GNV | EN | OT | Exodus | Chapter 33 | Verse 23] After I will take away mine hande, and thou shalt see my backe parts: but my face shall not be seene.
