[GNV | EN | OT | Exodus | Chapter 31 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Exodus | Chapter 31 | Verse 2] Behold, I haue called by name, Bezaleel the sonne of Vri, the sonne of Hur of the tribe of Iudah,
[GNV | EN | OT | Exodus | Chapter 31 | Verse 3] Whom I haue filled with the Spirit of God, in wisedome, and in vnderstanding and in knowledge and in all workmanship:
[GNV | EN | OT | Exodus | Chapter 31 | Verse 4] To finde out curious workes to worke in golde, and in siluer, and in brasse,
[GNV | EN | OT | Exodus | Chapter 31 | Verse 5] Also in the arte to set stones, and to carue in timber, and to worke in all maner of workmaship.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 6] And behold, I haue ioyned with him Aholiab the sonne of Ahisamach of the tribe of Dan, and in the hearts of all that are wise hearted, haue I put wisdome to make all that I haue commanded thee:
[GNV | EN | OT | Exodus | Chapter 31 | Verse 7] That is, the Tabernacle of the Congregation, and the Arke of the Testimonie, and the Merciseate that shalbe therevpon, with all instruments of the Tabernacle:
[GNV | EN | OT | Exodus | Chapter 31 | Verse 8] Also the Table and the instruments thereof, and the pure Candlesticke with all his instruments, and the Altar of perfume:
[GNV | EN | OT | Exodus | Chapter 31 | Verse 9] Likewise the Altar of burnt offring with al his instruments, and the Lauer with his foote:
[GNV | EN | OT | Exodus | Chapter 31 | Verse 10] Also the garments of the ministration, and ye holy garments for Aaron ye Priest, and the garmets of his sonnes, to minister in the Priestes office,
[GNV | EN | OT | Exodus | Chapter 31 | Verse 11] And the anoynting oyle, and sweete perfume for the Sanctuarie: according to all that I haue commanded thee, shall they do.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 12] Afterwarde the Lord spake vnto Moses, saying,
[GNV | EN | OT | Exodus | Chapter 31 | Verse 13] Speake thou also vnto the children of Israel, and say, Notwithstanding keepe yee my Sabbaths: for it is a signe betweene me and you in your generations, that ye may know that I the Lord do sanctifie you.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 14] Ye shall therefore keepe the Sabbath: for it is holy vnto you: he that defileth it, shall die the death: therefore whosoeuer worketh therin, the same person shalbe euen cut off from among his people.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 15] Sixe dayes shall men worke, but in the seuenth day is the Sabbath of the holy rest to the Lord: whosoeuer doeth any worke in the Sabbath day, shall dye the death.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 16] Wherfore the children of Israel shall keepe the Sabbath, that they may obserue the rest throughout their generations for an euerlasting couenant.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 17] It is a signe betweene me and the children of Israel for euer: for in sixe dayes the Lord made the heauen and the earth, and in the seuenth day he ceased, and rested.
[GNV | EN | OT | Exodus | Chapter 31 | Verse 18] Thus (when the Lord had made an ende of communing with Moses vpon mount Sinai) he gaue him two Tables of the Testimonie, euen tables of stone, written with the finger of God.
