[GNV | EN | OT | Exodus | Chapter 2 | Verse 1] Then there went a man of the house of Leui, and tooke to wife a daughter of Leui,
[GNV | EN | OT | Exodus | Chapter 2 | Verse 2] And the woman coceiued and bare a sonne: and when she saw that he was faire, she hid him three moneths.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 3] But when she could no longer hide him, she tooke for him an arke made of reede, and daubed it with slime and with pitch, and laide the childe therein, and put it among the bulrushes by the riuers brinke.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 4] Now his sister stood a farre off, to wit what would come of him.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 5] Then ye daughter of Pharaoh came downe to wash her in the riuer, and her maidens walked by the riuers side: and when shee sawe the arke among the bulrushes, she sent her maide to fet it.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 6] Then she opened it, and sawe it was a childe: and beholde, the babe wept: so she had compassion on it, and sayde, This is one of the Ebrewes children.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 7] Then said his sister vnto Pharaohs daughter, Shall I go and cal vnto thee a nurce of the Ebrew women to nurce thee the childe?
[GNV | EN | OT | Exodus | Chapter 2 | Verse 8] And Pharaohs daughter sayde to her, Goe. So the maide went and called the childes mother,
[GNV | EN | OT | Exodus | Chapter 2 | Verse 9] To whome Pharaohs daughter sayde, Take this childe away, and nurce it for me, and I wil reward thee. Then the woman tooke the childe and nurced him.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 10] Nowe the childe grewe, and she brought him vnto Pharaohs daughter, and he was as her sonne, and she called his name Moses, because, said she, I drewe him out of the water.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 11] And in those dayes, when Moses was growen, he went forth vnto his brethren, and looked on their burdens: also he sawe an Egyptian smiting an Ebrewe one of his brethren.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 12] And he looked rounde about, and when he sawe no man, hee slewe the Egyptian, and hid him in the sande.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 13] Againe he came forth the second day, and behold, two Ebrewes stroue: and he said vnto him that did the wrong, Wherefore smitest thou thy fellowe?
[GNV | EN | OT | Exodus | Chapter 2 | Verse 14] And hee answered, Who made thee a man of authoritie, and a iudge ouer vs? Thinkest thou to kill mee, as thou killedst the Egyptian? Then Moses feared and sayde, Certainly this thing is knowen.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 15] Now Pharaoh heard this matter, and sought to slay Moses: therefore Moses fled from Pharaoh, and dwelt in the lande of Midian, and hee sate downe by a well.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 16] And the Priest of Midian had seue daughters, which came and drewe water, and filled the troghes, for to water their fathers sheepe.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 17] Then the shepherds came and droue them away: but Moses rose vp and defended them, and watered their sheepe.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 18] And whe they came to Reuel their father, he said, Howe are ye come so soone to day?
[GNV | EN | OT | Exodus | Chapter 2 | Verse 19] And they saide, A man of Egypt deliuered vs from the hand of the shepherdes, and also drew vs water ynough, and watered the sheepe.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 20] Then he saide vnto his daughters, And where is he? why haue ye so left the man? call him that he may eate bread.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 21] And Moses agreed to dwell with the man: who gaue vnto Moses Zipporah his daughter:
[GNV | EN | OT | Exodus | Chapter 2 | Verse 22] And she bare a sonne, whose name he called Gershom: for he said, I haue bene a stranger in a strange lande.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 23] Then in processe of time, the King of Egypt dyed, and the children of Israel sighed for the bondage and cryed: and their crie for the bondage came vp vnto God.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 24] Then God heard their mone, and God remembred his couenant with Abraham, Izhak, and Iaakob.
[GNV | EN | OT | Exodus | Chapter 2 | Verse 25] So God looked vpon the children of Israel, and God had respect vnto them.
