[GNV | EN | OT | Exodus | Chapter 20 | Verse 1] Then God spake all these wordes, saying,
[GNV | EN | OT | Exodus | Chapter 20 | Verse 2] I am the Lord thy God, which haue brought thee out of the land of Egypt, out of the house of bondage.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 3] Thou shalt haue none other Gods before me.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 4] Thou shalt make thee no grauen image, neither any similitude of things that are in heauen aboue, neither that are in the earth beneath, nor that are in the waters vnder the earth.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 5] Thou shalt not bowe downe to them, neither serue them: for I am the Lord thy God, a ielous God, visiting the iniquitie of the fathers vpon the children, vpon the third generation and vpon the fourth of them that hate me:
[GNV | EN | OT | Exodus | Chapter 20 | Verse 6] And shewing mercie vnto thousandes to them that loue me, and keepe my commandemets.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 7] Thou shalt not take the Name of the Lord thy God in vaine: for the Lord will not hold him guiltles that taketh his Name in vayne.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 8] Remember the Sabbath day, to keepe it holy.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 9] Sixe dayes shalt thou labour, and doe all thy worke,
[GNV | EN | OT | Exodus | Chapter 20 | Verse 10] But the seuenth day is the Sabbath of the Lord thy God: in it thou shalt not do any worke, thou, nor thy sonne, nor thy daughter, thy man seruant, nor thy mayde, nor thy beast, nor thy stranger that is within thy gates.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 11] For in sixe dayes the Lord made the heauen and the earth, the sea, and all that in them is, and rested the seuenth day: therefore the Lord blessed the Sabbath day, and hallowed it.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 12] Honour thy father and thy mother, that thy dayes may be prolonged vpon the land, which the Lord thy God giueth thee.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 13] Thou shalt not kill.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 14] Thou shalt not commit adulterie.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 15] Thou shalt not steale.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 16] Thou shalt not beare false witnes against thy neighbour.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 17] Thou shalt not couet thy neighbours house, neither shalt thou couet thy neighbours wife, nor his man seruant, nor his mayde, nor his oxe, nor his asse, neyther any thing that is thy neighbours.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 18] And all the people sawe the thunders, and the lightnings, and the sound of the trumpet, and the mountaine smoking and when the people saw it they fled and stoode afare off,
[GNV | EN | OT | Exodus | Chapter 20 | Verse 19] And sayde vnto Moses, Talke thou with vs, and we will heare: but let not God talke with vs, lest we die.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 20] Then Moses sayde vnto the people, Feare not: for God is come to proue you, and that his feare may be before you, that ye sinne not.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 21] So the people stoode afarre off, but Moses drew neere vnto the darkenes where God was.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 22] And the Lord sayde vnto Moses, Thus thou shalt say vnto the children of Israel, Ye haue seene that I haue talked with you from heauen.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 23] Ye shall not make therefore with me gods of siluer, nor gods of golde: you shall make you none.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 24] An altar of earth thou shalt make vnto me, and thereon shalt offer thy burnt offerings, and thy peace offerings, thy sheepe, and thine oxen: in all places, where I shall put the remembrance of my Name, I will come vnto thee, and blesse thee.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 25] But if thou wilt make mee an altar of stone, thou shalt not buylde it of hewen stones: for if thou lift vp thy toole vpon them, thou hast polluted them.
[GNV | EN | OT | Exodus | Chapter 20 | Verse 26] Neither shalt thou goe vp by steppes vnto mine altar, that thy filthines be not discouered thereon.
