[GNV | EN | OT | Exodus | Chapter 17 | Verse 1] And all the Congregation of the children of Israel departed from the wildernesse of Sin, by their iourneyes at the commandement of the Lord, and camped in Rephidim, where was no water for the people to drinke.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 2] Wherefore the people contended with Moses, and sayde, Giue vs water that we may drinke. And Moses sayde vnto them, Why contende yee with me? wherefore do ye tempt the Lord?
[GNV | EN | OT | Exodus | Chapter 17 | Verse 3] So the people thirsted there for water, and the people murmured against Moses, and said, Wherefore hast thou thus brought vs out of Egypt to kill vs and our children and our cattel with thirst?
[GNV | EN | OT | Exodus | Chapter 17 | Verse 4] And Moses cried to the Lord, saying, What shall I do to this people? for they be almost ready to stone me.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 5] And ye Lord answered to Moses, Goe before the people, and take with thee of the Elders of Israel: and thy rod, wherewith thou smotest the riuer, take in thine hand, and go:
[GNV | EN | OT | Exodus | Chapter 17 | Verse 6] Behold, I will stand there before thee vpon the rocke in Horeb, and thou shalt smite on the rocke, and water shall come out of it, that the people may drinke. And Moses did so in the sight of the Elders of Israel.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 7] And he called the name of the place, Massah and Meribah, because of the contention of the children of Israel, and because they had tempted the Lord, saying, Is the Lord among vs, or no?
[GNV | EN | OT | Exodus | Chapter 17 | Verse 8] Then came Amalek and fought with Israel in Rephidim.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 9] And Moses sayde to Ioshua, Chuse vs out men, and go fight with Amalek: to morowe I will stande on the toppe of the hill with the rod of God in mine hand.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 10] So Ioshua did as Moses bad him, and fought with Amalek: and Moses, Aaron, and Hur, went vp to the top of the hill.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 11] And when Moses helde vp his hande, Israel preuailed: but when he let his hande downe, Amalek preuailed.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 12] Nowe Moses handes were heauy: therefore they tooke a stone and put it vnder him, and hee sate vpon it: and Aaron and Hur stayed vp his hands, the one on the one side, and the other on the other side: so his hands were steady vntill the going downe of the sunne.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 13] And Ioshua discomfited Amalek and his people with the edge of the sword.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 14] And the Lord sayde to Moses, Write this for a remembrance in the booke, and rehearse it to Ioshua: for I will vtterly put out the remembrance of Amalek from vnder heauen.
[GNV | EN | OT | Exodus | Chapter 17 | Verse 15] (And Moses builte an altar and called the name of it, Iehouah-nissi)
[GNV | EN | OT | Exodus | Chapter 17 | Verse 16] Also he said, The Lord hath sworne, that he will haue warre with Amalek from generation to generation.
