[GNV | EN | OT | Exodus | Chapter 19 | Verse 1] In the third moneth, after the children of Israel were gone out of the lande of Egypt, the same day came they into the wildernes of Sinai.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 2] For they departed from Rephidim, and came to the desart of Sinai, and camped in the wildernesse: euen there Israel camped before the mount.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 3] But Moses went vp vnto God, for ye Lord had called out of the mount vnto him, saying, Thus shalt thou say to the house of Iaakob, and tell the children of Israel,
[GNV | EN | OT | Exodus | Chapter 19 | Verse 4] Ye haue seene what I did vnto the Egyptians, and how I caryed you vpon eagles wings, and haue brought you vnto me.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 5] Now therefore if ye wil heare my voyce in deede, and keepe my couenant, then ye shalbe my chiefe treasure aboue all people, though all the earth be mine.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 6] Yee shall be vnto mee also a kingdome of Priestes, and an holy nation. These are the words which thou shalt speake vnto the children of Israel.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 7] Moses then came and called for the Elders of the people, and proposed vnto them all these things, which the Lord commanded him.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 8] And the people answered all together, and sayd, All that the Lord hath commanded, we will doe. And Moses reported the wordes of the people vnto the Lord.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 9] And the Lord sayd vnto Moses, Lo, I come vnto thee in a thicke cloude, that the people may heare, whiles I talke with thee, and that they may also beleeue thee for euer. (for Moses had tolde the wordes of the people vnto the Lord)
[GNV | EN | OT | Exodus | Chapter 19 | Verse 10] Moreouer, the Lord sayd vnto Moses, Goe to the people, and sanctifie them to day and to morow, and let them wash their clothes.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 11] And let them be ready on the third day: for the thirde day the Lord will come downe in the sight of all the people vpon mount Sinai:
[GNV | EN | OT | Exodus | Chapter 19 | Verse 12] And thou shalt set markes vnto the people rounde about, saying, Take heede to your selues that ye goe not vp the mount, nor touche the border of it: whosoeuer toucheth the mount, shall surely die.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 13] No hand shall touche it, but he shalbe stoned to death, or striken through with darts: whether it be beast or man, he shall not liue: when the horne bloweth long, they shall come vp into the mountaine.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 14] Then Moses went downe from ye mount vnto the people, and sanctified the people, and they washed their clothes.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 15] And he said vnto the people, Be ready on the third day, and come not at your wiues.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 16] And the thirde day, when it was morning, there was thunders and lightnings, and a thicke cloude vpon the mount, and the sounde of the trumpet exceeding loude, so that all the people, that was in the campe, was afrayde.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 17] Then Moses brought the people out of the tents to meete with God, and they stoode in the nether part of the mount.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 18] And mount Sinai was all on smoke, because the Lord came downe vpon it in fire, and the smoke therof ascended, as the smoke of a fornace, and all the mount trembled exceedingly.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 19] And when the sound of the trumpet blew long, and waxed louder and louder, Moses spake, and God answered him by voyce.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 20] (For the Lord came downe vpon mount Sinai on the toppe of the mount) and when the Lord called Moses vp into the top of the mount, Moses went vp.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 21] Then the Lord said vnto Moses, Go down, charge the people, that they breake not their boundes, to go vp to the Lord to gaze, least many of them perish.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 22] And let the Priestes also which come to the Lord be sanctified, least the Lord destroy them.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 23] And Moses sayde vnto the Lord, The people can not come vp into the mount Sinai: for thou hast charged vs, saying, Set markes on the mountaine, and sanctifie it.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 24] And the Lord sayd vnto him, Go, get thee downe, and come vp, thou, and Aaron with thee: but let not the Priestes and the people breake their boundes to come vp vnto the Lord, least he destroy them.
[GNV | EN | OT | Exodus | Chapter 19 | Verse 25] So Moses went downe vnto the people, and tolde them.
